date,UNTL1007
2012-01-19,287.25274192229386
2012-01-20,287.11240256686347
2012-01-21,286.9720632114331
2012-01-22,286.8317238560027
2012-01-23,286.6913845005723
2012-01-24,286.551045145142
2012-01-25,286.4107057897116
2012-01-26,286.2703664342812
2012-01-27,286.13002707885084
2012-01-28,285.98968772342045
2012-01-29,285.8493483679901
2012-01-30,285.7090090125597
2012-01-31,285.5686696571293
2012-02-01,285.42833030169896
2012-02-02,285.28799094626856
2012-02-03,285.14765159083817
2012-02-04,285.0073122354078
2012-02-05,284.8669728799774
2012-02-06,284.726633524547
2012-02-07,284.5862941691167
2012-02-08,284.4459548136863
2012-02-09,284.3056154582559
2012-02-10,284.16527610282554
2012-02-12,284.02493674739515
2012-02-13,283.8845973919648
2012-02-14,283.7442580365344
2012-02-15,283.603918681104
2012-02-16,283.46357932567366
2012-02-17,283.32323997024326
2012-02-20,283.18290061481287
2012-02-21,283.0425612593825
2012-02-22,282.9022219039521
2012-02-23,282.7618825485217
2012-02-24,282.6215431930914
2012-02-25,282.481203837661
2012-02-26,282.3408644822306
2012-02-27,282.20052512680024
2012-02-28,282.06018577136985
2012-02-29,281.9198464159395
2012-03-01,281.7795070605091
2012-03-02,281.6391677050787
2012-03-03,281.4988283496484
2012-03-04,281.358488994218
2012-03-05,281.2181496387876
2012-03-06,281.0778102833572
2012-03-07,280.9374709279268
2012-03-08,280.7971315724964
2012-03-09,280.6567922170661
2012-03-11,280.5164528616357
2012-03-12,280.3761135062053
2012-03-13,280.23577415077494
2012-03-14,280.09543479534454
2012-03-15,279.9550954399142
2012-03-16,279.8147560844838
2012-03-17,279.6744167290534
2012-03-18,279.53407737362306
2012-03-19,279.39373801819266
2012-03-20,279.25339866276227
2012-03-21,279.1130593073319
2012-03-22,278.9727199519015
2012-03-23,278.8323805964711
2012-03-27,278.6920412410408
2012-03-29,278.5517018856104
2012-03-30,278.41136253018
2012-03-31,278.27102317474964
2012-04-01,278.13068381931924
2012-04-02,277.9903444638889
2012-04-03,277.8500051084585
2012-04-04,277.7096657530281
2012-04-05,277.56932639759776
2012-04-06,277.42898704216736
2012-04-07,277.28864768673697
2012-04-08,277.1483083313066
2012-04-09,277.0079689758762
2012-04-10,276.8676296204458
2012-04-11,276.7272902650155
2012-04-12,276.5869509095851
2012-04-13,276.4466115541547
2012-04-14,276.30627219872434
2012-04-15,276.16593284329394
2012-04-16,276.0255934878636
2012-04-17,275.8852541324332
2012-04-18,275.7449147770028
2012-04-19,275.60457542157246
2012-04-20,275.46423606614206
2012-04-21,275.32389671071167
2012-04-22,275.1835573552813
2012-04-23,275.0432179998509
2012-04-24,274.9028786444205
2012-04-25,274.7625392889902
2012-04-26,274.6221999335598
