date,TREA0004
2022-01-01,108.75812784603772
2022-02-01,109.358532584686
2022-03-01,109.6544486453175
2022-04-01,112.65079559186604
2022-05-01,111.87452599334154
2022-06-01,112.85475421740487
2022-07-01,110.46113281367008
2022-08-01,113.31412414802465
2022-09-01,114.0020989601894
2022-10-01,114.84773091635655
2022-11-01,118.5835262908764
2022-12-01,118.3298326182868
2023-01-01,122.3565133578172
2023-02-01,125.66745232150296
2023-03-01,127.55623537382394
2023-04-01,129.4893572535279
2023-05-01,131.42568745259896
2023-06-01,134.66943845735165
2023-07-01,137.35961266786046
2023-08-01,137.2560493350771
2023-09-01,135.59705655020576
2023-10-01,130.36846524525998
2023-11-01,136.10699099503356
2023-12-01,138.91762992905822
2024-01-01,141.31740749229118
2024-02-01,141.01245601505366
2024-03-01,143.14821856781668
2024-04-01,142.27127180640923
2024-05-01,141.9062341845217
2024-06-01,132.96448231611097


 Definition: Tipo de cambio real bilateral México. Source: BCE
