ticket,var name,definition,category,file,source,url,nominal
EGEN0000,cenace_total,Generación eléctrica Total,Energy,cenace_power.csv,CENACE,http://www.cenace.gob.ec/wp-content/plugins/ez-addons/data/indicadores.xlsx,0
MFLQ0000,cosede_liquidez,Fondo de liquidez,Monetary,cosede_lfsfp.csv,COSEDE,https://www.cosede.gob.ec/publicaciones-estadisticas-mensuales-pem/,1
TCOP0000,fred_DCOILWTICO,"Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma",Trade,fred_data.csv,FRED,https://fred.stlouisfed.org/series/DCOILWTICO,0
EUIE0000,fred_WUIECU,World Uncertainty Index for Ecuador,Expectations,fred_data.csv,FRED,https://fred.stlouisfed.org/series/WUIECU,0
TIMP3310,fred_IMP3310,U.S. Imports of Goods by Customs Basis from Ecuador,Trade,fred_data.csv,FRED,https://fred.stlouisfed.org/series/IMP3310,0
TEXP3310,fred_EXP3310,U.S. Exports of Goods by F.A.S. Basis to Ecuador,Trade,fred_data.csv,FRED,https://fred.stlouisfed.org/series/EXP3310,0
LEMP0000,enemdu_desempleo,Desempleo,Labor,ine_labor.csv,INE,https://www.ecuadorencifras.gob.ec/estadisticas-laborales-enemdu/,0
LEMP0010,enemdu_empleo,Empleo,Labor,ine_labor.csv,INE,https://www.ecuadorencifras.gob.ec/estadisticas-laborales-enemdu/,0
LEMP0011,enemdu_empleo adecuado/pleno,Empleo Adecuado/Pleno,Labor,ine_labor.csv,INE,https://www.ecuadorencifras.gob.ec/estadisticas-laborales-enemdu/,0
LPOB0000,enemdu_poblacion economicamente activa,Población Económicamente Activa,Labor,ine_labor.csv,INE,https://www.ecuadorencifras.gob.ec/estadisticas-laborales-enemdu/,0
LPOB0001,enemdu_poblacion en edad de trabajar (pet),Población en Edad de Trabajar,Labor,ine_labor.csv,INE,https://www.ecuadorencifras.gob.ec/estadisticas-laborales-enemdu/,0
LPOB0002,enemdu_poblacion total,Población Total,Labor,ine_labor.csv,INE,https://www.ecuadorencifras.gob.ec/estadisticas-laborales-enemdu/,0
LEMP0020,enemdu_subempleo,Subempleo,Labor,ine_labor.csv,INE,https://www.ecuadorencifras.gob.ec/estadisticas-laborales-enemdu/,0
LPOB0003,enemdu_poblacion economicamente activa trimestral,Población Económicamente Activa (Trimestral),Labor,ine_pea quarter.csv,INE,https://www.ecuadorencifras.gob.ec/estadisticas-laborales-enemdu/,0
PPBR0000,enemdu_pobreza,Incidencia de pobreza por ingreso,Poverty,ine_pobreza.csv,INE,https://www.ecuadorencifras.gob.ec/estadisticas-laborales-enemdu/,0
PPBR0001,enemdu_pobreza_extrema,Incidencia de pobreza extrema por ingreso,Poverty,ine_pobreza.csv,INE,https://www.ecuadorencifras.gob.ec/estadisticas-laborales-enemdu/,0
PPBR0002,enemdu_gini_index,Coeficiente de Gini,Poverty,ine_pobreza.csv,INE,https://www.ecuadorencifras.gob.ec/estadisticas-laborales-enemdu/,0
PINF0000,CPI EEUU,Inflación anual de Estados Unidos,Prices,international_data.csv,BC e INE de cada país,https://fred.stlouisfed.org/series/CPIAUCSL,0
PINF0001,CPI CN,Inflación anual de China,Prices,international_data.csv,BC e INE de cada país,https://fred.stlouisfed.org/series/CHNCPIALLMINMEI,0
PINF0002,CPI CO,Inflación anual de Colombia,Prices,international_data.csv,BC e INE de cada país,https://www.dane.gov.co/index.php/estadisticas-por-tema/precios-y-costos/indice-de-precios-al-consumidor-ipc,0
PINF0003,CPI PE,Inflación anual de Perú,Prices,international_data.csv,BC e INE de cada país,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN38705PM/json/1980-01-01/,0
GERO0001,gc_erogacion_no_permanente,Erogación no permanente del Gobierno Central,Government,mef_gc.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GERO0002,gc_erogacion_permanente,Erogación permanente del Gobierno Central,Government,mef_gc.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GERO0003,gc_erogacion_petrolera_gc,Erogación petrolera del Gobierno Central,Government,mef_gc.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GINC0020,gc_ingresos_no_petroleros,Ingresos no petroleros del Gobierno Central,Government,mef_gc.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GINC0010,gc_ingresos_petroleros,Ingresos petroleros del Gobierno Central,Government,mef_gc.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GRES0000,gc_resultado_primario,Resultado primario del Gobierno Central,Government,mef_gc.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GRES0020,gc_resultado_primario_no_petrolero,Resultado primario no petrolero del Gobierno Central,Government,mef_gc.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GERO0000,gc_total_erogacion,"Erogación del Gobierno Central, Total",Government,mef_gc.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GINC0000,gc_total_ingresos,"Ingresos del Gobierno Central, Total",Government,mef_gc.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GERO0101,spnf_erogacion_no_permanente,Erogación no permanente del Sector Público No Financiero,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GERO0110,spnf_erogacion_operativa_epnf,Erogación operativa de Empresas Públicas No Financieras,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GERO0111,spnf_erogacion_operativa_petrolera_epnf,Erogación operativa petrolera de Empresas Públicas No Financieras,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GERO0102,spnf_erogacion_permanente,Erogación permanente del Sector Público No Financiero,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GERO0120,spnf_erogacion_petrolera_spnf,Erogación petrolera del Sector Público No Financiero,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GINC0130,spnf_ingreso_operativo_epnf,Ingreso operativo de Empresas Públicas No Financieras,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GINC0120,spnf_ingresos_no_petroleros,Ingresos no petroleros del Sector Público No Financiero,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GINC0110,spnf_ingresos_petroleros,Ingresos petroleros del Sector Público No Financiero,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GINC0111,spnf_ingresos_petroleros_epnf,Ingresos petroleros de Empresas Públicas No Financieras,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GRES0130,spnf_resultado_operacional_epnf,Resultado operacional de Empresas Públicas No Financieras,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GRES0131,spnf_resultado_operativo_petrolera_epnf,Resultado operativo petrolero de Empresas Públicas No Financieras,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GRES0100,spnf_resultado_primario,Resultado primario del Sector Público No Financiero,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GRES0101,spnf_resultado_primario_no_petrolero,Resultado primario no petrolero del Sector Público No Financiero,Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GERO0100,spnf_total_erogaciones,"Erogaciones del Sector Público No Financiero, Total",Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
GINC0100,spnf_total_ingresos,"Ingresos del Sector Público No Financiero, Total",Government,mef_spnf.csv,MEF,https://www.finanzas.gob.ec/estadistica-nueva-metodologia-2013-2022/,1
RIND0000,iaenp,Indice de Actividad Empresarial No Petrolera,Real,sri_iaenp.csv,SRI,https://www.sri.gob.ec/datasets,0
RIND0001,indice manufacturas mensual,Indice Manufacturas,Real,sri_iaenp.csv,SRI,https://www.sri.gob.ec/datasets,0
RIND0002,indice comercio mensual,Indice Comercio,Real,sri_iaenp.csv,SRI,https://www.sri.gob.ec/datasets,0
RIND0003,indice construccion mensual,Indice Construcción,Real,sri_iaenp.csv,SRI,https://www.sri.gob.ec/datasets,0
RIND0004,indice servicios mensual,Indice Servicios,Real,sri_iaenp.csv,SRI,https://www.sri.gob.ec/datasets,0
RVEN0001,ventas_netas_tarifa_12,Ventas netas registradas con tarifa diferente de 0,Real,sri_ventas.csv,SRI,https://www.sri.gob.ec/datasets,1
RVEN0002,ventas_netas_tarifa_0,Ventas netas registradas con tarifa 0,Real,sri_ventas.csv,SRI,https://www.sri.gob.ec/datasets,1
RVEN0010,exportaciones,Exportaciones de bienes y servicios,Real,sri_ventas.csv,SRI,https://www.sri.gob.ec/datasets,1
RCOM0001,compras_netas_tarifa_12,Compras y adquisiciones declaradas por el propio contribuyente con tarifa diferente de cero,Real,sri_ventas.csv,SRI,https://www.sri.gob.ec/datasets,1
RCOM0002,compras_netas_tarifa_0,Compras y adquisiciones declaradas por el propio contribuyente con tarifa cero,Real,sri_ventas.csv,SRI,https://www.sri.gob.ec/datasets,1
RCOM0010,importaciones,Importaciones de bienes y servicios,Real,sri_ventas.csv,SRI,https://www.sri.gob.ec/datasets,1
RCOM0003,compras_rise,Compras realizadas a los contribuyentes inscritos en el Régimen Simplificado (RISE),Real,sri_ventas.csv,SRI,https://www.sri.gob.ec/datasets,1
RCOM0004,total_compras,Total de compras y adquisiciones declaradas por el propio contribuyente,Real,sri_ventas.csv,SRI,https://www.sri.gob.ec/datasets,1
RVEN0000,total_ventas,"Ventas, Total",Real,sri_ventas.csv,SRI,https://www.sri.gob.ec/datasets,1
FEMB0000,bcrp_embig,Spread - EMBIG Ecuador (pbs),Finances,bcrp_embig.csv,BCRP,https://estadisticas.bcrp.gob.pe/estadisticas/series/diarias/resultados/PD04712XD/html,0
FEMB0001,bcrp_embigdiff,Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - Ecuador,Finances,bcrp_embig.csv,BCRP,https://estadisticas.bcrp.gob.pe/estadisticas/series/mensuales/resultados/PN01134XM/html,0
PCPI0000,cpi,Indice de Precios al Consumidor,Prices,ine_cpi.csv,INE,https://www.ecuadorencifras.gob.ec/indice-de-precios-al-consumidor/,0
PIPP0000,ipp,Indice de Precios al Productor,Prices,ine_ipp.csv,INE,https://www.ecuadorencifras.gob.ec/indice-de-precios-al-productor-de-disponibilidad-nacional/,0
RREC0000,1 sri impuesto a la renta recaudado,Recaudación del SRI: Impuesto a la Renta Recaudado,Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC0100,2 sri retenciones mensuales,"Recaudación del SRI: Impuesto a la Renta Recaudado, Retenciones Mensuales",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC0101,3 sri autorretenciones,"Recaudación del SRI: Impuesto a la Renta Recaudado, RM, Autorretenciones",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC0200,4 sri a la renta empresas petroleras y otros nep,"Recaudación del SRI: Impuesto a la Renta Recaudado, A la renta empresas petroleras y otros NEP",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC0300,5 sri anticipos al ir,"Recaudación del SRI: Impuesto a la Renta Recaudado, Anticipos al IR",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC0400,6 sri declaraciones de impuesto a la renta,"Recaudación del SRI: Impuesto a la Renta Recaudado, Declaraciones de Impuesto a la Renta",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC0401,7 sri personas naturales,"Recaudación del SRI: Impuesto a la Renta Recaudado, DIR, Personas Naturales",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC0402,8 sri personas juridicas,"Recaudación del SRI: Impuesto a la Renta Recaudado, DIR, Personas Jurídicas",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC0403,"9 sri herencias, legados y donaciones","Recaudación del SRI: Impuesto a la Renta Recaudado, DIR, Herencias, Legados y Donaciones",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC0404,10 sri microempresas,"Recaudación del SRI: Impuesto a la Renta Recaudado, DIR, Regularización de Activos en el Exterior",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC1000,12 sri impuesto al valor agregado,Recaudación del SRI: Impuesto al Valor Agregado,Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC1100,13 sri iva operaciones internas,"Recaudación del SRI: IVA, Operaciones Internas",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC1101,14 sri ajuste retenciones iva petroleras,"Recaudación del SRI: IVA, OI, Ajustes retenciones IVA petroleras",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC1200,15 sri iva importaciones,"Recaudación del SRI: IVA, Importaciones",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2000,16 sri impuesto a los consumos especiales,Recaudación del SRI: Impuesto a los Consumos Especiales,Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2100,17 sri ice operaciones internas,"Recaudación del SRI: ICE, Operaciones Internas",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2101,19 sri ice alcohol y productos alcoholicos,"Recaudación del SRI: ICE, OI, Alcohol y Productos Alcohólicos",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2102,20 sri ice armas de fuego,"Recaudación del SRI: ICE, OI, Armas de fuego",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2103,"21 sri ice aviones, tricares,etc. y otros nep","Recaudación del SRI: ICE, OI, Aviones, tricares, etc y otros NEP",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2104,22 sri ice bebidas energizantes,"Recaudación del SRI: ICE, OI, Bebidas energizantes",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2105,23 sri ice bebidas gaseosas,"Recaudación del SRI: ICE, OI, Bebidas gaseosas",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2106,24 sri ice bebidas no alcoholicas,"Recaudación del SRI: ICE, OI, Bebidas no alcohólicas",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2107,25 sri ice cerveza,"Recaudación del SRI: ICE, OI, Cerveza",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2108,26 sri ice cigarrillos,"Recaudación del SRI: ICE, OI, Cigarrillos",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2109,28 sri ice cuotas membresias clubes,"Recaudación del SRI: ICE, OI, Cuotas de Membresías de Clubes",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2110,30 sri ice fundas plasticas,"Recaudación del SRI: ICE, OI, Fundas Plásticas",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2111,"31 sri ice perfumes, aguas de tocador","Recaudación del SRI: ICE, OI, Perfumes y Aguas de Tocador",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2112,32 sri ice servicios casino - juegos azar,"Recaudación del SRI: ICE, OI, Servicios de Casino y Juegos de Azar",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2113,33 sri ice servicios television prepagada,"Recaudación del SRI: ICE, OI, Servicios de Televisión Prepagada",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2114,35 sri ice telefonia,"Recaudación del SRI: ICE, OI, Telefonía",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2115,36 sri ice vehiculos,"Recaudación del SRI: ICE, OI, Vehículos",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2116,37 sri ice videojuegos,"Recaudación del SRI: ICE, OI, Videojuegos",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2117,38 sri ice no especificado,"Recaudación del SRI: ICE, OI, No especificado",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC2200,39 sri ice importaciones,"Recaudación del SRI: ICE, Importaciones",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC3000,40 sri impuesto redimible botellas plasticas no retornable,Recaudación del SRI: Impuesto Redimible de Botellas Plásticas no Retornable,Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC3001,41 sri impuesto a los vehiculos motorizados,Recaudación del SRI: Impuesto a los Vehículos Motorizados,Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC3002,42 sri impuesto a la salida de divisas,Recaudación del SRI: Impuesto a la Salida de Divisas,Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC3003,43 sri impuesto activos en el exterior,Recaudación del SRI: Impuesto de Activos en el Exterior,Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC4000,"44 sri regalias, patentes y utilidades de conservacion minera","Recaudación del SRI: Regalías, patentes y utilidades de conservación minera",Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC5000,45 sri contribucion para la atencion integral del cancer,Recaudación del SRI: Contribución para la atención integral del cáncer,Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC6000,46 sri intereses por mora tributaria,Recaudación del SRI: Intereses por Mora Tributaria,Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC7000,47 sri multas tributarias fiscales,Recaudación del SRI: Multas Tributarias Fiscales,Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RREC8000,48 sri otros ingresos,Recaudación del SRI: Otros Ingresos,Real,sri_recaudacion.csv,SRI,https://www.sri.gob.ec/estadisticas-generales-de-recaudacion-sri,1
RCAR0000,total car sales,Vehículos nuevos y reportados de ventas al SRI,Real,sri_totalcar.csv,SRI,https://www.sri.gob.ec/datasets,0
RVAR0000,sri_vat,"SRI valores recaudados mensualmente, valor ",Real,sri_vat_timeseries.csv,SRI,https://www.sri.gob.ec/datasets,1
RVAR0001,sri_transactions,"SRI valores recaudados mensualmente, total de transacciones",Real,sri_vat_timeseries.csv,SRI,https://www.sri.gob.ec/datasets,0
UNTL1001,ntl_airport,Serie de luminosidad nocturna agregada por industria: aeropuertos,Unstructured,ntl_bysector.csv,NOAA ,https://ladsweb.modaps.eosdis.nasa.gov/,0
UNTL1002,ntl_consumption,Serie de luminosidad nocturna agregada por industria: establecimientos de consumo,Unstructured,ntl_bysector.csv,NOAA ,https://ladsweb.modaps.eosdis.nasa.gov/,0
UNTL1003,ntl_hotel,Serie de luminosidad nocturna agregada por industria: hoteles,Unstructured,ntl_bysector.csv,NOAA ,https://ladsweb.modaps.eosdis.nasa.gov/,0
UNTL1004,ntl_manufacture,Serie de luminosidad nocturna agregada por industria: manufactura,Unstructured,ntl_bysector.csv,NOAA ,https://ladsweb.modaps.eosdis.nasa.gov/,0
UNTL1005,ntl_ports,Serie de luminosidad nocturna agregada por industria: puertos,Unstructured,ntl_bysector.csv,NOAA ,https://ladsweb.modaps.eosdis.nasa.gov/,0
UNTL1006,ntl_public square,Serie de luminosidad nocturna agregada por industria: plazas publicas,Unstructured,ntl_bysector.csv,NOAA ,https://ladsweb.modaps.eosdis.nasa.gov/,0
UNTL1007,ntl_transport,Serie de luminosidad nocturna agregada por industria: transporte terrestre,Unstructured,ntl_bysector.csv,NOAA ,https://ladsweb.modaps.eosdis.nasa.gov/,0
FDEB1000,spnf consolidada total deuda publica agregada mas otras obligaciones,Total deuda publica consolidada mas otras obligaciones,Finances,mef_deuda.csv,MEF,https://www.finanzas.gob.ec/https-wwwdeuda-publica-nueva-metodologia/,1
FDEB1001,spnf consolidada total deuda publica externa mas otras obligaciones,Total deuda publica externa consolidada mas otras obligaciones,Finances,mef_deuda.csv,MEF,https://www.finanzas.gob.ec/https-wwwdeuda-publica-nueva-metodologia/,1
FDEB1002,spnf consolidada total deuda publica interna mas otras obligaciones ,Total deuda publica interna consolidada mas otras obligaciones,Finances,mef_deuda.csv,MEF,https://www.finanzas.gob.ec/https-wwwdeuda-publica-nueva-metodologia/,1
FDEB2000,spnf agg total deuda publica agregada mas otras obligaciones,Total deuda publica agregada mas otras obligaciones,Finances,mef_deuda.csv,MEF,https://www.finanzas.gob.ec/https-wwwdeuda-publica-nueva-metodologia/,1
FDEB2001,spnf agg total deuda publica externa mas otras obligaciones,Total deuda publica externa agregada mas otras obligaciones,Finances,mef_deuda.csv,MEF,https://www.finanzas.gob.ec/https-wwwdeuda-publica-nueva-metodologia/,1
FDEB2002,spnf agg total deuda publica interna mas otras obligaciones ,Total deuda publica interna agregada mas otras obligaciones,Finances,mef_deuda.csv,MEF,https://www.finanzas.gob.ec/https-wwwdeuda-publica-nueva-metodologia/,1
