date,TREA0015
2022-01-01,99.80040415697717
2022-02-01,100.73185278154251
2022-03-01,98.73755306042064
2022-04-01,96.28404551148203
2022-05-01,94.38805879096786
2022-06-01,94.76276277803372
2022-07-01,91.5516576703883
2022-08-01,91.79702221130948
2022-09-01,89.67719484631196
2022-10-01,91.901043861793
2022-11-01,95.90562705444148
2022-12-01,99.64340447950303
2023-01-01,101.30226201177916
2023-02-01,100.9458280812166
2023-03-01,100.37052411519886
2023-04-01,103.05643776503732
2023-05-01,102.36577630944022
2023-06-01,101.72529889718822
2023-07-01,103.21732592229738
2023-08-01,101.65298175549027
2023-09-01,99.67994485748731
2023-10-01,98.56105869303636
2023-11-01,100.75191433956492
2023-12-01,101.82960782065116
2024-01-01,102.06148702679612
2024-02-01,101.01745576525325
2024-03-01,101.45130177432546
2024-04-01,98.9273494747752
2024-05-01,100.07418354412567
2024-06-01,100.62271975072449


 Definition: Tipo de cambio real bilateral Italia. Source: BCE
