date,TREA0013
2022-01-01,104.33232895631372
2022-02-01,105.01679288274208
2022-03-01,105.61645713046052
2022-04-01,103.38741650696682
2022-05-01,99.89355401876904
2022-06-01,99.131205870965
2022-07-01,97.36659516413268
2022-08-01,98.75229521266124
2022-09-01,98.50065222196038
2022-10-01,98.65604892737744
2022-11-01,99.31959907191975
2022-12-01,103.41865745403167
2023-01-01,103.59746702269068
2023-02-01,104.097099838999
2023-03-01,104.16495999146198
2023-04-01,107.60575336548068
2023-05-01,106.73877562582874
2023-06-01,105.70969473714408
2023-07-01,108.3683093426909
2023-08-01,106.84736342444788
2023-09-01,104.15700390915195
2023-10-01,103.62178339295728
2023-11-01,105.3484798583123
2023-12-01,106.33948490788406
2024-01-01,106.78110257642138
2024-02-01,106.29872283991926
2024-03-01,107.28089196612922
2024-04-01,105.20780005102756
2024-05-01,106.38417645160732
2024-06-01,107.11767275502412


 Definition: Tipo de cambio real bilateral Holanda. Source: BCE
