date,TREA0009
2022-01-01,95.2228843597143
2022-02-01,95.0860603314432
2022-03-01,92.70162650533943
2022-04-01,86.8641262812815
2022-05-01,84.8540854820629
2022-06-01,81.20903458898674
2022-07-01,79.73678456901743
2022-08-01,80.89789665430524
2022-09-01,76.37913603583524
2022-10-01,74.79004917838928
2022-11-01,77.14046353812839
2022-12-01,81.38259761186471
2023-01-01,84.93816503017572
2023-02-01,82.92848342988684
2023-03-01,82.40753604349148
2023-04-01,83.11832100532064
2023-05-01,80.70763658261724
2023-06-01,78.22331272526696
2023-07-01,78.34960333849226
2023-08-01,75.98443651076556
2023-09-01,74.6320076830032
2023-10-01,74.50429234233657
2023-11-01,74.50734928538711
2023-12-01,77.10277450015452
2024-01-01,76.0495843353175
2024-02-01,74.58704276974275
2024-03-01,74.46343374407533
2024-04-01,72.03678410130003
2024-05-01,71.15259435565306
2024-06-01,71.1008978614878


 Definition: Tipo de cambio real bilateral Japón. Source: BCE
