date,TUSD0001
2022-01-01,3.843599330906229
2022-02-01,3.77949946576775
2022-03-01,3.6755003642420863
2022-04-01,3.835600045106657
2022-05-01,3.712699436932003
2022-06-01,3.8239996512512313
2022-07-01,3.916599921276342
2022-08-01,3.850199517338989
2022-09-01,3.9715005123235656
2022-10-01,3.9845002938568967
2022-11-01,3.848800636745578
2022-12-01,3.8048999501558094
2023-01-01,3.84470025371177
2023-02-01,3.8068003158121537
2023-03-01,3.760900028507622
2023-04-01,3.70784962889987
2023-05-01,3.672349995519733
2023-06-01,3.631500067364326
2023-07-01,3.613500036135001
2023-08-01,3.6881003074769225
2023-09-01,3.785299335793525
2023-10-01,3.836746439019711
2023-11-01,3.729701101753705
2023-12-01,3.705349153198031
2024-01-01,3.808650359041469
2024-02-01,3.780150956548299
2024-03-01,3.721974462788816
2024-04-01,3.765998904847519
2024-05-01,3.724550148833024
2024-06-01,3.840899200593649


 Definition: Cotización del USD en Perú. Source: BCE
