date,RREC0300
2017-05-01,4145.633860000001
2017-06-01,3573.679660000003
2017-07-01,130703.1316399998
2017-08-01,15815.957280000011
2017-09-01,139143.3566799998
2017-10-01,13615.313549999972
2017-11-01,7504.926440000006
2017-12-01,7366.318770000005
2019-01-01,4898.251589999998
2019-02-01,4056.41396
2019-03-01,3603.095109999997
2019-04-01,3677.732950000001
2019-05-01,2632.003639999999
2019-06-01,2119.829850000001
2019-07-01,68072.91079000004
2019-08-01,73383.60729000007
2019-09-01,74879.09801000007
2019-10-01,71496.40901000005
2019-11-01,73145.23782999993
2019-12-01,11567.15292
2020-01-01,6212.19684999999
2020-02-01,3789.82057
2020-03-01,2721.1352499999985
2020-04-01,1946.87428
2020-05-01,1542.62919
2020-06-01,1934.6488300000008
2020-07-01,3319.075630000003
2020-08-01,3158.6140900000014
2020-09-01,261254.92102
2020-10-01,1789.5896500000017
2020-11-01,1207.7276600000007
2020-12-01,1045.9553500000004
2021-01-01,1918.655440000002
2021-02-01,1182.015380000001
2021-03-01,737.6410600000002
2021-04-01,1126.8054
2021-05-01,407.3586900000003
2021-06-01,570.5550500000004
2021-07-01,5325.735459999998
2021-08-01,699.0572599999998
2021-09-01,1510.25885
2021-10-01,823.73926
2021-11-01,655.2274900000002
2021-12-01,386.64676
2022-01-01,265.9147400000001
2022-02-01,211.61909
2022-03-01,207.23062
2022-04-01,236.60939
2022-05-01,143.20872
2022-06-01,242.19238
2022-07-01,1555.884170000001
2022-08-01,215.6882399999999
2022-09-01,339.51966
2022-10-01,162.80955
2022-11-01,226.34244
2022-12-01,370.1903799999999
2023-01-01,145.94133
2023-02-01,106.75151
2023-03-01,1571.098220000001
2023-04-01,111.73045999999992
2023-05-01,106.61912
2023-06-01,95.28784000000005
2023-07-01,1048.07665
2023-08-01,113.06416
2023-09-01,287.50666
2023-10-01,295.83801
2023-11-01,1332.42351
2023-12-01,172596.0943099999
2024-01-01,42847.72673
2024-02-01,371.66631
2024-03-01,130.3475
2024-04-01,117.82538
2024-05-01,390.0550799999999
2024-06-01,879.5093200000001
2024-07-01,1556.058139999999
2024-08-01,81.51041999999998


 Definition: Recaudación del SRI: Impuesto a la Renta Recaudado, Anticipos al IR. Source: SRI
