date,TEXP0024
2022-01-01,537243.982802
2022-02-01,607353.401661
2022-03-01,611021.805259
2022-04-01,631897.091008
2022-05-01,710887.94936
2022-06-01,692444.9607
2022-07-01,709158.502551
2022-08-01,584506.4845
2022-09-01,591686.53558
2022-10-01,597613.69385
2022-11-01,520496.40304
2022-12-01,494945.743372
2023-01-01,561224.719891
2023-02-01,601741.31737
2023-03-01,708921.07713
2023-04-01,613475.518667
2023-05-01,696248.675785
2023-06-01,654230.866968
2023-07-01,560870.894856
2023-08-01,563091.226527
2023-09-01,601188.770976
2023-10-01,557467.271982
2023-11-01,536531.611362
2023-12-01,550236.284481
2024-01-01,455298.358634
2024-02-01,551155.813682
2024-03-01,514929.159092
2024-04-01,648057.456912
2024-05-01,744438.829154


 Definition: Exportaciones no petroleras: Camarón. Source: BCE
