date,RIND0003
2003-01-01,100.0
2003-02-01,100.01
2003-03-01,97.9
2003-04-01,97.59
2003-05-01,96.96
2003-06-01,96.99
2003-07-01,97.53
2003-08-01,96.54
2003-09-01,96.37
2003-10-01,96.27
2003-11-01,95.33
2003-12-01,94.16
2004-01-01,96.53
2004-02-01,97.21
2004-03-01,97.58
2004-04-01,97.3
2004-05-01,97.85
2004-06-01,99.49
2004-07-01,98.43
2004-08-01,97.36
2004-09-01,98.03
2004-10-01,98.25
2004-11-01,99.0
2004-12-01,99.87
2005-01-01,99.25
2005-02-01,99.56
2005-03-01,99.91
2005-04-01,100.77
2005-05-01,99.76
2005-06-01,100.0
2005-07-01,98.75
2005-08-01,100.98
2005-09-01,101.43
2005-10-01,100.43
2005-11-01,99.48
2005-12-01,101.29
2006-01-01,102.23
2006-02-01,101.66
2006-03-01,103.08
2006-04-01,101.61
2006-05-01,103.2
2006-06-01,103.02
2006-07-01,104.0
2006-08-01,103.96
2006-09-01,103.86
2006-10-01,103.48
2006-11-01,103.07
2006-12-01,103.41
2007-01-01,105.44
2007-02-01,104.19
2007-03-01,104.05
2007-04-01,103.93
2007-05-01,105.1
2007-06-01,104.97
2007-07-01,104.04
2007-08-01,104.55
2007-09-01,104.32
2007-10-01,106.8
2007-11-01,106.36
2007-12-01,106.58
2008-01-01,105.73
2008-02-01,106.59
2008-03-01,106.63
2008-04-01,108.19
2008-05-01,107.63
2008-06-01,108.1
2008-07-01,108.84
2008-08-01,109.0
2008-09-01,109.6
2008-10-01,109.14
2008-11-01,109.06
2008-12-01,109.65
2009-01-01,109.28
2009-02-01,109.17
2009-03-01,110.68
2009-04-01,110.47
2009-05-01,109.18
2009-06-01,109.92
2009-07-01,110.57
2009-08-01,109.89
2009-09-01,109.36
2009-10-01,110.32
2009-11-01,110.89
2009-12-01,110.21
2010-01-01,109.94
2010-02-01,109.22
2010-03-01,110.25
2010-04-01,109.98
2010-05-01,110.24
2010-06-01,110.5
2010-07-01,110.52
2010-08-01,109.75
2010-09-01,110.91
2010-10-01,110.24
2010-11-01,110.29
2010-12-01,112.03
2011-01-01,110.6
2011-02-01,111.82
2011-03-01,111.56
2011-04-01,112.41
2011-05-01,112.07
2011-06-01,111.99
2011-07-01,112.05
2011-08-01,113.26
2011-09-01,112.62
2011-10-01,112.92
2011-11-01,113.31
2011-12-01,113.06
2012-01-01,113.88
2012-02-01,113.89
2012-03-01,114.1
2012-04-01,113.58
2012-05-01,115.15
2012-06-01,115.41
2012-07-01,116.23
2012-08-01,116.79
2012-09-01,116.85
2012-10-01,117.1
2012-11-01,117.52
2012-12-01,117.64
2013-01-01,117.95
2013-02-01,117.3
2013-03-01,118.19
2013-04-01,117.76
2013-05-01,118.44
2013-06-01,118.01
2013-07-01,118.89
2013-08-01,119.49
2013-09-01,118.72
2013-10-01,120.35
2013-11-01,120.15
2013-12-01,119.4
2014-01-01,118.84
2014-02-01,120.44
2014-03-01,119.21
2014-04-01,120.25
2014-05-01,119.38
2014-06-01,119.91
2014-07-01,119.56
2014-08-01,119.38
2014-09-01,120.62
2014-10-01,120.04
2014-11-01,120.99
2014-12-01,120.92
2015-01-01,119.39
2015-02-01,119.38
2015-03-01,120.09
2015-04-01,119.32
2015-05-01,119.05
2015-06-01,120.1
2015-07-01,119.48
2015-08-01,119.16
2015-09-01,118.71
2015-10-01,118.17
2015-11-01,116.47
2015-12-01,116.31
2016-01-01,116.59
2016-02-01,116.53
2016-03-01,115.64
2016-04-01,115.6
2016-05-01,116.48
2016-06-01,114.4
2016-07-01,114.59
2016-08-01,114.77
2016-09-01,115.53
2016-10-01,114.72
2016-11-01,115.55
2016-12-01,115.91
2017-01-01,115.48
2017-02-01,115.51
2017-03-01,115.92
2017-04-01,114.4
2017-05-01,114.96
2017-06-01,115.21
2017-07-01,115.11
2017-08-01,114.81
2017-09-01,114.62
2017-10-01,116.02
2017-11-01,114.53
2017-12-01,115.47
2018-01-01,115.27
2018-02-01,114.83
2018-03-01,114.58
2018-04-01,114.75
2018-05-01,114.76
2018-06-01,115.65
2018-07-01,114.51
2018-08-01,114.71
2018-09-01,114.89
2018-10-01,114.02
2018-11-01,115.0
2018-12-01,113.32
2019-01-01,113.76
2019-02-01,113.32
2019-03-01,113.27
2019-04-01,113.9
2019-05-01,113.02
2019-06-01,113.35
2019-07-01,113.28
2019-08-01,113.17
2019-09-01,113.47
2019-10-01,113.27
2019-11-01,114.36
2019-12-01,113.1
2020-01-01,115.12
2020-02-01,113.82
2020-03-01,102.23
2020-04-01,103.99
2020-05-01,106.38
2020-06-01,107.74
2020-07-01,106.93
2020-08-01,108.39
2020-09-01,109.22
2020-10-01,108.64
2020-11-01,111.1
2020-12-01,99.78
2021-01-01,106.49
2021-02-01,108.64
2021-03-01,107.76
2021-04-01,107.49
2021-05-01,107.25
2021-06-01,107.41
2021-07-01,108.13
2021-08-01,108.71
2021-09-01,108.09
2021-10-01,108.65
2021-11-01,109.45
2021-12-01,107.54
2022-01-01,110.64
2022-02-01,111.55
2022-03-01,110.63
2022-04-01,111.21
2022-05-01,111.32
2022-06-01,111.03
2022-07-01,111.56
2022-08-01,111.91
2022-09-01,112.09
2022-10-01,112.81
2022-11-01,113.36
2022-12-01,111.2
2023-01-01,112.03
2023-02-01,112.19
2023-03-01,111.81
2023-04-01,112.69
2023-05-01,112.75
2023-06-01,112.39
2023-07-01,112.32
2023-08-01,112.22
2023-09-01,112.0
2023-10-01,111.37
2023-11-01,111.92
2023-12-01,111.14
2024-01-01,110.86
2024-02-01,110.35


 Definition: Indice Construcción. Source: SRI
