date,MCIR0000
2010-01-01,3984.161463999999
2010-02-01,3954.471995999999
2010-03-01,3927.217512999999
2010-04-01,4029.108255999999
2010-05-01,4078.751795999999
2010-06-01,4065.188454999999
2010-07-01,4159.288126
2010-08-01,4218.821414999999
2010-09-01,4191.923856
2010-10-01,4325.188519
2010-11-01,4222.609499
2010-12-01,4545.383996
2011-01-01,4338.057435
2011-02-01,4327.387718
2011-03-01,4346.750043000001
2011-04-01,4477.180944000001
2011-05-01,4438.880007000001
2011-06-01,4561.002566
2011-07-01,4662.684993
2011-08-01,4665.185604
2011-09-01,4742.939525
2011-10-01,4792.115157
2011-11-01,4777.2188590000005
2011-12-01,5290.979416
2012-01-01,4958.153225
2012-02-01,4922.188227000001
2012-03-01,5060.483519
2012-04-01,5211.788464
2012-05-01,5206.314686000001
2012-06-01,5255.812357000001
2012-07-01,5373.014582000001
2012-08-01,5517.385844
2012-09-01,5508.07962
2012-10-01,5615.275053
2012-11-01,5761.627987
2012-12-01,6326.737799
2013-01-01,6043.050888
2013-02-01,6078.519856999999
2013-03-01,6291.904371999999
2013-04-01,6459.978372999999
2013-05-01,6561.087991999999
2013-06-01,6591.960155999998
2013-07-01,6664.541540999998
2013-08-01,6866.667583999998
2013-09-01,6921.835474999998
2013-10-01,6994.278987999998
2013-11-01,6891.926592999998
2013-12-01,7367.056190999998
2014-01-01,7128.644477999998
2014-02-01,7313.657982999999
2014-03-01,7407.463271
2014-04-01,7648.107821
2014-05-01,7726.945989
2014-06-01,7829.186912
2014-07-01,8014.825466
2014-08-01,8327.273001
2014-09-01,8398.111642
2014-10-01,8662.847714
2014-11-01,8796.433419999998
2014-12-01,9539.896732999998
2015-01-01,9267.460641999998
2015-02-01,9334.193122
2015-03-01,9476.104419999998
2015-04-01,10149.165445999995
2015-05-01,10064.448667999995
2015-06-01,10202.301204999998
2015-07-01,10577.856025999998
2015-08-01,10837.206819999998
2015-09-01,10840.869786999998
2015-10-01,11106.374096999998
2015-11-01,11104.984538
2015-12-01,11753.669446999998
2016-01-01,11494.346831999996
2016-02-01,11504.226636999998
2016-03-01,11563.483684
2016-04-01,12036.92602
2016-05-01,12019.260186
2016-06-01,12033.689039
2016-07-01,12161.622424
2016-08-01,12291.671445999998
2016-09-01,12367.708337999997
2016-10-01,12379.556325999996
2016-11-01,12414.640274999998
2016-12-01,13261.119466999997
2017-01-01,12979.480721999997
2017-02-01,13147.254182999995
2017-03-01,13301.037602
2017-04-01,13582.728319
2017-05-01,13642.394549
2017-06-01,13730.199056
2017-07-01,13776.092211
2017-08-01,13943.50576
2017-09-01,13965.808891
2017-10-01,14047.737407
2017-11-01,14170.538186
2017-12-01,14858.680927
2018-01-01,14492.200301
2018-02-01,14508.138891
2018-03-01,14721.223042999998
2018-04-01,14862.999923999998
2018-05-01,14799.452939999996
2018-06-01,14910.815107
2018-07-01,15003.073793
2018-08-01,15190.49001
2018-09-01,15151.679611
2018-10-01,15327.624813
2018-11-01,15346.369073
2018-12-01,15915.865865
2019-01-01,15501.354429
2019-02-01,15514.706724
2019-03-01,15616.165865
2019-04-01,15794.425192
2019-05-01,15811.218259
2019-06-01,15845.231853999998
2019-07-01,15891.792200999998
2019-08-01,16135.621642
2019-09-01,16047.572733
2019-10-01,16394.297361
2019-11-01,16390.254356
2019-12-01,16966.201065
2020-01-01,16682.279209
2020-02-01,16683.729611
2020-03-01,17135.946092999995
2020-04-01,17848.067450999995
2020-05-01,18152.699810999995
2020-06-01,18209.89404
2020-07-01,18019.861441
2020-08-01,17943.976048
2020-09-01,17850.407409
2020-10-01,17528.508113
2020-11-01,17432.258429999998
2020-12-01,17959.915018
2021-01-01,17679.278415999997
2021-02-01,17660.978101999997
2021-03-01,17737.465861999997
2021-04-01,17930.827875
2021-05-01,17934.296286999997
2021-06-01,17907.244920999998
2021-07-01,17925.170027999997
2021-08-01,17956.216983
2021-09-01,17965.886382999997
2021-10-01,18273.416711
2021-11-01,18128.510296
2021-12-01,18683.965678
2022-01-01,18352.073484
2022-02-01,18439.17986
2022-03-01,18360.041723999995
2022-04-01,18559.338146999995
2022-05-01,18436.586029999995
2022-06-01,18555.106886999994
2022-07-01,18550.729910999995
2022-08-01,18588.485990999998
2022-09-01,18602.563472999995
2022-10-01,18689.488836999997
2022-11-01,18957.895236999997
2022-12-01,19226.419669179995
2023-01-01,18900.63938072
2023-02-01,18878.345972
2023-03-01,18995.918187389994
2023-04-01,19160.143752859996
2023-05-01,19110.33507533999
2023-06-01,19120.12242575999
2023-07-01,19149.79416851999
2023-08-01,19249.50268089999
2023-09-01,19304.07348268999
2023-10-01,19332.483684349987
2023-11-01,19305.941301989984
2023-12-01,19818.380925649984
2024-01-01,19496.47723034999
2024-02-01,19507.702582139987
2024-03-01,19551.16324014999
2024-04-01,19659.831312119983
2024-05-01,19641.127472049982
2024-06-01,19682.305071419985
2024-07-01,19647.501428459986
2024-08-01,19792.52356636998
2024-09-01,19754.70028558998
2024-10-01,19866.14680624998
2024-11-01,19965.18758134998


 Definition: Especies Monetarias en Circulación del Banco Central. Source: BCE
