date,TACC0010
2016-03-31,-531.50653395
2016-06-30,-181.01317705426
2016-09-30,168.28323472589005
2016-12-31,70.84669631319183
2017-03-31,18.742
2017-06-30,22.516
2017-09-30,59.140725439840026
2017-12-31,24.782875087102635
2018-03-31,19.118
2018-06-30,-239.485899
2018-09-30,19.823999999999995
2018-12-31,25.392003837973657
2019-03-31,16.9
2019-06-30,21.623
2019-09-30,20.05
2019-12-31,25.0221238763534
2020-03-31,17.418319999999998
2020-06-30,33.622136080000004
2020-09-30,219.37672757
2020-12-31,35.692275115116935
2021-03-31,17.6138032
2021-06-30,29.93043972
2021-09-30,60.24376999999999
2021-12-31,-331.3952541337319
2022-03-31,16.364706932
2022-06-30,19.124596992
2022-09-30,27.26855712
2022-12-31,22.77935330493073
2023-03-31,16.555050706319992
2023-06-30,19.68395440192
2023-09-30,23.3155566912
2023-12-31,22.35731063798009
2024-03-31,21.1284432733832
2024-06-30,18.4826597715392
2024-09-30,20.016932258112


 Definition: Cuenta de capital. Source: BCE
