date,GERO0111
2013-01-01,129.5425264518741
2013-02-01,173.746393017154
2013-03-01,168.1615992411294
2013-04-01,155.48067232000002
2013-05-01,189.6706642813621
2013-06-01,159.40505430999997
2013-07-01,213.65032048
2013-08-01,175.56017155999996
2013-09-01,183.68288299000005
2013-10-01,206.6026108599999
2013-11-01,209.10646371000004
2013-12-01,342.95688587999985
2014-01-01,176.30503517
2014-02-01,171.98877549000002
2014-03-01,169.72531818000004
2014-04-01,191.9604881699999
2014-05-01,218.52093848
2014-06-01,218.56118904000004
2014-07-01,183.96181215
2014-08-01,216.26325803999987
2014-09-01,208.18283791
2014-10-01,196.50821636
2014-11-01,186.11733808
2014-12-01,371.89893759
2015-01-01,150.41023027
2015-02-01,173.22503569
2015-03-01,192.16346099000003
2015-04-01,154.76208586999996
2015-05-01,214.3224717099999
2015-06-01,170.20699277000006
2015-07-01,203.08468719
2015-08-01,173.09397774
2015-09-01,170.01304257
2015-10-01,162.16058341999997
2015-11-01,205.88357955000004
2015-12-01,365.0301389999999
2016-01-01,129.78883563000002
2016-02-01,154.83609379
2016-03-01,173.58140856
2016-04-01,157.22118221000002
2016-05-01,170.94498654999998
2016-06-01,146.61087136000003
2016-07-01,153.30069397000003
2016-08-01,149.74739931000002
2016-09-01,171.82752197999997
2016-10-01,138.20724718
2016-11-01,152.16793557555556
2016-12-01,268.99727428
2017-01-01,122.59211812000008
2017-02-01,133.70551969999997
2017-03-01,135.77449054
2017-04-01,148.22425546
2017-05-01,156.72880393999998
2017-06-01,144.33908283
2017-07-01,139.51250191000003
2017-08-01,131.98307696
2017-09-01,142.93187971999998
2017-10-01,154.27024737000005
2017-11-01,156.41738
2017-12-01,192.38033399999995
2018-01-01,125.29180759999996
2018-02-01,138.11768148000004
2018-03-01,154.4383589800001
2018-04-01,148.91899487
2018-05-01,135.00166962999998
2018-06-01,156.5814719
2018-07-01,156.89267174
2018-08-01,144.06438644999997
2018-09-01,128.11798471999998
2018-10-01,164.97563707
2018-11-01,151.01568566999998
2018-12-01,214.8535259100001
2019-01-01,121.92460721
2019-02-01,138.66718183999998
2019-03-01,168.59405278000003
2019-04-01,172.64174075
2019-05-01,169.26458667000003
2019-06-01,147.2320492
2019-07-01,165.50356826999996
2019-08-01,147.37828532000003
2019-09-01,149.42703628000004
2019-10-01,152.97174022
2019-11-01,163.48774214999997
2019-12-01,169.92935
2020-01-01,97.31685877
2020-02-01,160.57367914
2020-03-01,139.67377412
2020-04-01,106.40654418999998
2020-05-01,107.1454814
2020-06-01,140.57972202000002
2020-07-01,129.40529828999996
2020-08-01,134.19929301000002
2020-09-01,139.23050194000004
2020-10-01,139.77596268999997
2020-11-01,144.37048784
2020-12-01,154.00782678999985
2021-01-01,93.60588561
2021-02-01,130.96437274000002
2021-03-01,166.52771211
2021-04-01,146.46781331999998
2021-05-01,110.98205532000024
2021-06-01,138.42161529000006
2021-07-01,130.43337304999935
2021-08-01,113.71378378999984
2021-09-01,124.20917052999948
2021-10-01,119.39448202000057
2021-11-01,128.37929620000023
2021-12-01,168.3459233800002
2022-01-01,80.75120387
2022-02-01,128.99600248
2022-03-01,138.94739597999995
2022-04-01,123.72393300000005
2022-05-01,136.94030406999997
2022-06-01,203.45356248
2022-07-01,135.0534532300005
2022-08-01,125.90338578999948
2022-09-01,162.62244522999995
2022-10-01,161.25030771000004
2022-11-01,153.05605273000003
2022-12-01,259.2884784100001
2023-01-01,113.24254517
2023-02-01,149.62819953999997
2023-03-01,154.42286954
2023-04-01,145.32755444
2023-05-01,196.10466533
2023-06-01,134.64403605
2023-07-01,158.78392961999992
2023-08-01,199.9799035000001
2023-09-01,226.49573486
2023-10-01,159.17507195
2023-11-01,206.02902008
2023-12-01,298.4289904799999
2024-01-01,133.20041409
2024-02-01,167.11368738
2024-03-01,190.50095174
2024-04-01,196.70858356
2024-05-01,181.34600373
2024-06-01,164.17987614999998


 Definition: Erogación operativa petrolera de Empresas Públicas No Financieras. Source: MEF
