date,GINC0100
2013-01-01,3416.9699287550548
2013-02-01,2415.483940165597
2013-03-01,2982.664663385147
2013-04-01,3850.5194754588338
2013-05-01,3212.2267888881447
2013-06-01,2592.1139664047632
2013-07-01,3427.859039058059
2013-08-01,2986.960200335319
2013-09-01,2901.209744459053
2013-10-01,3314.773658602313
2013-11-01,2976.244160899894
2013-12-01,3222.6288626135224
2014-01-01,3563.986573094473
2014-02-01,2694.4148290667936
2014-03-01,3200.6445039838577
2014-04-01,3858.2544981618457
2014-05-01,3192.445991278708
2014-06-01,3433.448043927103
2014-07-01,3141.39772738993
2014-08-01,2983.8408410416414
2014-09-01,3138.6117060636684
2014-10-01,3298.240557886962
2014-11-01,3284.253683973183
2014-12-01,3110.504349081173
2015-01-01,2986.0893065998257
2015-02-01,3003.412897905257
2015-03-01,2993.8947051742757
2015-04-01,3652.169360279872
2015-05-01,3121.400045399504
2015-06-01,3252.804751972528
2015-07-01,3883.296509048407
2015-08-01,2659.6210788566204
2015-09-01,2740.5091965504034
2015-10-01,2665.007917064001
2015-11-01,2582.5038744959897
2015-12-01,2651.512018127374
2016-01-01,2756.031248665156
2016-02-01,2331.052981470148
2016-03-01,2624.1483301887147
2016-04-01,3085.9667668942125
2016-05-01,2448.092608669692
2016-06-01,2721.8525716067484
2016-07-01,2679.3483955465454
2016-08-01,2912.244967404072
2016-09-01,2725.7109396688065
2016-10-01,2722.7075669181686
2016-11-01,2472.713675603591
2016-12-01,3590.0620401056526
2017-01-01,3084.260420384768
2017-02-01,2488.2537243251045
2017-03-01,3167.4259143366226
2017-04-01,3436.5691951675617
2017-05-01,2976.6227587924955
2017-06-01,2790.640133395026
2017-07-01,3065.576566051108
2017-08-01,2668.075796311576
2017-09-01,3266.784214855319
2017-10-01,2772.40625728253
2017-11-01,2941.215226080544
2017-12-01,3632.138658319776
2018-01-01,3167.499905601744
2018-02-01,2777.9678462365305
2018-03-01,3506.805262090413
2018-04-01,3767.7033627400574
2018-05-01,3477.1092972604524
2018-06-01,3285.001571605309
2018-07-01,3299.271985462889
2018-08-01,3477.027103141767
2018-09-01,3390.409371940405
2018-10-01,3317.13055490605
2018-11-01,3500.84354890144
2018-12-01,4034.3761224090176
2019-01-01,3368.740173092063
2019-02-01,2925.83333934439
2019-03-01,3192.693685489125
2019-04-01,3948.6054650262986
2019-05-01,3681.706343825336
2019-06-01,2979.407568704044
2019-07-01,3117.239257766183
2019-08-01,3325.3681387052347
2019-09-01,3407.8540610284144
2019-10-01,3204.189805849368
2019-11-01,2555.069419300388
2019-12-01,3350.81047579415
2020-01-01,3381.0827740453246
2020-02-01,2908.4498558266423
2020-03-01,3452.5426968042057
2020-04-01,2489.668733990704
2020-05-01,1855.7735736122268
2020-06-01,1879.5292278804204
2020-07-01,2216.561136733535
2020-08-01,2522.985461109492
2020-09-01,2913.964504323238
2020-10-01,2500.8261381622674
2020-11-01,2674.8066514795564
2020-12-01,2734.4670941257727
2021-01-01,2783.854339101392
2021-02-01,2460.0751672213983
2021-03-01,3537.281286588765
2021-04-01,3399.5990085398184
2021-05-01,2930.262951461925
2021-06-01,3270.52379555087
2021-07-01,3103.4194578845554
2021-08-01,2942.430015946634
2021-09-01,3899.2773037361376
2021-10-01,3361.3826859850788
2021-11-01,3502.248034595869
2021-12-01,3272.049978053765
2022-01-01,3437.7738195728825
2022-02-01,2914.760795529736
2022-03-01,4163.561722237108
2022-04-01,3973.70296565311
2022-05-01,4016.440032439209
2022-06-01,3709.060198205266
2022-07-01,3724.625272058688
2022-08-01,3854.994798857028
2022-09-01,4126.5461404581565
2022-10-01,3648.761445603165
2022-11-01,3641.83675657159
2022-12-01,3987.2516871271023
2023-01-01,4122.970966563211
2023-02-01,3017.8861888428983
2023-03-01,3778.0496543619047
2023-04-01,4471.492634498165
2023-05-01,3738.896798118949
2023-06-01,3261.548271515269
2023-07-01,3339.3768585939547
2023-08-01,3507.86971170184
2023-09-01,3494.073608149484
2023-10-01,3645.558754558693
2023-11-01,3597.7445943513576
2023-12-01,3631.111453689313
2024-01-01,3673.570435122663
2024-02-01,3837.266572373999
2024-03-01,3891.767779920496
2024-04-01,4468.725595631643
2024-05-01,4211.248399572611
2024-06-01,3725.897109297683
2024-07-01,4155.939259109797
2024-08-01,3846.3117532551178
2024-09-01,3420.03402750464
2024-10-01,3726.418316113529


 Definition: Ingresos del Sector Público No Financiero, Total. Source: MEF
