date,TIMP0033
2022-01-01,63982.922933
2022-02-01,61486.930666
2022-03-01,62148.370434
2022-04-01,52535.999788
2022-05-01,46875.813278
2022-06-01,46595.842429
2022-07-01,59394.166768
2022-08-01,50876.111131
2022-09-01,82032.317877
2022-10-01,49679.162751
2022-11-01,56488.260321
2022-12-01,56250.387822
2023-01-01,51030.353837
2023-02-01,57742.124147
2023-03-01,55805.085479
2023-04-01,43719.022734
2023-05-01,51614.312496
2023-06-01,51102.854039
2023-07-01,58411.864445
2023-08-01,61731.530847
2023-09-01,50367.820595
2023-10-01,58863.861111
2023-11-01,54135.67796
2023-12-01,49104.864148
2024-01-01,65824.103705
2024-02-01,45504.696203
2024-03-01,46295.410054
2024-04-01,48754.646581
2024-05-01,41613.095841
2024-06-01,38441.544503
2024-07-01,48247.501865
2024-08-01,47474.271375
2024-09-01,39142.723827
2024-10-01,48440.198484


 Definition: Importaciones de materias primas: Materiales de construcción. Source: BCE
