date,MBCE0001
2023-01-01,6898.436609230001
2023-02-01,6723.002535050001
2023-03-01,6794.662506050001
2023-04-01,6356.2193826600005
2023-05-01,6177.629079709999
2023-06-01,5864.45439822
2023-07-01,5596.117258159999
2023-08-01,5562.716753019996
2023-09-01,5688.927133249988
2023-10-01,5627.59809717
2023-11-01,5266.02184244
2023-12-01,5571.64986124
2024-01-01,4994.25316142
2024-02-01,5144.723312439999
2024-03-01,5334.908271620001
2024-04-01,5616.86987159
2024-05-01,5888.39856304
2024-06-01,6110.70540678
2024-07-01,6171.282333180001
2024-08-01,6813.693806670001
2024-09-01,6159.6551819100005


 Definition: Pasivos monetarios del Banco Central. Source: BCE
