date,RCOM0010
2017-01-01,1641516193
2017-02-01,1377371022
2017-03-01,1714989625
2017-04-01,1667861269
2017-05-01,1462471202
2017-06-01,2325937633
2017-07-01,1751981279
2017-08-01,1982361762
2017-09-01,1819495773
2017-10-01,1902076922
2017-11-01,2374373211
2017-12-01,1753398166
2018-01-01,2004414696
2018-02-01,1726614702
2018-03-01,1720552249
2018-04-01,2271239734
2018-05-01,2241781909
2018-06-01,2166494532
2018-07-01,2145871401
2018-08-01,2312470210
2018-09-01,1966178140
2018-10-01,2389486532
2018-11-01,2387019699
2018-12-01,2101837408
2019-01-01,2230875715
2019-02-01,1865768710
2019-03-01,1741511717
2019-04-01,1895715969
2019-05-01,2237394420
2019-06-01,1890881241
2019-07-01,1902120114
2019-08-01,1660390260
2019-09-01,1602389220
2019-10-01,1773454993
2019-11-01,1646208330
2019-12-01,1585931325
2020-01-01,1643390809
2020-02-01,1340346695
2020-03-01,1344353578
2020-04-01,1071953637
2020-05-01,1280848269
2020-06-01,1317308800
2020-07-01,1231823414
2020-08-01,1188068206
2020-09-01,1329036012
2020-10-01,1450155597
2020-11-01,1472602487
2020-12-01,1772953311
2021-01-01,1517830179
2021-02-01,1502448852
2021-03-01,1840264299
2021-04-01,1691219671
2021-05-01,1749373874
2021-06-01,1967592583
2021-07-01,1969289298
2021-08-01,2054552514
2021-09-01,1992512324
2021-10-01,2096512531
2021-11-01,2128217130
2021-12-01,2250991083
2022-01-01,2229493968
2022-02-01,2082098062
2022-03-01,2405026970
2022-04-01,2295702860
2022-05-01,2242194966
2022-06-01,2375685929
2022-07-01,2305667640
2022-08-01,2411343532
2022-09-01,2547505905
2022-10-01,2213259155
2022-11-01,2264213308
2022-12-01,2379877943
2023-01-01,1949700616
2023-02-01,2003337707
2023-03-01,2104530336
2023-04-01,1976891638
2023-05-01,2284332114
2023-06-01,2252570214
2023-07-01,2065944397
2023-08-01,2310983954
2023-09-01,2033240264
2023-10-01,2311205724
2023-11-01,2126523721
2023-12-01,2239275208
2024-01-01,1894916943
2024-02-01,1815455854
2024-03-01,2040131521
2024-04-01,5160302
2024-05-01,1994311440
2024-06-01,1910429574
2024-07-01,1990341464
2024-08-01,2102065654
2024-09-01,2115855125
2024-10-01,2228740248


 Definition: Importaciones de bienes y servicios. Source: SRI
