date,LPOB0001
2007-12-01,9309489.66375344
2008-06-01,9513649.045325205
2008-12-01,9648996.355588948
2009-12-01,10032715.990836062
2010-06-01,10147385.9056569
2010-12-01,10291500.474586513
2011-06-01,10475984.29780032
2011-12-01,10533003.428600565
2012-06-01,10673357.971284982
2012-12-01,10864147.12758654
2013-06-01,10993539.030803088
2013-12-01,11200370.588868435
2014-03-01,11238681.426612236
2014-06-01,11236792.890551483
2014-09-01,11270069.23371687
2014-12-01,11159254.745128112
2015-03-01,11201635.678858584
2015-06-01,11282083.665685946
2015-09-01,11318397.92146868
2015-12-01,11399276.273592656
2016-03-01,11467517.783490948
2016-06-01,11557284.539694404
2016-09-01,11639325.319565438
2016-12-01,11696131.095329154
2017-03-01,11726449.931312677
2017-06-01,11856419.758113448
2017-09-01,11879563.53786258
2017-12-01,11937928.113209505
2018-03-01,11984847.217084209
2018-06-01,12023846.314961854
2018-09-01,12139763.000016008
2018-12-01,12239023.000000697
2019-03-01,12272856.999999523
2019-06-01,12316194.000001175
2019-09-01,12359400.000000026
2019-12-01,12402565.0000004
2020-09-01,12531127.243036168
2020-10-01,12545340.000809142
2020-11-01,12559562.603816597
2020-12-01,12573799.005731178
2021-01-01,12588061.021200445
2021-02-01,12602332.000005065
2021-03-01,12616620.079013163
2021-04-01,12630925.008705543
2021-05-01,12645250.1081633
2021-06-01,12659586.086646264
2021-07-01,12673943.003258804
2021-08-01,12698768.099009443
2021-09-01,12713655.019638255
2021-10-01,12728588.001132632
2021-11-01,12743507.022831216
2021-12-01,12758438.000027046
2022-01-01,12775637.040809397
2022-02-01,12790651.109953236
2022-03-01,12805660.000026712
2022-04-01,12820637.0000045
2022-05-01,12835737.007232398
2022-06-01,12850763.005070494
2022-07-01,12865821.000027427
2022-08-01,12880933.00020465
2022-09-01,12896001.054298166
2022-10-01,12911131.878593791
2022-11-01,12926289.00000534
2022-12-01,12941480.000003874
2023-01-01,12956575.000004804
2023-02-01,12971766.001998369
2023-03-01,12987027.000092585
2023-04-01,13002250.000003552
2023-05-01,13017479.000268484
2023-06-01,13032747.881766845
2023-07-01,13055129.297395486
2023-08-01,13069937.105219385
2023-09-01,13084750.000021843
2023-10-01,13099621.133055476
2023-11-01,13114515.910775442
2023-12-01,13129371.00001542
2024-01-01,13144199.00804298
2024-02-01,13159111.000264946
2024-03-01,13174095.025884075
2024-04-01,13188992.00000858
2024-05-01,13204120.002902389
2024-06-01,13219081.000092233
2024-07-01,13234078.1023616


 Definition: Población en Edad de Trabajar. Source: INE
