date,TBAL0020
2023-01-01,-49.6405936149999
2023-02-01,153.006131013
2023-03-01,163.026014555
2023-04-01,64.9851679760002
2023-05-01,-85.834287103
2023-06-01,-45.540465602
2023-07-01,-11.195152298
2023-08-01,-256.381643153
2023-09-01,140.606743245
2023-10-01,-162.238253035
2023-11-01,-250.730242846
2023-12-01,144.631584418
2024-01-01,36.7952782279999
2024-02-01,364.220520994
2024-03-01,216.084694232
2024-04-01,323.660007531
2024-05-01,394.701197807
2024-06-01,626.87069937
2024-07-01,180.35218971
2024-08-01,127.57131776
2024-09-01,329.50223875
2024-10-01,91.2159751300001
2024-11-01,421.058292707
2024-12-01,604.339981487
2025-01-01,479.155009459
2025-02-01,563.835021963


 Definition: Balanza comercial, No petrolera (comercio exterior). Source: BCE
