date,GINC0000
2013-01-01,2381.220414010424
2013-02-01,1582.516284602591
2013-03-01,2010.270740487794
2013-04-01,2843.308439418632
2013-05-01,2057.188291031256
2013-06-01,1592.2680093568729
2013-07-01,2193.194593025054
2013-08-01,1883.0654121313592
2013-09-01,1961.5070051645275
2013-10-01,2067.4534055584445
2013-11-01,1895.5438014814824
2013-12-01,2137.2588763344
2014-01-01,2289.522382410881
2014-02-01,1685.6679090351577
2014-03-01,2003.592621614928
2014-04-01,2643.5452338774103
2014-05-01,1949.956699091324
2014-06-01,1848.36032106405
2014-07-01,1978.903179480675
2014-08-01,1667.9061051108797
2014-09-01,2088.1861220693463
2014-10-01,2015.1938318765117
2014-11-01,1836.4189987761613
2014-12-01,1890.2509535454628
2015-01-01,2047.2002902312
2015-02-01,1997.713885757424
2015-03-01,1869.439192849594
2015-04-01,2615.1390663475468
2015-05-01,1929.4636838762708
2015-06-01,1856.7202026067584
2015-07-01,2739.4351740992884
2015-08-01,1707.5360349941357
2015-09-01,1820.1864446768896
2015-10-01,1714.1109345286452
2015-11-01,1672.0754348744456
2015-12-01,1725.4979276495233
2016-01-01,1748.5421657690044
2016-02-01,1410.1628068663626
2016-03-01,1577.553693530801
2016-04-01,2179.641213720418
2016-05-01,1569.176342190535
2016-06-01,1790.1477228830825
2016-07-01,1833.9721157838096
2016-08-01,1910.3946501751907
2016-09-01,1782.370526050581
2016-10-01,1758.3295486640752
2016-11-01,1661.6864664081754
2016-12-01,2249.518286795278
2017-01-01,1853.256609265262
2017-02-01,1487.5651511368376
2017-03-01,1833.0080032438411
2017-04-01,2381.4747066746377
2017-05-01,1873.1300191365665
2017-06-01,1681.2442086461413
2017-07-01,2047.4751088996927
2017-08-01,1768.4163569157151
2017-09-01,1784.3547440024684
2017-10-01,1721.176521173189
2017-11-01,1881.4854055083456
2017-12-01,1937.599218788068
2018-01-01,1893.5661457143951
2018-02-01,1540.0382176583712
2018-03-01,1926.710414794764
2018-04-01,2544.700248484563
2018-05-01,2205.756115598684
2018-06-01,1952.7975220800472
2018-07-01,2208.368003291853
2018-08-01,2183.609824299344
2018-09-01,2226.3904450875325
2018-10-01,2247.611572109272
2018-11-01,2304.751731108407
2018-12-01,2987.6202073198424
2019-01-01,2100.1338023620638
2019-02-01,1780.7254002743907
2019-03-01,1977.447924819125
2019-04-01,2701.853125166298
2019-05-01,2371.3296320553363
2019-06-01,1836.4562178240435
2019-07-01,1949.9740347861832
2019-08-01,2068.013707895236
2019-09-01,2004.243335588414
2019-10-01,2149.892219533965
2019-11-01,1885.187105110389
2019-12-01,1829.353332543758
2020-01-01,2185.356358192428
2020-02-01,1691.6100838733914
2020-03-01,2324.669753779791
2020-04-01,1619.208605331054
2020-05-01,1032.4163161936854
2020-06-01,1071.9635313771637
2020-07-01,1336.424697772424
2020-08-01,1488.433819474218
2020-09-01,1909.372636794178
2020-10-01,1458.0124211831617
2020-11-01,1620.8113099659654
2020-12-01,1705.1109395960357
2021-01-01,1780.958558961391
2021-02-01,1414.939026671398
2021-03-01,2439.8253157387635
2021-04-01,2353.51498626982
2021-05-01,1970.727472961924
2021-06-01,2139.302179480871
2021-07-01,2018.6899222745544
2021-08-01,1924.5641609666336
2021-09-01,2334.619164506138
2021-10-01,2082.8219661550825
2021-11-01,2362.4253040458707
2021-12-01,2235.0380063337616
2022-01-01,2324.254874762883
2022-02-01,1944.431121619736
2022-03-01,3027.834014967108
2022-04-01,2913.14874899711
2022-05-01,2680.706387119209
2022-06-01,2650.8795236752667
2022-07-01,2665.497828478686
2022-08-01,2692.239843797028
2022-09-01,2034.6829572581576
2022-10-01,1822.0597010131648
2022-11-01,1781.8800299515883
2022-12-01,2085.3066655671028
2023-01-01,2158.7275426832107
2023-02-01,1406.4785517928983
2023-03-01,1895.6254712629047
2023-04-01,2650.176551058164
2023-05-01,1742.3496744889503
2023-06-01,1575.69096942527
2023-07-01,1515.9953180439531
2023-08-01,1667.2157005618396
2023-09-01,1756.651602089484
2023-10-01,1585.0732090586944
2023-11-01,1561.6109493213592
2023-12-01,1618.9572482931626
2024-01-01,1768.5544478826491
2024-02-01,2048.263641474477
2024-03-01,2124.513562871051
2024-04-01,2514.830121280365
2024-05-01,2119.9567317924034
2024-06-01,1833.226343196577
2024-07-01,2321.2825313205294
2024-08-01,1966.9753672022755
2024-09-01,1922.356048569913


 Definition: Ingresos del Gobierno Central, Total. Source: MEF
