date,TEXP0021
2023-01-01,1036772.061436
2023-02-01,1034022.906642
2023-03-01,1183688.787029
2023-04-01,1065720.494924
2023-05-01,1110957.459497
2023-06-01,1053156.716913
2023-07-01,1008724.540923
2023-08-01,1014955.388668
2023-09-01,1044065.127202
2023-10-01,1051537.018763
2023-11-01,1000299.762436
2023-12-01,1119175.439194
2024-01-01,943242.216926
2024-02-01,1141888.75553
2024-03-01,1085425.717537
2024-04-01,1277299.647451
2024-05-01,1338133.323674
2024-06-01,1214345.054329
2024-07-01,1140895.31654
2024-08-01,1238739.373333
2024-09-01,1234565.561501
2024-10-01,1176329.220766
2024-11-01,1555536.026086
2024-12-01,1580093.650094
2025-01-01,1491580.218248
2025-02-01,1449344.189051


 Definition: Exportaciones no petroleras: Tradicionales, Total. Source: BCE
