date,MINT0020
2006-01-01,4.44
2006-02-01,4.29
2006-03-01,4.45
2006-04-01,4.21
2006-05-01,4.32
2006-06-01,4.31
2006-07-01,4.59
2006-08-01,4.46
2006-09-01,4.87
2006-10-01,4.73
2006-11-01,5.14
2006-12-01,4.87
2007-01-01,4.79
2007-02-01,4.93
2007-03-01,5.33
2007-04-01,5.44
2007-05-01,5.64
2007-06-01,5.2
2007-07-01,5.53
2007-08-01,5.53
2007-09-01,5.61
2007-10-01,5.63
2007-11-01,5.79
2007-12-01,5.64
2008-01-01,5.91
2008-02-01,5.97
2008-03-01,5.96
2008-04-01,5.96
2008-05-01,5.86
2008-06-01,5.45
2008-07-01,5.36
2008-08-01,5.3
2008-09-01,5.29
2008-10-01,5.08
2008-11-01,5.14
2008-12-01,5.09
2009-01-01,5.1
2009-02-01,5.19
2009-03-01,5.31
2009-04-01,5.35
2009-05-01,5.42
2009-06-01,5.63
2009-07-01,5.59
2009-08-01,5.56
2009-09-01,5.57
2009-10-01,5.44
2009-11-01,5.44
2009-12-01,5.24
2010-01-01,5.24
2010-02-01,5.16
2010-03-01,4.87
2010-04-01,4.86
2010-05-01,4.57
2010-06-01,4.4
2010-07-01,4.39
2010-08-01,4.25
2010-09-01,4.25
2010-10-01,4.3
2010-11-01,4.3
2010-12-01,4.28
2011-01-01,4.55
2011-02-01,4.51
2011-03-01,4.59
2011-04-01,4.6
2011-05-01,4.6
2011-06-01,4.58
2011-07-01,4.58
2011-08-01,4.58
2011-09-01,4.58
2011-10-01,4.53
2011-11-01,4.53
2011-12-01,4.53
2012-01-01,4.53
2012-02-01,4.53
2012-03-01,4.53
2012-04-01,4.53
2012-05-01,4.53
2012-06-01,4.53
2012-07-01,4.53
2012-08-01,4.53
2012-09-01,4.53
2012-10-01,4.53
2012-11-01,4.53
2012-12-01,4.53
2013-01-01,4.53
2013-02-01,4.53
2013-03-01,4.53
2013-04-01,4.53
2013-05-01,4.53
2013-06-01,4.53
2013-07-01,4.53
2013-08-01,4.53
2013-09-01,4.53
2013-10-01,4.53
2013-11-01,4.53
2013-12-01,4.53
2014-01-01,4.53
2014-02-01,4.53
2014-03-01,4.53
2014-04-01,4.53
2014-05-01,5.11
2014-06-01,5.19
2014-07-01,4.98
2014-08-01,5.14
2014-09-01,4.98
2014-10-01,5.08
2014-11-01,5.07
2014-12-01,5.18
2015-01-01,5.22
2015-02-01,5.32
2015-03-01,5.31
2015-04-01,5.39
2015-05-01,5.51
2015-06-01,5.48
2015-07-01,5.54
2015-08-01,5.55
2015-09-01,5.55
2015-10-01,4.98
2015-11-01,5.11
2015-12-01,5.14
2016-01-01,5.62
2016-02-01,5.83
2016-03-01,5.95
2016-04-01,5.85
2016-05-01,5.47
2016-06-01,6.0
2016-07-01,6.01
2016-08-01,5.91
2016-09-01,5.78
2016-10-01,5.75
2016-11-01,5.51
2016-12-01,5.12
2017-01-01,5.0
2017-02-01,5.07
2017-03-01,4.89
2017-04-01,4.81
2017-05-01,4.82
2017-06-01,4.8
2017-07-01,4.84
2017-08-01,4.96
2017-09-01,4.97
2017-10-01,4.8
2017-11-01,4.91
2017-12-01,4.95
2018-01-01,4.98
2018-02-01,5.06
2018-03-01,4.96
2018-04-01,4.99
2018-05-01,4.99
2018-06-01,5.11
2018-07-01,5.14
2018-08-01,5.25
2018-09-01,5.08
2018-10-01,5.27
2018-11-01,5.32
2018-12-01,5.43
2019-01-01,5.62
2019-02-01,5.7
2019-03-01,5.67
2019-04-01,5.84
2019-05-01,5.61
2019-06-01,5.89
2019-07-01,5.93
2019-08-01,5.92
2019-09-01,5.98
2019-10-01,6.03
2019-11-01,6.05
2019-12-01,6.17
2020-01-01,6.22
2020-02-01,6.25
2020-03-01,6.24
2020-04-01,7.24
2020-05-01,5.97
2020-06-01,5.98
2020-07-01,6.24
2020-08-01,6.37
2020-09-01,6.36
2020-10-01,6.31
2020-11-01,6.07
2020-12-01,5.89
2021-01-01,5.82
2021-02-01,5.7
2021-03-01,5.53
2021-04-01,5.55
2021-05-01,5.54
2021-06-01,5.51
2021-07-01,5.66
2021-08-01,5.52
2021-09-01,5.51
2021-10-01,5.47
2021-11-01,5.48
2021-12-01,5.91
2022-01-01,5.57
2022-02-01,5.71
2022-03-01,5.51
2022-04-01,5.79
2022-05-01,5.54
2022-06-01,6.1
2022-07-01,5.67
2022-08-01,5.76
2022-09-01,5.93
2022-10-01,6.13
2022-11-01,6.26
2022-12-01,6.35
2023-01-01,6.65
2023-02-01,6.8
2023-03-01,6.92
2023-04-01,6.97
2023-05-01,6.86
2023-06-01,7.03
2023-07-01,7.13
2023-08-01,7.31
2023-09-01,7.4
2023-10-01,7.51
2023-11-01,7.52
2023-12-01,7.7
2024-01-01,7.74
2024-02-01,7.95
2024-03-01,7.93
2024-04-01,8.11
2024-05-01,8.27
2024-06-01,8.44
2024-07-01,8.45
2024-08-01,8.37
2024-09-01,8.25
2024-10-01,7.85
2024-11-01,7.59
2024-12-01,7.46
2025-01-01,7.19
2025-02-01,6.98


 Definition: Tasas de interés referenciales: Pasiva. Source: BCE
