date,LPOB0002
2007-12-01,13682302.000000082
2008-06-01,13781797.000000091
2008-12-01,13878703.502064236
2009-12-01,14081060.00000097
2010-06-01,14180534.00000104
2010-12-01,14279685.29309799
2011-06-01,14378836.586196156
2011-12-01,14478129.293098493
2012-06-01,14578731.907330472
2012-12-01,14682556.499999214
2013-06-01,14787690.549373576
2013-12-01,15872754.999900166
2014-03-01,15935761.00001834
2014-06-01,16027466.000006232
2014-09-01,16061962.964755705
2014-12-01,16148647.936325531
2015-03-01,16187232.001215998
2015-06-01,16279252.001275534
2015-09-01,16312205.2248386
2015-12-01,16404530.613147464
2016-03-01,16467778.582006428
2016-06-01,16560742.259017276
2016-09-01,16593827.084499832
2016-12-01,16714929.00004339
2017-03-01,16738419.518120673
2017-06-01,16746086.970294548
2017-09-01,16838459.86639849
2017-12-01,16961926.4899277
2018-03-01,17008161.802982304
2018-06-01,17054523.438342426
2018-09-01,17084713.000022233
2018-12-01,17223542.00000137
2019-03-01,17272019.99999921
2019-06-01,17332993.999998443
2019-09-01,17393811.000000034
2019-12-01,17454560.000000514
2020-09-01,17635490.46086946
2020-10-01,17655492.00140626
2020-11-01,17675513.204815052
2020-12-01,17695545.0114739
2021-01-01,17715615.047884665
2021-02-01,17735700.000009034
2021-03-01,17755809.13674387
2021-04-01,17775940.01569557
2021-05-01,17796100.189422965
2021-06-01,17816276.164411042
2021-07-01,17836481.00604492
2021-08-01,17856714.17315876
2021-09-01,17876935.041248076
2021-10-01,17897230.00230891
2021-11-01,17917508.040115803
2021-12-01,17937815.000049025
2022-01-01,17958067.080463376
2022-02-01,17978473.18582227
2022-03-01,17998889.000047833
2022-04-01,18019269.000008564
2022-05-01,18039769.01290525
2022-06-01,18060182.00924925
2022-07-01,18080680.00005012
2022-08-01,18101202.00037553
2022-09-01,18121687.097725835
2022-10-01,18142270.946604837
2022-11-01,18162830.00001001
2022-12-01,18183483.000007037
2023-01-01,18204042.000011142
2023-02-01,18224686.00374816
2023-03-01,18245394.000176556
2023-04-01,18266060.00000763
2023-05-01,18286780.00063737
2023-06-01,18307519.54602816
2023-07-01,18369613.492688995
2023-08-01,18390471.213419385
2023-09-01,18411314.00004041
2023-10-01,18432224.26242597
2023-11-01,18453180.77513854
2023-12-01,18474053.000033643
2024-01-01,18494957.01589468
2024-02-01,18515953.000513226
2024-03-01,18536996.04500808
2024-04-01,18557974.00002301
2024-05-01,18579256.006071813
2024-06-01,18600312.00016877
2024-07-01,18621413.27393192
2024-08-01,18642527.000021297
2024-09-01,18663668.45645522
2024-10-01,18684844.2678254
2024-11-01,18706022.00002801
2024-12-01,18727237.13772049


 Definition: Población Total. Source: INE
