date,LEMP0020
2007-12-01,1155871.6677513053
2008-06-01,1130699.1453395882
2008-12-01,957978.3087101504
2009-12-01,1071615.2252092862
2010-06-01,1041266.156149966
2010-12-01,889255.1885828445
2011-06-01,781524.8168982181
2011-12-01,706458.018514559
2012-06-01,664982.2943611501
2012-12-01,603890.2268344087
2013-06-01,818125.6718836902
2013-12-01,809269.0425623204
2014-03-01,890360.4605120876
2014-06-01,851938.938531624
2014-09-01,893704.5657114869
2014-12-01,925773.7620955488
2015-03-01,985697.6124747244
2015-06-01,977785.363655278
2015-09-01,1121987.6147009968
2015-12-01,1050645.9940149651
2016-03-01,1348231.300108245
2016-06-01,1277716.6085331277
2016-09-01,1560341.626750581
2016-12-01,1564825.1867379942
2017-03-01,1726029.6134354807
2017-06-01,1668576.9862833766
2017-09-01,1679858.007572272
2017-12-01,1602909.413073903
2018-03-01,1498138.9648177738
2018-06-01,1544373.1997856863
2018-09-01,1605884.000000872
2018-12-01,1323724.3463502708
2019-03-01,1524117.572739861
2019-06-01,1667278.1624845937
2019-09-01,1649346.4631540717
2019-12-01,1440982.9490619935
2020-09-01,1949825.2009561344
2020-10-01,2145932.9192502834
2020-11-01,1969078.2526263744
2020-12-01,1847630.7158668383
2021-01-01,1880450.6518424533
2021-02-01,1923400.0322878745
2021-03-01,1853491.677476802
2021-04-01,1941859.998249157
2021-05-01,1970477.4448937709
2021-06-01,1917390.2704463613
2021-07-01,2035105.8013200848
2021-08-01,1887049.795426156
2021-09-01,1921312.088872933
2021-10-01,2005392.5797030807
2021-11-01,2076425.285801284
2021-12-01,1976087.8364063331
2022-01-01,1923563.3899892147
2022-02-01,1984799.788446616
2022-03-01,1911075.0004217224
2022-04-01,2041359.099074798
2022-05-01,1888343.8529781585
2022-06-01,2012731.2709761984
2022-07-01,1890850.1332259432
2022-08-01,1970436.6973891445
2022-09-01,1765761.0899844773
2022-10-01,1728935.563861671
2022-11-01,1921318.547131808
2022-12-01,1618845.6785159763
2023-01-01,1656684.8418507336
2023-02-01,1835935.8005825356
2023-03-01,1643087.9540165884
2023-04-01,1691747.532288941
2023-05-01,1559192.814508003
2023-06-01,1698816.525379514
2023-07-01,1699075.717244065
2023-08-01,1800405.606104073
2023-09-01,1768244.8888802135
2023-10-01,1534924.7447965809
2023-11-01,1783420.9482142893
2023-12-01,1824736.925138566
2024-01-01,1747815.3289975966
2024-02-01,1773115.9907920123
2024-03-01,1728585.6622962495
2024-04-01,1812152.918344607
2024-05-01,1942744.125442708
2024-06-01,1729714.924397662
2024-07-01,1732215.260951488
2024-08-01,1829469.58879064


 Definition: Subempleo. Source: INE
