date,RREC2108
2018-03-01,8871.12
2018-04-01,10361.6015
2018-05-01,10010.259
2018-06-01,9326.944
2018-07-01,9892.992
2018-08-01,8477.776
2018-09-01,9609.072
2018-10-01,8230.4
2018-11-01,9856.0
2018-12-01,7780.8
2019-01-01,10110.208
2019-02-01,8238.288
2019-03-01,8817.488
2019-04-01,8272.16
2019-05-01,8192.0819
2019-06-01,8742.192000000001
2019-07-01,8400.565579999999
2019-08-01,8384.864
2019-09-01,9262.4
2019-10-01,7348.448
2019-11-01,9936.0
2019-12-01,7680.064
2020-01-01,8422.624
2020-02-01,7625.6
2020-03-01,7886.400000000001
2020-04-01,5371.36
2020-05-01,1724.176
2020-06-01,4145.024
2020-07-01,5692.8
2020-08-01,6508.8
2020-09-01,5402.064
2020-10-01,5367.328
2020-11-01,7140.816
2020-12-01,5425.024
2021-01-01,6636.8
2021-02-01,6430.400000000001
2021-03-01,5203.200019999999
2021-04-01,6443.2
2021-05-01,5668.8
2021-06-01,4727.16802
2021-07-01,5377.82825
2021-08-01,1313.472
2021-09-01,145.6
2021-10-01,174.4
2021-11-01,129.6
2021-12-01,75.2
2022-01-01,0.28056
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,1e-05
2022-12-01,
2023-01-01,
2023-02-01,1e-05
2023-03-01,
2023-04-01,
2023-05-01,
2023-06-01,
2023-07-01,0.00016
2023-08-01,
2023-09-01,
2023-10-01,
2023-11-01,
2023-12-01,
2024-01-01,
2024-02-01,0.0024
2024-03-01,
2024-04-01,1e-05
2024-05-01,
2024-06-01,
2024-07-01,
2024-08-01,


 Definition: Recaudación del SRI: ICE, OI, Cigarrillos. Source: SRI
