date,PPBR0001
2007-12-01,16.45
2008-06-01,15.49
2008-12-01,15.69
2009-12-01,15.37
2010-06-01,14.79
2010-12-01,13.09
2011-06-01,12.36
2011-12-01,11.61
2012-06-01,9.4
2012-12-01,11.18
2013-06-01,8.51
2013-12-01,8.61
2014-06-01,8.04
2014-12-01,7.65
2015-06-01,7.36
2015-12-01,8.45
2016-06-01,8.57
2016-12-01,8.69
2017-06-01,8.36
2017-12-01,7.939999999999999
2018-06-01,8.98
2018-12-01,8.41
2019-06-01,9.52
2019-12-01,8.88
2020-12-01,15.4424
2021-06-01,14.6866
2021-12-01,10.511
2022-06-01,10.7473
2022-12-01,8.24727877791643
2023-06-01,10.7609
2023-12-01,9.80936769770721
2024-06-01,10.6395605874395


 Definition: Incidencia de pobreza extrema por ingreso. Source: INE
