date,MBAS0000
2010-01-01,6840.630411999999
2010-02-01,6551.673528999999
2010-03-01,6695.645380999998
2010-04-01,6831.639659
2010-05-01,7064.795671999999
2010-06-01,6736.687973999999
2010-07-01,6846.061726999999
2010-08-01,6806.35528
2010-09-01,7078.696729
2010-10-01,7367.323307000001
2010-11-01,7284.444071
2010-12-01,7430.940656999999
2011-01-01,6748.2217
2011-02-01,6838.020146000001
2011-03-01,7324.361597000001
2011-04-01,7720.552210000001
2011-05-01,7675.298442000001
2011-06-01,7623.261188
2011-07-01,7721.724518000001
2011-08-01,7861.912535
2011-09-01,7885.34577
2011-10-01,8034.786894
2011-11-01,7971.901558
2011-12-01,8391.732059000002
2012-01-01,8336.290287
2012-02-01,8217.065886
2012-03-01,8542.893511
2012-04-01,8317.378695
2012-05-01,8408.073457
2012-06-01,8584.260442
2012-07-01,8464.904971000002
2012-08-01,9272.092212
2012-09-01,9311.739791
2012-10-01,9360.77172
2012-11-01,9766.642077
2012-12-01,10003.50085
2013-01-01,9574.567546
2013-02-01,9918.327177
2013-03-01,10434.306012
2013-04-01,10481.046671
2013-05-01,10429.662522
2013-06-01,10522.402319
2013-07-01,10531.778505999995
2013-08-01,11353.230998
2013-09-01,11599.927688999998
2013-10-01,11649.877305999998
2013-11-01,12143.445949
2013-12-01,12738.620961999995
2014-01-01,12176.823552
2014-02-01,12112.805411
2014-03-01,12234.093207
2014-04-01,11927.212629
2014-05-01,12193.637516
2014-06-01,12540.925787
2014-07-01,12579.358418
2014-08-01,13223.986022
2014-09-01,12977.27205
2014-10-01,13457.296435
2014-11-01,14202.874034
2014-12-01,14731.088761
2015-01-01,13927.691016999996
2015-02-01,13665.498839999997
2015-03-01,14043.436520999998
2015-04-01,14148.977825999997
2015-05-01,14822.883327999996
2015-06-01,15052.216829
2015-07-01,15254.944992
2015-08-01,15364.558595
2015-09-01,15301.027383999995
2015-10-01,15941.817936
2015-11-01,16362.410535
2015-12-01,16613.266355999996
2016-01-01,17222.487209
2016-02-01,17282.120344
2016-03-01,17340.849916000003
2016-04-01,17289.106411
2016-05-01,17524.893968
2016-06-01,18172.583577
2016-07-01,18540.372997
2016-08-01,18753.805521999995
2016-09-01,19041.943452999996
2016-10-01,19549.682981
2016-11-01,19709.044871
2016-12-01,21282.702867
2017-01-01,20463.916446
2017-02-01,20769.626342999996
2017-03-01,21004.777135
2017-04-01,20936.861483
2017-05-01,20383.062940000003
2017-06-01,20743.760985
2017-07-01,20640.197466
2017-08-01,20501.158483
2017-09-01,20473.258682
2017-10-01,20800.404854
2017-11-01,21275.723673
2017-12-01,22259.930094
2018-01-01,21222.863347
2018-02-01,21455.841012
2018-03-01,22125.923651
2018-04-01,21794.681146
2018-05-01,21693.687560999995
2018-06-01,21670.211487
2018-07-01,21660.659399
2018-08-01,21886.884858
2018-09-01,21716.475845
2018-10-01,21793.595606
2018-11-01,21884.81531
2018-12-01,22786.213236000003
2019-01-01,22226.693512
2019-02-01,22674.567421000003
2019-03-01,21295.879163
2019-04-01,22297.763160999995
2019-05-01,22659.364377
2019-06-01,22290.78501
2019-07-01,22493.773003999995
2019-08-01,22890.218984
2019-09-01,22085.595416
2019-10-01,22675.523224000004
2019-11-01,22809.897770000003
2019-12-01,23417.001862
2020-01-01,23385.40524
2020-02-01,23817.044095
2020-03-01,23795.997285999994
2020-04-01,25143.452543
2020-05-01,26076.355662999995
2020-06-01,26138.301410999997
2020-07-01,26141.406571
2020-08-01,26120.680047
2020-09-01,26104.917358
2020-10-01,27433.782674
2020-11-01,27266.959964999995
2020-12-01,28797.135579
2021-01-01,27921.219449
2021-02-01,27527.940545
2021-03-01,27510.51855399999
2021-04-01,27393.453095
2021-05-01,27696.606422
2021-06-01,27483.241062
2021-07-01,26722.890143999997
2021-08-01,26650.998423
2021-09-01,27018.822407000003
2021-10-01,28419.55375
2021-11-01,28163.80215
2021-12-01,28951.133359
2022-01-01,28121.373922
2022-02-01,28272.185859
2022-03-01,28651.33934
2022-04-01,28022.260485999992
2022-05-01,27224.35481
2022-06-01,27080.501863
2022-07-01,27537.924832
2022-08-01,27280.371845
2022-09-01,26959.843656999998
2022-10-01,27225.435120999995
2022-11-01,27138.340497999998
2022-12-01,28698.106518699995
2023-01-01,28093.34742723
2023-02-01,27905.96735305
2023-03-01,27922.06532405
2023-04-01,27716.550200659996
2023-05-01,27590.24789770999
2023-06-01,27290.989216219987
2023-07-01,27084.12607615999
2023-08-01,27030.373571019987
2023-09-01,27233.439951249977
2023-10-01,27231.34991516999
2023-11-01,26923.005660439983
2023-12-01,27671.537679239984
2024-01-01,26946.94097941999
2024-02-01,26994.323130439985
2024-03-01,27187.21778961999
2024-04-01,27388.957389589985
2024-05-01,27798.934081039988
2024-06-01,28172.843924779983
2024-07-01,28126.572851179983
2024-08-01,28985.97632466998
2024-09-01,28994.620398099974
2024-10-01,29441.540765209986
2024-11-01,29407.61762279997


 Definition: Base Monetaria del Banco Central BM. Source: BCE
