date,TPRO0000
2007-01-01,39.10937269869317
2007-02-01,46.63039124179256
2007-03-01,48.669200798780814
2007-04-01,53.30811249315904
2007-05-01,54.57203861299571
2007-06-01,57.03713541987517
2007-07-01,64.15913383910437
2007-08-01,62.73586454594662
2007-09-01,65.11552522309151
2007-10-01,71.03407731048084
2007-11-01,81.38481572962982
2007-12-01,78.46768842055712
2008-01-01,77.26219120007363
2008-02-01,80.88273647395913
2008-03-01,89.65661924690667
2008-04-01,97.33618531541528
2008-05-01,108.74992210875874
2008-06-01,118.8024736541556
2008-07-01,114.92283889565672
2008-08-01,99.96770335650125
2008-09-01,88.99651504138339
2008-10-01,62.812038712610416
2008-11-01,42.34185817340124
2008-12-01,25.568172997131548
2009-01-01,27.6544381268303
2009-02-01,26.35400341072578
2009-03-01,36.302483254512616
2009-04-01,40.31676933844117
2009-05-01,50.43343232121157
2009-06-01,63.937380626109686
2009-07-01,55.97529455594705
2009-08-01,64.74649193881052
2009-09-01,64.21048660109363
2009-10-01,69.71074367675186
2009-11-01,71.13084377799031
2009-12-01,67.40097001140305
2010-01-01,72.80474459966909
2010-02-01,70.07740638518085
2010-03-01,73.34060923499148
2010-04-01,75.29542679431289
2010-05-01,65.1595797386388
2010-06-01,66.94199953789827
2010-07-01,69.3525546483524
2010-08-01,69.50089929249334
2010-09-01,67.082331716369
2010-10-01,75.09554544178744
2010-11-01,77.64709590930235
2010-12-01,81.76278292880546
2011-01-01,82.47576718505705
2011-02-01,83.53045248280901
2011-03-01,99.54513191929352
2011-04-01,110.07751318109516
2011-05-01,102.63108998058657
2011-06-01,97.2149579081476
2011-07-01,97.74110235319004
2011-08-01,88.50187542433802
2011-09-01,94.2261772611063
2011-10-01,101.42405218124294
2011-11-01,111.86930884931904
2011-12-01,105.3323038594144
2012-01-01,99.73623182176914
2012-02-01,104.14403481100454
2012-03-01,112.45414555473926
2012-04-01,111.91268345816972
2012-05-01,101.4741513651707
2012-06-01,86.50286722146585
2012-07-01,90.42289116491791
2012-08-01,95.74780488569895
2012-09-01,99.7486741594506
2012-10-01,94.69488673568816
2012-11-01,91.48897557104046
2012-12-01,93.0170102647002
2013-01-01,100.45594960820031
2013-02-01,100.41082409165864
2013-03-01,97.84540837194696
2013-04-01,95.9007858898283
2013-05-01,96.66054148404196
2013-06-01,94.86369052652816
2013-07-01,101.52919748977608
2013-08-01,97.97526792196209
2013-09-01,97.57730929970847
2013-10-01,92.18748626012676
2013-11-01,84.6307416880508
2013-12-01,90.73466605457246
2014-01-01,91.7206989178213
2014-02-01,98.36496899407932
2014-03-01,96.5581164296002
2014-04-01,98.23652790614652
2014-05-01,95.9658285111803
2014-06-01,99.23299121342296
2014-07-01,91.23308056917638
2014-08-01,86.26626870302586
2014-09-01,83.50221776435885
2014-10-01,73.24815937107499
2014-11-01,61.469459341004544
2014-12-01,45.05463072133848
2015-01-01,41.53076024807493
2015-02-01,41.57314289163674
2015-03-01,42.919601327823166
2015-04-01,55.31827102910416
2015-05-01,56.6704051531925
2015-06-01,53.60360881945311
2015-07-01,41.44628163994057
2015-08-01,36.70647805963284
2015-09-01,40.118130605846126
2015-10-01,37.853730873359055
2015-11-01,31.141720984554087
2015-12-01,27.068990372216486
2016-01-01,21.744035326785223
2016-02-01,22.47789840904173
2016-03-01,28.444994612097236
2016-04-01,34.29785037768588
2016-05-01,37.59473641991348
2016-06-01,39.92278433029696
2016-07-01,35.3279309602544
2016-08-01,37.31526626664799
2016-09-01,39.23373463578254
2016-10-01,41.01266646991159
2016-11-01,39.29970397187188
2016-12-01,44.574000393573485
2017-01-01,44.9344920618148
2017-02-01,44.57222210625135
2017-03-01,42.89025809865361
2017-04-01,44.79848986797101
2017-05-01,41.5404834897003
2017-06-01,40.480066743251456
2017-07-01,40.95122500099717
2017-08-01,43.21713901886236
2017-09-01,45.35544010318176
2017-10-01,49.41953520862711
2017-11-01,54.71386399756108
2017-12-01,57.236241792887945
2018-01-01,60.502328553603554
2018-02-01,58.02527316057252
2018-03-01,57.233441582189634
2018-04-01,61.10461209955273
2018-05-01,63.746430874143606
2018-06-01,62.25228002702496
2018-07-01,67.33420378769743
2018-08-01,61.62961001238942
2018-09-01,66.76361718157833
2018-10-01,68.61468748475544
2018-11-01,55.28159559066562
2018-12-01,46.89572492512812
2019-01-01,48.90408152484955
2019-02-01,54.05385594902971
2019-03-01,58.536480854676
2019-04-01,64.98403656051633
2019-05-01,60.84014656747589
2019-06-01,55.342433433471456
2019-07-01,57.508680428646194
2019-08-01,54.15335680741878
2019-09-01,54.21471329442301
2019-10-01,50.379012361521895
2019-11-01,52.633476376252105
2019-12-01,54.19904917429901
2020-01-01,50.9899019053563
2020-02-01,44.59924782745606
2020-03-01,23.16999558884276
2020-04-01,14.03742579453826
2020-05-01,25.36901083993092
2020-06-01,34.54303167462388
2020-07-01,36.47660424509306
2020-08-01,38.16751453834689
2020-09-01,36.017000667591134
2020-10-01,36.01377562589948
2020-11-01,37.07992640555477
2020-12-01,43.289685607853926
2021-01-01,48.60327237464914
2021-02-01,55.6179829118505
2021-03-01,58.72773035092332
2021-04-01,57.24166184957031
2021-05-01,61.52149625837221
2021-06-01,67.29539588175551
2021-07-01,66.84045599598817
2021-08-01,61.14596453621992
2021-09-01,64.74356379945596
2021-10-01,75.20429737271427
2021-11-01,68.49726147410001
2021-12-01,60.28941382457188
2022-01-01,77.62952223388547
2022-02-01,84.66512679761594
2022-03-01,100.3834643191792
2022-04-01,94.70603077846228
2022-05-01,101.31749192427966
2022-06-01,104.40086740252455
