date,RVAR0000
2017-01-01,1380686581.32
2017-02-01,859856230.128
2017-03-01,1166233859.039
2017-04-01,1765088435.352
2017-05-01,1061302248.69
2017-06-01,1082140295.974
2017-07-01,1122993854.5002
2017-08-01,1003364558.572
2017-09-01,1118702803.694
2017-10-01,1009655294.626
2017-11-01,1040354088.1605
2017-12-01,1068868726.407
2018-01-01,1366333468.706
2018-02-01,954932057.069
2018-03-01,1116860463.732
2018-04-01,1779301535.7387
2018-05-01,1224687815.506
2018-06-01,1030029006.362
2018-07-01,1205595713.572
2018-08-01,1088538476.0714
2018-09-01,1175083871.83
2018-10-01,1099194798.076
2018-11-01,1101855217.35
2018-12-01,2001420115.756
2019-01-01,1352367477.222
2019-02-01,984243112.958
2019-03-01,1088427557.828
2019-04-01,2068246597.776
2019-05-01,1124221953.76
2019-06-01,1037242043.318
2019-07-01,1147155026.844
2019-08-01,1141283477.862
2019-09-01,1101743999.8115
2019-10-01,1109487259.896
2019-11-01,1080486368.124
2019-12-01,1033843571.08
2020-01-01,1418543622.904
2020-02-01,908384727.958
2020-03-01,1157343650.924
2020-04-01,1345520686.86
2020-05-01,732486555.38
2020-06-01,764245859.4
2020-07-01,878520937.83
2020-08-01,903744829.9
2020-09-01,1262480139.2905
2020-10-01,956476640.59
2020-11-01,986287057.81
2020-12-01,1067809870.05
2021-01-01,1303435996.19
2021-02-01,944791709.76
2021-03-01,1200188504.74
2021-04-01,1424443058.5
2021-05-01,1063918408.8
2021-06-01,1053405628.07
2021-07-01,1099998967.44
2021-08-01,1073188161.7
2021-09-01,1226249578.01
2021-10-01,1163382508.73
2021-11-01,1174033766.96
2021-12-01,1249121240.28
2022-01-01,1555978362.62
2022-02-01,1036014971.06
2022-03-01,1873287503.45
2022-04-01,2190622915.73
2022-05-01,72066422.82000001
2022-06-01,1261774580.8
2022-07-01,1241595014.74
2022-08-01,1291174041.4
2022-09-01,1383916311.54
2022-10-01,1282082466.76
2022-11-01,1283673730.98
2022-12-01,1373069254.75
2023-01-01,1684785233.86
2023-02-01,1122718561.65
2023-03-01,1711291468.97
2023-04-01,2398190777.92
2023-05-01,1360671105.51
2023-06-01,1331475423.16
2023-07-01,1280679503.2
2023-08-01,1299149002.52
2023-09-01,1313135271.47
2023-10-01,1281529570.48
2023-11-01,1235683014.94
2023-12-01,1400387124.79
2024-01-01,1629318091.92
2024-02-01,1184438083.3
2024-03-01,1719182951.86
2024-04-01,2452703911.43
2024-05-01,1759715369.83
2024-06-01,1535963026.64


 Definition: SRI valores recaudados mensualmente, valor. Source: SRI
