date,MCAR0011
2006-01-01,624.76
2006-02-01,632.31
2006-03-01,639.71
2006-04-01,645.68
2006-05-01,657.23
2006-06-01,672.92
2006-07-01,687.98
2006-08-01,704.81
2006-09-01,722.78
2006-10-01,738.35
2006-11-01,755.07
2006-12-01,766.1
2007-01-01,772.77
2007-02-01,783.55
2007-03-01,807.4
2007-04-01,821.5
2007-05-01,840.56
2007-06-01,859.97
2007-07-01,941.07
2007-08-01,955.0
2007-09-01,972.5
2007-10-01,985.98
2007-11-01,1007.7
2007-12-01,1019.98
2008-01-01,1029.67
2008-02-01,1045.76
2008-03-01,1073.43
2008-04-01,1105.7
2008-05-01,1135.84
2008-06-01,1168.53
2008-07-01,1201.27
2008-08-01,1228.66
2008-09-01,1251.98
2008-10-01,1268.52
2008-11-01,1280.03
2008-12-01,1279.02
2009-01-01,1274.81
2009-02-01,1282.61
2009-03-01,1290.69
2009-04-01,1287.94
2009-05-01,1287.34
2009-06-01,1291.64
2009-07-01,1304.66
2009-08-01,1314.66
2009-09-01,1330.41
2009-10-01,1348.22
2009-11-01,1362.38
2009-12-01,1379.01
2010-01-01,1386.69
2010-02-01,1407.53
2010-03-01,1444.92
2010-04-01,1479.0
2010-05-01,1515.15
2010-06-01,1560.34
2010-07-01,1610.07
2010-08-01,1656.79
2010-09-01,1696.95
2010-10-01,1738.51
2010-11-01,1769.43
2010-12-01,1804.49
2011-01-01,1827.49
2011-02-01,1864.4
2011-03-01,1907.74
2011-04-01,1954.37
2011-05-01,2007.58
2011-06-01,2069.28
2011-07-01,2127.32
2011-08-01,2187.67
2011-09-01,2391.74
2011-10-01,2464.4
2011-11-01,2508.19
2011-12-01,2555.07
2012-01-01,2587.61
2012-02-01,2635.48
2012-03-01,2705.47
2012-04-01,2762.9
2012-05-01,2826.86
2012-06-01,2891.36
2012-07-01,2946.8
2012-08-01,2865.5
2012-09-01,3028.33
2012-10-01,3069.37
2012-11-01,3097.23
2012-12-01,3113.4
2013-01-01,3123.53
2013-02-01,3140.99
2013-03-01,3172.27
2013-04-01,3206.39
2013-05-01,3246.97
2013-06-01,3292.94
2013-07-01,3333.17
2013-08-01,3371.63
2013-09-01,3430.45
2013-10-01,3470.81
2013-11-01,3521.13
2013-12-01,3517.77
2014-01-01,3556.58
2014-02-01,3603.09
2014-03-01,3547.05
2014-04-01,3512.22
2014-05-01,3639.32
2014-06-01,3692.94
2014-07-01,3754.03
2014-08-01,3810.68
2014-09-01,3889.58
2014-10-01,3960.6
2014-11-01,4006.29
2014-12-01,4033.3
2015-01-01,4050.36
2015-02-01,4083.75
2015-03-01,4144.07
2015-04-01,4182.81
2015-05-01,4223.04
2015-06-01,4260.0
2015-07-01,4311.0
2015-08-01,4353.85
2015-09-01,4391.250000000001
2015-10-01,4455.04
2015-11-01,4461.2300000000005
2015-12-01,4424.879999999999
2016-01-01,4383.93
2016-02-01,4361.77
2016-03-01,4364.16
2016-04-01,4350.53
2016-05-01,4362.07
2016-06-01,4371.3
2016-07-01,4464.67
2016-08-01,4836.259999999999
2016-09-01,4858.259999999999
2016-10-01,4880.83
2016-11-01,4898.66
2016-12-01,4895.23
2017-01-01,4892.08
2017-02-01,4980.820000000001
2017-03-01,5075.84
2017-04-01,5259.91
2017-05-01,5374.780000000001
2017-06-01,5497.419999999999
2017-07-01,5646.360000000001
2017-08-01,5782.0
2017-09-01,5929.95
2017-10-01,6135.05
2017-11-01,6253.0
2017-12-01,6428.53
2018-01-01,6560.09
2018-02-01,6674.87
2018-03-01,6826.98
2018-04-01,6966.11
2018-05-01,7135.900000000001
2018-06-01,7302.79
2018-07-01,7464.1
2018-08-01,7649.85
2018-09-01,7791.82
2018-10-01,7968.38
