date,RIND0004
2003-01-01,100.0
2003-02-01,100.57
2003-03-01,100.3
2003-04-01,104.15
2003-05-01,103.75
2003-06-01,103.73
2003-07-01,105.58
2003-08-01,104.73
2003-09-01,106.07
2003-10-01,106.16
2003-11-01,106.13
2003-12-01,103.25
2004-01-01,106.32
2004-02-01,107.28
2004-03-01,106.92
2004-04-01,107.22
2004-05-01,107.62
2004-06-01,107.79
2004-07-01,106.99
2004-08-01,108.3
2004-09-01,109.01
2004-10-01,109.1
2004-11-01,110.5
2004-12-01,112.14
2005-01-01,112.65
2005-02-01,114.57
2005-03-01,113.99
2005-04-01,116.11
2005-05-01,115.93
2005-06-01,117.97
2005-07-01,117.46
2005-08-01,118.7
2005-09-01,119.53
2005-10-01,120.02
2005-11-01,121.02
2005-12-01,120.68
2006-01-01,120.96
2006-02-01,122.97
2006-03-01,123.5
2006-04-01,122.1
2006-05-01,123.09
2006-06-01,123.87
2006-07-01,123.84
2006-08-01,123.78
2006-09-01,124.08
2006-10-01,124.6
2006-11-01,125.04
2006-12-01,127.94
2007-01-01,127.64
2007-02-01,127.91
2007-03-01,129.05
2007-04-01,127.75
2007-05-01,129.6
2007-06-01,129.3
2007-07-01,129.27
2007-08-01,130.09
2007-09-01,129.34
2007-10-01,130.67
2007-11-01,130.44
2007-12-01,129.18
2008-01-01,131.65
2008-02-01,131.41
2008-03-01,132.43
2008-04-01,133.74
2008-05-01,133.58
2008-06-01,134.34
2008-07-01,134.63
2008-08-01,135.79
2008-09-01,136.62
2008-10-01,136.55
2008-11-01,136.03
2008-12-01,137.24
2009-01-01,135.64
2009-02-01,135.02
2009-03-01,136.5
2009-04-01,135.34
2009-05-01,135.05
2009-06-01,136.38
2009-07-01,136.21
2009-08-01,135.31
2009-09-01,136.68
2009-10-01,137.26
2009-11-01,137.64
2009-12-01,139.04
2010-01-01,138.67
2010-02-01,139.03
2010-03-01,140.14
2010-04-01,139.52
2010-05-01,139.45
2010-06-01,139.97
2010-07-01,141.22
2010-08-01,141.52
2010-09-01,142.2
2010-10-01,142.46
2010-11-01,142.17
2010-12-01,143.29
2011-01-01,143.61
2011-02-01,144.38
2011-03-01,143.91
2011-04-01,145.98
2011-05-01,145.08
2011-06-01,146.27
2011-07-01,146.09
2011-08-01,145.9
2011-09-01,146.68
2011-10-01,145.65
2011-11-01,146.82
2011-12-01,146.54
2012-01-01,146.17
2012-02-01,147.04
2012-03-01,147.84
2012-04-01,146.16
2012-05-01,147.91
2012-06-01,146.76
2012-07-01,146.89
2012-08-01,147.65
2012-09-01,145.65
2012-10-01,147.34
2012-11-01,147.94
2012-12-01,147.33
2013-01-01,147.84
2013-02-01,146.29
2013-03-01,147.0
2013-04-01,148.13
2013-05-01,148.13
2013-06-01,146.77
2013-07-01,147.77
2013-08-01,146.69
2013-09-01,147.67
2013-10-01,148.05
2013-11-01,148.33
2013-12-01,147.52
2014-01-01,146.71
2014-02-01,147.49
2014-03-01,146.11
2014-04-01,146.48
2014-05-01,146.93
2014-06-01,147.29
2014-07-01,147.56
2014-08-01,148.84
2014-09-01,149.07
2014-10-01,146.61
2014-11-01,146.92
2014-12-01,147.45
2015-01-01,145.95
2015-02-01,145.34
2015-03-01,145.53
2015-04-01,145.98
2015-05-01,144.35
2015-06-01,145.48
2015-07-01,145.04
2015-08-01,144.15
2015-09-01,144.77
2015-10-01,146.56
2015-11-01,143.94
2015-12-01,144.0
2016-01-01,143.96
2016-02-01,144.01
2016-03-01,143.94
2016-04-01,142.78
2016-05-01,143.4
2016-06-01,142.14
2016-07-01,142.45
2016-08-01,143.18
2016-09-01,142.49
2016-10-01,141.7
2016-11-01,143.55
2016-12-01,143.82
2017-01-01,143.09
2017-02-01,143.12
2017-03-01,144.58
2017-04-01,142.55
2017-05-01,143.07
2017-06-01,144.27
2017-07-01,142.05
2017-08-01,143.77
2017-09-01,144.99
2017-10-01,144.82
2017-11-01,144.36
2017-12-01,145.08
2018-01-01,144.22
2018-02-01,145.44
2018-03-01,145.19
2018-04-01,145.84
2018-05-01,146.23
2018-06-01,146.28
2018-07-01,146.9
2018-08-01,146.64
2018-09-01,147.23
2018-10-01,146.18
2018-11-01,146.86
2018-12-01,145.06
2019-01-01,146.75
2019-02-01,146.61
2019-03-01,147.19
2019-04-01,146.78
2019-05-01,145.37
2019-06-01,146.84
2019-07-01,146.39
2019-08-01,145.55
2019-09-01,145.64
2019-10-01,145.66
2019-11-01,145.51
2019-12-01,146.58
2020-01-01,147.08
2020-02-01,146.03
2020-03-01,132.19
2020-04-01,135.18
2020-05-01,136.38
2020-06-01,138.0
2020-07-01,138.14
2020-08-01,140.28
2020-09-01,140.72
2020-10-01,139.16
2020-11-01,142.31
2020-12-01,134.64
2021-01-01,143.86
2021-02-01,144.23
2021-03-01,144.39
2021-04-01,144.85
2021-05-01,145.07
2021-06-01,145.18
2021-07-01,145.71
2021-08-01,146.6
2021-09-01,146.84
2021-10-01,148.07
2021-11-01,149.8
2021-12-01,147.66
2022-01-01,149.63
2022-02-01,150.38
2022-03-01,150.22
2022-04-01,150.41
2022-05-01,149.96
2022-06-01,149.77
2022-07-01,151.1
2022-08-01,151.06
2022-09-01,151.21
2022-10-01,150.57
2022-11-01,151.33
2022-12-01,150.73
2023-01-01,150.63
2023-02-01,151.75
2023-03-01,151.04
2023-04-01,152.92
2023-05-01,152.26
2023-06-01,153.05
2023-07-01,152.54
2023-08-01,153.63
2023-09-01,153.09
2023-10-01,152.95
2023-11-01,153.25
2023-12-01,152.88
2024-01-01,153.31
2024-02-01,152.84
2024-03-01,152.64
2024-04-01,152.81
2024-05-01,153.19
2024-06-01,154.33
2024-07-01,154.89


 Definition: Indice Servicios. Source: SRI
