date,TUSD0007
2022-01-01,0.74360499702558
2022-02-01,0.7461016190405133
2022-03-01,0.7614406457016676
2022-04-01,0.7939658594680429
2022-05-01,0.7933989209774674
2022-06-01,0.821962847279303
2022-07-01,0.8223684210526316
2022-08-01,0.8607333448097779
2022-09-01,0.9041591320072332
2022-10-01,0.8719155985700584
2022-11-01,0.833472245374229
2022-12-01,0.8281573498964803
2023-01-01,0.810898475510866
2023-02-01,0.8267879288962381
2023-03-01,0.8070699326096606
2023-04-01,0.7959565407728737
2023-05-01,0.8044728691524878
2023-06-01,0.7887990534411359
2023-07-01,0.7788465282916002
2023-08-01,0.7881773399014778
2023-09-01,0.819672131147541
2023-10-01,0.8221317877255724
2023-11-01,0.7905450808332345
2023-12-01,0.7843444840974155
2024-01-01,0.7865654619105675
2024-02-01,0.7922360863537333
2024-03-01,0.7925186241876684
2024-04-01,0.7999040115186177
2024-05-01,0.785638527713399
2024-06-01,0.7912957467853611


 Definition: Cotización del USD en Reino Unido. Source: BCE
