date,TIMP0000
2022-01-01,2345334.812833
2022-02-01,2173433.660528
2022-03-01,2633741.082171
2022-04-01,2479317.565332
2022-05-01,2492864.963836
2022-06-01,2742702.020092
2022-07-01,2478765.693429
2022-08-01,2625998.248124
2022-09-01,2745435.932779
2022-10-01,2496037.247348
2022-11-01,2699070.64984
2022-12-01,2404149.139287
2023-01-01,2324431.978476
2023-02-01,2279732.97551
2023-03-01,2415145.770721
2023-04-01,2302938.177049
2023-05-01,2432180.299137
2023-06-01,2274278.158164
2023-07-01,2344937.729755
2023-08-01,2719481.100809
2023-09-01,2540173.269014
2023-10-01,2631499.660012
2023-11-01,2607688.506744
2023-12-01,2251098.573642
2024-01-01,2169949.425659
2024-02-01,1990900.247663
2024-03-01,2205704.667227
2024-04-01,2314144.030035
2024-05-01,2342721.691989
2024-06-01,2184851.543434
2024-07-01,2243503.044958
2024-08-01,2536909.100234
2024-09-01,2247569.473848
2024-10-01,2442258.027329


 Definition: Importaciones, Total. Source: BCE
