date,FDEB2002
2021-09-01,27957810.56
2021-10-01,73119313.41
2021-11-01,26460841.62
2021-12-01,27083227.43
2022-01-01,27197601.84
2022-02-01,27204820.22
2022-03-01,27274137.87
2022-04-01,26776692.78
2022-05-01,26738289.95
2022-06-01,28128780.37
2022-07-01,25775477.36
2022-08-01,26209311.97
2022-09-01,25844233.96
2022-10-01,26711998.86
2022-11-01,26225287.89
2022-12-01,27142863.62
2023-01-01,26172829.25
2023-02-01,
2023-03-01,27226406.83
2023-04-01,27955990.3
2023-05-01,27299623.38
2023-06-01,28143635.64
2023-07-01,28447852.11
2023-08-01,27828184.62
2023-09-01,28656062.22
2023-10-01,28823236.65
2023-11-01,
2023-12-01,31792824.01
2024-01-01,31492336.0
2024-02-01,30965362.03
2024-03-01,31648227.5
2024-04-01,30521499.78
2024-05-01,30104265.43
2024-06-01,32635659.7832122
2024-07-01,33282831.584391203
2024-08-01,32938343.9316812


 Definition: Total deuda publica interna agregada mas otras obligaciones. Source: MEF
