date,MCAR0012
2006-01-01,208.43
2006-02-01,215.1
2006-03-01,225.27
2006-04-01,227.92
2006-05-01,236.25
2006-06-01,201.83
2006-07-01,208.83
2006-08-01,218.78
2006-09-01,229.89
2006-10-01,236.8
2006-11-01,210.36
2006-12-01,222.51
2007-01-01,228.14
2007-02-01,234.29
2007-03-01,243.73
2007-04-01,252.08
2007-05-01,262.01
2007-06-01,273.4
2007-07-01,281.38
2007-08-01,286.5
2007-09-01,296.14
2007-10-01,306.47
2007-11-01,247.79
2007-12-01,260.04
2008-01-01,267.59
2008-02-01,278.34
2008-03-01,284.47
2008-04-01,292.63
2008-05-01,244.2
2008-06-01,246.75
2008-07-01,249.63
2008-08-01,259.13
2008-09-01,279.52
2008-10-01,219.41
2008-11-01,232.68
2008-12-01,243.77
2009-01-01,248.36
2009-02-01,255.39
2009-03-01,254.04
2009-04-01,240.55
2009-05-01,236.23
2009-06-01,187.68
2009-07-01,198.21
2009-08-01,206.06
2009-09-01,213.97
2009-10-01,223.39
2009-11-01,230.82
2009-12-01,234.43
2010-01-01,241.06
2010-02-01,248.84
2010-03-01,259.94
2010-04-01,259.05
2010-05-01,268.37
2010-06-01,283.19
2010-07-01,289.58
2010-08-01,297.25
2010-09-01,304.25
2010-10-01,295.7
2010-11-01,301.9
2010-12-01,276.12
2011-01-01,286.71
2011-02-01,286.18
2011-03-01,294.34
2011-04-01,301.5
2011-05-01,305.81
2011-06-01,310.49
2011-07-01,317.16
2011-08-01,321.73
2011-09-01,330.43
2011-10-01,338.45
2011-11-01,344.97
2011-12-01,342.93
2012-01-01,347.3
2012-02-01,348.21
2012-03-01,324.7
2012-04-01,333.6
2012-05-01,342.39
2012-06-01,353.97
2012-07-01,363.72
2012-08-01,373.58
2012-09-01,381.57
2012-10-01,384.7
2012-11-01,372.57
2012-12-01,352.3
2013-01-01,351.53
2013-02-01,355.47
2013-03-01,366.88
2013-04-01,372.66
2013-05-01,384.87
2013-06-01,401.25
2013-07-01,405.45
2013-08-01,408.55
2013-09-01,412.97
2013-10-01,415.27
2013-11-01,417.63
2013-12-01,420.7
2014-01-01,420.7
2014-02-01,421.24
2014-03-01,411.49
2014-04-01,430.66
2014-05-01,434.75
2014-06-01,395.67
2014-07-01,406.13
2014-08-01,416.85
2014-09-01,428.5
2014-10-01,436.06
2014-11-01,441.73
2014-12-01,448.73
2015-01-01,454.0
2015-02-01,462.22
2015-03-01,468.93
2015-04-01,462.8
2015-05-01,462.17
2015-06-01,459.38
2015-07-01,457.53
2015-08-01,395.14
2015-09-01,391.85
2015-10-01,390.51
2015-11-01,387.31
2015-12-01,385.25
2016-01-01,380.05
2016-02-01,378.52
2016-03-01,347.47
2016-04-01,413.61
2016-05-01,410.56
2016-06-01,410.43
2016-07-01,431.71
2016-08-01,434.91
2016-09-01,434.2000000000001
2016-10-01,436.44
2016-11-01,438.62
2016-12-01,432.71
2017-01-01,434.59
2017-02-01,437.32
2017-03-01,439.51
2017-04-01,443.05
2017-05-01,452.75
2017-06-01,516.77
2017-07-01,518.71
2017-08-01,523.25
2017-09-01,528.06
2017-10-01,530.73
2017-11-01,532.9100000000001
2017-12-01,535.97
2018-01-01,537.46
2018-02-01,536.37
2018-03-01,545.08
2018-04-01,549.36
2018-05-01,552.49
2018-06-01,561.96
2018-07-01,573.02
2018-08-01,583.5999999999999
2018-09-01,589.0999999999999
2018-10-01,598.6700000000001
2018-11-01,607.53
2018-12-01,609.26
2019-01-01,609.11
2019-02-01,612.78
2019-03-01,616.17
2019-04-01,621.53
2019-05-01,628.86
2019-06-01,635.1800000000001
2019-07-01,642.0999999999999
2019-08-01,646.3000000000001
2019-09-01,655.6199999999999
2019-10-01,661.21
2019-11-01,673.13
2019-12-01,684.35
2020-01-01,685.02
2020-02-01,689.57
2020-03-01,687.8100000000001
2020-04-01,682.5500000000001
2020-05-01,679.99
2020-06-01,674.81
2020-07-01,670.17
2020-08-01,673.45
2020-09-01,694.02
2020-10-01,696.6199999999999
2020-11-01,698.4599999999999
2020-12-01,702.1600000000001
2021-01-01,699.85
2021-02-01,704.87
2021-03-01,713.8700000000001
2021-04-01,717.25
2021-05-01,722.967662
2021-06-01,724.6823589999999
2021-07-01,672.5038099999999
2021-08-01,676.745942
2021-09-01,678.594386
2021-10-01,686.111616
2021-11-01,688.425121
2021-12-01,690.903779
2022-01-01,682.6269870000001
2022-02-01,682.6174970000001
2022-03-01,685.2698720000001
2022-04-01,690.957298
2022-05-01,699.121606
2022-06-01,702.034269
2022-07-01,713.6624860000001
2022-08-01,723.095644
2022-09-01,736.596065
2022-10-01,740.638631
2022-11-01,750.329812
2022-12-01,757.636941
2023-01-01,760.337576
2023-02-01,764.50910908
2023-03-01,771.313294
2023-04-01,771.170394
2023-05-01,769.977975
2023-06-01,770.945621
2023-07-01,724.247544999999
2023-08-01,723.580292999999
2023-09-01,710.639952
2023-10-01,707.617672
2023-11-01,712.059683
2023-12-01,707.392105
2024-01-01,696.08975
2024-02-01,691.999732
2024-03-01,685.05052
2024-04-01,681.086431
2024-05-01,676.936441
2024-06-01,674.053269
2024-07-01,671.077538
2024-08-01,663.766006
2024-09-01,660.941079


 Definition: Colocación de cartera, Mutualistas. Source: BCE
