date,TEXP0100
2023-01-01,2337.718713851
2023-02-01,2522.290289187
2023-03-01,2601.691514795
2023-04-01,2528.237608908
2023-05-01,2638.256898812
2023-06-01,2530.849820144
2023-07-01,2567.369982467
2023-08-01,2620.989127991
2023-09-01,3065.25202403
2023-10-01,2606.661074005
2023-11-01,2511.125353066
2023-12-01,2596.047797303
2024-01-01,2610.810784103
2024-02-01,2669.769041928
2024-03-01,2795.358568394
2024-04-01,2909.289108141
2024-05-01,3041.642123002
2024-06-01,2925.63595118
2024-07-01,2707.790376716
2024-08-01,2990.764278295
2024-09-01,2758.82776289
2024-10-01,2842.785702854
2024-11-01,2976.539751166
2024-12-01,3191.619034052
2025-01-01,3172.10864063
2025-02-01,2981.791970585


 Definition: Exportaciones FOB, Total. Source: BCE
