date,XIND0003
2010-02-01,53.7767958390293
2010-03-01,61.0086034649223
2010-04-01,52.6359594837846
2010-05-01,49.2937913202671
2010-06-01,51.7314754307169
2010-07-01,55.566864955891
2010-08-01,53.6462545362353
2010-09-01,59.9994661128433
2010-10-01,58.6166329297792
2010-11-01,48.7348137572542
2010-12-01,46.0489522440143
2011-01-01,49.8374814593489
2011-02-01,54.4259469135276
2011-03-01,54.6622571559565
2011-04-01,54.8753822170809
2011-05-01,58.6672075130674
2011-06-01,55.5957822614535
2011-07-01,52.6994322914657
2011-08-01,57.6303604828113
2011-09-01,55.3598823594028
2011-10-01,55.4247240922888
2011-11-01,45.6051138032091
2011-12-01,49.8341418762771
2012-01-01,49.5370842288999
2012-02-01,53.7311434918333
2012-03-01,54.7053866892072
2012-04-01,53.3414438646439
2012-05-01,61.1209613401033
2012-06-01,53.3498208194389
2012-07-01,55.3608687797677
2012-08-01,55.0379875685714
2012-09-01,55.5169846884895
2012-10-01,61.0354337919082
2012-11-01,47.7201732496229
2012-12-01,49.6515373825376
2013-01-01,53.6090235535821
2013-02-01,53.6497648799834
2013-03-01,58.4371619085657
2013-04-01,60.5168339308778
2013-05-01,53.3663708545637
2013-06-01,50.4973966785356
2013-07-01,55.4303728451016
2013-08-01,53.4997068500361
2013-09-01,54.0656437315049
2013-10-01,60.4054799905699
2013-11-01,51.4377555273793
2013-12-01,48.4817413226953
2014-01-01,50.7020775327774
2014-02-01,54.3845749794974
2014-03-01,58.3600749506366
2014-04-01,57.8306561331696
2014-05-01,55.166374098863
2014-06-01,52.3777596392051
2014-07-01,58.0771414880723
2014-08-01,55.1680125113059
2014-09-01,54.8356290179437
2014-10-01,55.5560509227515
2014-11-01,44.7124596179154
2014-12-01,51.384205506071
2015-01-01,49.2189600383042
2015-02-01,50.5565508080582
2015-03-01,57.4479035657207
2015-04-01,51.3952495593625
2015-05-01,50.8067498530047
2015-06-01,51.0570030674625
2015-07-01,45.6771238624202
2015-08-01,47.1059278657891
2015-09-01,51.3499455427439
2015-10-01,52.2390035984365
2015-11-01,43.6730812417989
2015-12-01,47.8926820961865
2016-01-01,47.8449007867036
2016-02-01,48.3523205626855
2016-03-01,57.0589925927775
2016-04-01,47.6934510857022
2016-05-01,53.1996271945321
2016-06-01,49.1936597829867
2016-07-01,50.3717137911784
2016-08-01,53.666766384445
2016-09-01,51.2345185683069
2016-10-01,56.056724674741
2016-11-01,50.9839208571781
2016-12-01,51.3316653937541
2017-01-01,49.570284833317
2017-02-01,52.2685937967547
2017-03-01,58.4502074188168
2017-04-01,49.5002754543778
2017-05-01,55.699402204633
2017-06-01,53.8651027570456
2017-07-01,49.9810391204073
2017-08-01,54.0369713231073
2017-09-01,53.3259953011675
2017-10-01,58.0095201086875
2017-11-01,50.363341040219
2017-12-01,48.1009123655553
2018-01-01,51.8912195519327
2018-02-01,51.1782016948163
2018-03-01,58.2852962959191
2018-04-01,52.6675668839994
2018-05-01,53.7418342368669
2018-06-01,48.0675671591597
2018-07-01,52.1215214654348
2018-08-01,57.1878996552965
2018-09-01,50.8010247061829
2018-10-01,57.7151636378116
2018-11-01,45.9986898749084
2018-12-01,46.4128994956909
2019-01-01,51.9858466654478
2019-02-01,48.9180203767068
2019-03-01,58.8764413267252
2019-04-01,55.14525567194
2019-05-01,53.8858786565207
2019-06-01,47.5837305160466
2019-07-01,55.2725515717362
2019-08-01,52.0949494783219
2019-09-01,49.5089770589636
2019-10-01,54.2297858303756
2019-11-01,48.5990067267065
2019-12-01,48.7727451742554
2020-01-01,53.1866506260823
2020-02-01,52.1867752257861
2020-03-01,40.6427920147398
2020-04-01,47.5691405418465
2020-05-01,56.6215430091387
2020-06-01,55.2024538168516
2020-07-01,56.0153628986016
2020-08-01,49.0531516113377
2020-09-01,59.0870786802871
2020-10-01,57.253290759262
2020-11-01,46.2487422920801
2020-12-01,49.8117639205396
2021-01-01,44.0056794050466
2021-02-01,51.1683404536919
2021-03-01,60.6311949515626
2021-04-01,52.3508718925956
2021-05-01,54.0846604091959
2021-06-01,57.2910461191255
2021-07-01,52.7727961533384
2021-08-01,57.2447036951658
2021-09-01,56.6632183707081
2021-10-01,53.7194566502616
2021-11-01,49.7102709383342
2021-12-01,53.5856138703393
2022-01-01,48.7983152424604
2022-02-01,55.8312575504331
2022-03-01,58.2981958394758
2022-04-01,45.2843649590621
2022-05-01,50.6330017058659
2022-06-01,48.1650275707373
2022-07-01,58.4242968294786
2022-08-01,53.0391043889122
2022-09-01,48.3455986250472
2022-10-01,48.7866969173178
2022-11-01,44.6001304370584
2022-12-01,46.5641633672305
2023-01-01,46.2701454679704
2023-02-01,45.300411872864
2023-03-01,58.2251140218564
2023-04-01,42.8225871542475
2023-05-01,53.6332197294698
2023-06-01,47.9926032869169
2023-07-01,49.6145350312436
2023-08-01,51.0061292690006
2023-09-01,47.023972774509
2023-10-01,54.9654351182034
2023-11-01,47.2850385620945
2023-12-01,46.4696531476788
2024-01-01,45.7799191796995
2024-02-01,54.1890513183441
2024-03-01,58.4217499798988
2024-04-01,54.437711473782
2024-05-01,54.1534253495706
2024-06-01,43.3000067132521
2024-07-01,53.6071948501215


 Definition: Indice de Expectativas de la Economía Manufactura. Source: BCE
