date,EGEN0004
2010-01-01,443.7090515629999
2010-02-01,591.8654488179999
2010-03-01,619.153174171
2010-04-01,722.3946814390004
2010-05-01,908.390352301
2010-06-01,925.090883481
2010-07-01,972.03848861
2010-08-01,946.3698133949998
2010-09-01,591.0746317959998
2010-10-01,517.5021820480001
2010-11-01,521.4983999616467
2010-12-01,710.9976427309999
2011-01-01,793.506335557
2011-02-01,783.6869786220001
2011-03-01,657.526506308
2011-04-01,927.352183695
2011-05-01,1131.287722168
2011-06-01,1117.9595347039997
2011-07-01,1197.4058230569997
2011-08-01,920.411574404
2011-09-01,1002.153438997
2011-10-01,799.8855785839999
2011-11-01,645.4712344569999
2011-12-01,991.800354464
2012-01-01,1174.632889951
2012-02-01,1090.2493047059995
2012-03-01,1206.382958822
2012-04-01,1196.8674144709998
2012-05-01,1229.8687486029994
2012-06-01,1088.889107137
2012-07-01,1112.1968663490002
2012-08-01,910.431874988
2012-09-01,810.5341607520003
2012-10-01,746.727146205
2012-11-01,804.0367036089999
2012-12-01,676.895044812
2013-01-01,936.0587869009998
2013-02-01,897.1980176399998
2013-03-01,1108.213681598
2013-04-01,836.1980095809997
2013-05-01,804.4204689479998
2013-06-01,1023.1672777580004
2013-07-01,1043.65474803
2013-08-01,1139.43024105
2013-09-01,872.4377791089998
2013-10-01,869.5846068800001
2013-11-01,734.355910741
2013-12-01,583.9037095959999
2014-01-01,716.704356742
2014-02-01,625.1594860700001
2014-03-01,893.9957351619998
2014-04-01,982.725233889
2014-05-01,1109.694718964
2014-06-01,1209.7445286000002
2014-07-01,1282.476330737
2014-08-01,1236.6290284410004
2014-09-01,797.1236407190003
2014-10-01,1040.301959859
2014-11-01,726.3720924430002
2014-12-01,756.7122232129998
2015-01-01,1000.810442863
2015-02-01,1017.2209198789996
2015-03-01,946.798796175
2015-04-01,1201.0803088600003
2015-05-01,1338.697315161
2015-06-01,1266.3633700500004
2015-07-01,1330.3476599429998
2015-08-01,1058.5975165399996
2015-09-01,1039.5151436929998
2015-10-01,1024.3109274090002
2015-11-01,896.4013216359998
2015-12-01,874.6017369450001
2016-01-01,862.0018245509999
2016-02-01,933.989665306
2016-03-01,1303.857696582
2016-04-01,1330.80518829
2016-05-01,1598.4944792999995
2016-06-01,1486.0509289900008
2016-07-01,1497.737455637
2016-08-01,1476.7107105630007
2016-09-01,1419.4205432979998
2016-10-01,1319.6546512019995
2016-11-01,1169.9539615969989
2016-12-01,1178.945421188
2017-01-01,1578.739356227
2017-02-01,1529.9277854129998
2017-03-01,1830.567093107
2017-04-01,1737.0099670889997
2017-05-01,1805.021601511
2017-06-01,1661.6569947440005
2017-07-01,1639.6715710969995
2017-08-01,1633.5307814049995
2017-09-01,1595.3564394369996
2017-10-01,1674.0642694109993
2017-11-01,1551.139922647
2017-12-01,1631.3442141189994
2018-01-01,1894.515207958
2018-02-01,1575.9669763559998
2018-03-01,1635.424401563
2018-04-01,1804.9613564680008
2018-05-01,1864.4619525650005
2018-06-01,1740.7454951920006
2018-07-01,1737.972407468
2018-08-01,1738.154226523
2018-09-01,1718.5161766109998
2018-10-01,1434.2102515500007
2018-11-01,1523.9477413020006
2018-12-01,1854.1314717170003
2019-01-01,2017.6113450909995
2019-02-01,1991.4333453660008
2019-03-01,2180.149035197001
2019-04-01,2132.031652552
2019-05-01,2185.715603423999
2019-06-01,1983.365720945
2019-07-01,1931.230465548
2019-08-01,1969.230055255
2019-09-01,1882.962495815999
2019-10-01,1888.8463232769996
2019-11-01,2097.8455200779995
2019-12-01,2199.0304132530005
2020-01-01,2278.429051616002
2020-02-01,2097.990830197
2020-03-01,2053.2653985370007
2020-04-01,1944.049574333
2020-05-01,2113.786472646
2020-06-01,2100.883146855
2020-07-01,2087.896510669
2020-08-01,2017.307557649
2020-09-01,1955.6294563569995
2020-10-01,1991.211961842
2020-11-01,1547.278578527999
2020-12-01,1980.9301433939995
2021-01-01,2109.899821133999
2021-02-01,1985.842478439999
2021-03-01,2412.777114341
2021-04-01,2355.8235850490014
2021-05-01,2163.536565427
2021-06-01,2042.4824107650013
2021-07-01,2061.4563725800003
2021-08-01,2077.713926117
2021-09-01,1861.02350719942
2021-10-01,1935.17785553903
2021-11-01,2085.9122450933355
2021-12-01,2290.532499420047
2022-01-01,2005.334430687857
2022-02-01,1808.6272150554437
2022-03-01,2334.070015426139
2022-04-01,2254.9323168159485
2022-05-01,2308.465625329699
2022-06-01,2078.3943376256216
2022-07-01,2169.0907781746287
2022-08-01,2181.1960666716923
2022-09-01,2035.458080498938
2022-10-01,1883.188670928459
2022-11-01,1758.375788311632
2022-12-01,1682.404654570563
2023-01-01,1609.8393893173943
2023-02-01,1597.8683475952107
2023-03-01,2383.4495677380323
2023-04-01,2388.752498747694
2023-05-01,2665.950681933008
2023-06-01,2550.7819391883554
2023-07-01,2649.05761776242
2023-08-01,2354.8804667741706
2023-09-01,1807.042250285363
2023-10-01,1781.581064537405
2023-11-01,1566.585421328747
2023-12-01,1861.90677772762
2024-01-01,2179.000048467984
2024-02-01,2173.941271946095
2024-03-01,2221.541633879345
2024-04-01,2058.7524841248705
2024-05-01,2287.5508709462665
2024-06-01,2343.033606981773
2024-07-01,2177.440384831193
2024-08-01,1776.083909169475
2024-09-01,1517.865617441171


 Definition: Generación eléctrica Hidroelectrica. Source: CENACE
