date,RIDE0000
2014-01-01,161.06771397127994
2014-02-01,149.21717491567847
2014-03-01,161.72804503792133
2014-04-01,163.43445389150415
2014-05-01,180.33923590454347
2014-06-01,159.1564682189238
2014-07-01,168.12882292565976
2014-08-01,173.00143710220803
2014-09-01,162.65942154705792
2014-10-01,169.13337714282193
2014-11-01,164.9606658606927
2014-12-01,177.86755446593452
2015-01-01,154.23889338378572
2015-02-01,149.5428699064678
2015-03-01,182.4207772650638
2015-04-01,160.80073010005498
2015-05-01,147.79090055733468
2015-06-01,155.51759504354416
2015-07-01,162.17776357993472
2015-08-01,155.15419872398536
2015-09-01,150.61076450665075
2015-10-01,151.13635491539844
2015-11-01,155.45562441069225
2015-12-01,166.3712876533401
2016-01-01,147.3606388599301
2016-02-01,142.2627647566046
2016-03-01,145.05774917451447
2016-04-01,142.22074303465143
2016-05-01,144.44807613409802
2016-06-01,156.09685934178552
2016-07-01,139.47525046859622
2016-08-01,155.35412849471712
2016-09-01,149.92997593095686
2016-10-01,154.0467517095218
2016-11-01,155.8240257650056
2016-12-01,176.31742783813178
2017-01-01,162.4323416171437
2017-02-01,141.78646903339128
2017-03-01,157.13924895413555
2017-04-01,150.92051608459738
2017-05-01,157.8127106118396
2017-06-01,153.3068636127808
2017-07-01,157.5159185936902
2017-08-01,153.82579583993936
2017-09-01,154.519748371348
2017-10-01,154.70719257916727
2017-11-01,158.00895560478384
2017-12-01,173.97832802895778
2018-01-01,161.61267710899105
2018-02-01,146.53148832628986
2018-03-01,159.8962486195663
2018-04-01,159.50878484962857
2018-05-01,163.2223646430488
2018-06-01,159.98878074484793
2018-07-01,161.3642049366631
2018-08-01,165.22711443613582
2018-09-01,155.59657953031194
2018-10-01,170.7389883461677
2018-11-01,162.8990431389985
2018-12-01,182.96217661272195
2019-01-01,161.5950211999891
2019-02-01,153.17169951885424
2019-03-01,158.1833249089917
2019-04-01,155.29162105119647
2019-05-01,161.09715321762985
2019-06-01,156.81599188990552
2019-07-01,161.53837272418502
2019-08-01,164.99332095232077
2019-09-01,160.0343079988876
2019-10-01,155.86065283092574
2019-11-01,160.47090179689812
2019-12-01,172.445830575162
2020-01-01,166.08080695113244
2020-02-01,151.8780134396602
2020-03-01,142.9506341573853
2020-04-01,101.9261322639772
2020-05-01,117.00528265708466
2020-06-01,132.59835157158986
2020-07-01,141.26096398678112
2020-08-01,143.83664099072655
2020-09-01,152.05202327956937
2020-10-01,156.3487185728176
2020-11-01,152.3102651449691
2020-12-01,171.891542489105
2021-01-01,151.9162327526812
2021-02-01,144.54036911958465
2021-03-01,162.38056458181111
2021-04-01,159.05631185409757
2021-05-01,153.0582998210567
2021-06-01,155.62529172229162
2021-07-01,170.37455896045734
2021-08-01,170.4915036807188
2021-09-01,174.5986441425424
2021-10-01,177.91579802730547
2021-11-01,175.17565842918648
2021-12-01,194.25521043717447
2022-01-01,174.516700100047
2022-02-01,162.15702495131868
2022-03-01,178.02648538900226
2022-04-01,174.87874224608498
2022-05-01,172.09583630974987
2022-06-01,162.34191536354083
2022-07-01,172.45918553788113
2022-08-01,182.84770341460288
2022-09-01,183.1056926419333
2022-10-01,177.87625243585984
2022-11-01,179.86555948169072
2022-12-01,193.79466255223204
2023-01-01,178.24886125386783
2023-02-01,162.95739289035146
2023-03-01,176.91644712487016
2023-04-01,175.18060380327296
2023-05-01,181.63258735372008
2023-06-01,182.263984280326
2023-07-01,179.22411303264337
2023-08-01,189.8757130093136
2023-09-01,180.07231924992303
2023-10-01,186.0053490629299


 Definition: Indice de Actividad Económica Coyuntural (IDEAC). Source: BCE
