date,MRIN0020
2006-01-01,480.438657
2006-02-01,468.105639
2006-03-01,491.63
2006-04-01,544.01
2006-05-01,551.606933
2006-06-01,518.24
2006-07-01,534.29
2006-08-01,526.69
2006-09-01,506.20284
2006-10-01,510.01
2006-11-01,546.29
2006-12-01,533.87
2007-01-01,549.49
2007-02-01,561.06
2007-03-01,559.0
2007-04-01,571.88
2007-05-01,556.76
2007-06-01,549.49
2007-07-01,562.1600000000001
2007-08-01,567.6600000000001
2007-09-01,627.63
2007-10-01,666.91
2007-11-01,661.85
2007-12-01,704.29
2008-01-01,779.8944879999999
2008-02-01,820.65258
2008-03-01,788.552942
2008-04-01,735.757486
2008-05-01,748.217214
2008-06-01,785.8075799999999
2008-07-01,775.45967
2008-08-01,703.6578480000001
2008-09-01,747.1613050000001
2008-10-01,617.374732
2008-11-01,688.120645
2008-12-01,734.701577
2009-01-01,776.726761
2009-02-01,804.180398
2009-03-01,774.192579
2009-04-01,746.1053959999999
2009-05-01,824.0314900000001
2009-06-01,789.3976700000001
2009-07-01,793.198943
2009-08-01,807.136944
2009-09-01,841.1372180000001
2009-10-01,878.516401
2009-11-01,993.188133
2009-12-01,918.640949
2010-01-01,911.038403
2010-02-01,936.16904
2010-03-01,942.293313
2010-04-01,996.144679
2010-05-01,1020.008226
2010-06-01,1050.840773
2010-07-01,987.486224
2010-08-01,1052.530227
2010-09-01,1104.058593
2010-10-01,1137.636503
2010-11-01,1168.6802320000002
2010-12-01,1187.264233
2011-01-01,1120.953139
2011-02-01,1191.910233
2011-03-01,1215.562597
2011-04-01,1297.078783
2011-05-01,1297.92351
2011-06-01,1271.7369640000002
2011-07-01,1375.638423
2011-08-01,1531.931895
2011-09-01,1368.475142
2011-10-01,1454.638392
2011-11-01,1474.912097
2011-12-01,1293.293483
2012-01-01,1473.222622
2012-02-01,1495.185803
2012-03-01,1404.798864
2012-04-01,1394.873197
2012-05-01,1316.164338
2012-06-01,1350.444637
2012-07-01,1370.513993
2012-08-01,1393.1699999999998
2012-09-01,1501.37
2012-10-01,1453.57
2012-11-01,1460.02
2012-12-01,1402.5500000000002
2013-01-01,1408.87
2013-02-01,1344.6999999999998
2013-03-01,1353.2099999999998
2013-04-01,1244.25
2013-05-01,1181.49
2013-06-01,1010.63
2013-07-01,1114.46
2013-08-01,1182.56
2013-09-01,1125.344845
2013-10-01,1123.3666899999998
2013-11-01,1063.703036
2013-12-01,1023.459316
2014-01-01,1062.739621
2014-02-01,1127.072872
2014-03-01,1098.0410800000002
2014-04-01,1095.295683
2014-05-01,477.671285
2014-06-01,502.350608
2014-07-01,494.681806
2014-08-01,494.930567
2014-09-01,468.729038
2014-10-01,448.920089
2014-11-01,456.092329
2014-12-01,464.906838
2015-01-01,485.474024
2015-02-01,468.067549
2015-03-01,457.917894
2015-04-01,455.404346
2015-05-01,459.685788
2015-06-01,452.073837
2015-07-01,424.59120600000006
2015-08-01,438.466948
2015-09-01,430.505457
2015-10-01,443.840517
2015-11-01,410.970931
2015-12-01,410.457646
2016-01-01,430.095992
2016-02-01,476.765496
2016-03-01,477.561645
2016-04-01,496.005767
2016-05-01,468.121591
2016-06-01,509.851572
2016-07-01,519.131809
2016-08-01,509.04672
2016-09-01,516.675849
2016-10-01,499.561433
2016-11-01,466.214559
2016-12-01,456.42745
2017-01-01,484.390433
2017-02-01,1086.220474
2017-03-01,1083.56354
2017-04-01,1105.175765
2017-05-01,1110.180511
2017-06-01,1093.4461299999998
2017-07-01,1118.9076619999998
2017-08-01,1158.531648
2017-09-01,1138.064042
2017-10-01,752.217573
2017-11-01,762.751974
2017-12-01,772.830868
2018-01-01,804.366914
2018-02-01,791.348814
2018-03-01,800.592864
2018-04-01,803.9581830000001
2018-05-01,801.029668
2018-06-01,775.8217209999999
2018-07-01,768.742575
2018-08-01,770.6946519999999
2018-09-01,779.7384870000001
2018-10-01,803.939742
2018-11-01,815.233787
2018-12-01,422.347677
2019-01-01,885.025742
2019-02-01,886.640263
2019-03-01,878.971356
2019-04-01,876.887585
2019-05-01,892.409764
2019-06-01,961.527462
2019-07-01,976.707962
2019-08-01,1032.6058
2019-09-01,1013.105958
2019-10-01,1033.180433
2019-11-01,1008.329513
2019-12-01,1082.003915
2020-01-01,1138.169079
2020-02-01,1157.985268
2020-03-01,772.436799
2020-04-01,1224.728782
2020-05-01,1243.027677
2020-06-01,1377.3085259999998
2020-07-01,1530.235487
2020-08-01,1527.791366
2020-09-01,1932.138828
2020-10-01,1935.13329
2020-11-01,1823.770164
2020-12-01,1960.072331
2021-01-01,1873.559481
2021-02-01,1751.976146
2021-03-01,1699.904904
2021-04-01,1771.879826
2021-05-01,1909.898775
2021-06-01,1772.382444
2021-07-01,1835.310239
2021-08-01,1824.353163
2021-09-01,1751.925885
2021-10-01,1778.413862
2021-11-01,1813.848443
2021-12-01,1815.306036
2022-01-01,1804.65053
2022-02-01,1894.669444
2022-03-01,2109.343929
2022-04-01,2075.838144
2022-05-01,1996.988226
2022-06-01,1973.420137
2022-07-01,1904.345002
2022-08-01,1863.616738
2022-09-01,1815.665996
2022-10-01,1780.096645
2022-11-01,1904.45361062
2022-12-01,1969.89035429
2023-01-01,2089.52284087
2023-02-01,1981.67439859
2023-03-01,2150.12649725
2023-04-01,2153.2218453
2023-05-01,2133.50936566
2023-06-01,2076.86992694
2023-07-01,2140.29740961
2023-08-01,2109.50684224
2023-09-01,2031.52579336
2023-10-01,2168.8071942
2023-11-01,2210.67584926
2023-12-01,1756.17062533
2024-01-01,1734.91981160999
2024-02-01,1730.5260052
2024-03-01,1871.04331417
2024-04-01,1949.329115
2024-05-01,1984.18382935
2024-06-01,1969.52372526
2024-07-01,2050.1331737
2024-08-01,2123.68718301
2024-09-01,2222.20984222
2024-10-04,2239.19359393
2024-10-10,2221.36487944
2024-10-18,2291.96151904
2024-10-25,2307.97356357
2024-10-31,2310.25496305


 Definition: Reservas Internacionales: Oro. Source: BCE
