date,RVEN0010
2017-01-01,1545690106
2017-02-01,1472295535
2017-03-01,1590541558
2017-04-01,1504667408
2017-05-01,1603529282
2017-06-01,1571213724
2017-07-01,1441095280
2017-08-01,1508356242
2017-09-01,1887673316
2017-10-01,1752471931
2017-11-01,1596380206
2017-12-01,1737638465
2018-01-01,1232919856
2018-02-01,1132673865
2018-03-01,1269896726
2018-04-01,1763709699
2018-05-01,1859585861
2018-06-01,1777523363
2018-07-01,1793634049
2018-08-01,1895558812
2018-09-01,2972720542
2018-10-01,2008430941
2018-11-01,1155413570
2018-12-01,1714285499
2019-01-01,1711655757
2019-02-01,1613170539
2019-03-01,1723240152
2019-04-01,1970731975
2019-05-01,1936768658
2019-06-01,1817070550
2019-07-01,1884588947
2019-08-01,1826924372
2019-09-01,1736356210
2019-10-01,1809688140
2019-11-01,1992092805
2019-12-01,1839673233
2020-01-01,1974019079
2020-02-01,1864629037
2020-03-01,1680688957
2020-04-01,1331068403
2020-05-01,1245929541
2020-06-01,1381593914
2020-07-01,1538415082
2020-08-01,1650338057
2020-09-01,1786806418
2020-10-01,1827932060
2020-11-01,1776151611
2020-12-01,1834883572
2021-01-01,1720931535
2021-02-01,1954679793
2021-03-01,2114725595
2021-04-01,2230992697
2021-05-01,2243732815
2021-06-01,2290020698
2021-07-01,2076871187
2021-08-01,2319602926
2021-09-01,2340668855
2021-10-01,2477233902
2021-11-01,2636928702
2021-12-01,2468311271
2022-01-01,2288380618
2022-02-01,2371118936
2022-03-01,2647891745
2022-04-01,3172683508
2022-05-01,2622215013
2022-06-01,2588836815
2022-07-01,2642782515
2022-08-01,2966036881
2022-09-01,2601306679
2022-10-01,2407706352
2022-11-01,2421171462
2022-12-01,2697465492
2023-01-01,2437577756
2023-02-01,2414534487
2023-03-01,2665562353
2023-04-01,2428736701
2023-05-01,2586396263
2023-06-01,2527299309
2023-07-01,2248219646
2023-08-01,2646381650
2023-09-01,2784911890
2023-10-01,2665930105
2023-11-01,2513306466
2023-12-01,2803494746
2024-01-01,2619774031
2024-02-01,2524314799
2024-03-01,2459437640
2024-04-01,12949887
2024-05-01,3146310830
2024-06-01,2621166928
2024-07-01,2893190001
2024-08-01,3091935990
2024-09-01,2622615131
2024-10-01,3044343904
2024-11-01,3213465063


 Definition: Exportaciones de bienes y servicios. Source: SRI
