date,TINC0010
2016-03-31,551.8402319499994
2016-06-30,689.0177911942599
2016-09-30,472.2981395578103
2016-12-31,619.8828392588155
2017-03-31,598.0456579499998
2017-06-30,671.1858877599999
2017-09-30,665.2917598901604
2017-12-31,692.4148032758251
2018-03-31,479.0099179568966
2018-06-30,616.8807166499998
2018-09-30,692.2960170402945
2018-12-31,620.6750480035832
2019-03-31,641.4876907481002
2019-06-30,670.4523708500001
2019-09-30,692.74220859
2019-12-31,734.0476847098172
2020-03-31,636.0245144599999
2020-06-30,685.08344157
2020-09-30,852.5737591299999
2020-12-31,819.2577216678701
2021-03-31,800.70358171
2021-06-30,952.3087817900002
2021-09-30,1018.24659503
2021-12-31,1086.364432849849
2022-03-31,1019.2078274081
2022-06-30,1041.524710818
2022-09-30,1003.1187942500002
2022-12-31,1045.8715200589477
2023-03-31,1021.7264038066796
2023-06-30,1193.02778924608
2023-09-30,1213.7390352688003
2023-12-31,1338.3658176498973
2024-03-31,1184.928858791147
2024-06-30,1452.7734872262415
2024-09-30,1621.1795044818882


 Definition: Ingreso secundario. Source: BCE
