date,PCPI0000
1969-01-01,0.0149045985304471
1969-02-01,0.0151550250048005
1969-03-01,0.0154378378251057
1969-04-01,0.0159564898955022
1969-05-01,0.0153435894668831
1969-06-01,0.0153353921713324
1969-07-01,0.0152002589404634
1969-08-01,0.0152679422986511
1969-09-01,0.0153432543629206
1969-10-01,0.0153692169073424
1969-11-01,0.0152659014396309
1969-12-01,0.0156219854718597
1970-01-01,0.0153572091232555
1970-02-01,0.0153137042765171
1970-03-01,0.0155747333302498
1970-04-01,0.0155312284901858
1970-05-01,0.0156182381703138
1970-06-01,0.0157487526971801
1970-07-01,0.0157487526971801
1970-08-01,0.0164013253181629
1970-09-01,0.0170103931057561
1970-10-01,0.0169668882656922
1970-11-01,0.0171844124726864
1970-12-01,0.0172714221528144
1971-01-01,0.0172279173127504
1971-02-01,0.0171409076326225
1971-03-01,0.0174889463664831
1971-04-01,0.0177064705734773
1971-05-01,0.017575956046611
1971-06-01,0.0174889463664831
1971-07-01,0.0177064705734773
1971-08-01,0.0177934802536052
1971-09-01,0.0177934802536052
1971-10-01,0.0178804899404076
1971-11-01,0.0180110044605995
1971-12-01,0.0183590431944601
1972-01-01,0.0184025480411985
1972-02-01,0.0186635770882567
1972-03-01,0.0189246061419894
1972-04-01,0.0187070819283207
1972-05-01,0.0186200722481928
1972-06-01,0.0190986255089197
1972-07-01,0.01927264487585
1972-08-01,0.0191856351890476
1972-09-01,0.019316149715914
1972-10-01,0.0191856351890476
1972-11-01,0.0193596545559779
1972-12-01,0.0194031593960419
1973-01-01,0.0197947029766409
1973-02-01,0.0199687223435712
1973-03-01,0.020534285284426
1973-04-01,0.0209693336984145
1973-05-01,0.0210998482252809
1973-06-01,0.0212303627521472
1973-07-01,0.0212738675922112
1973-08-01,0.0214478869591415
1973-09-01,0.0217959256930021
1973-10-01,0.022317983793793
1973-11-01,0.0225355080007872
1973-12-01,0.0228400418945838
1974-01-01,0.0232315854685084
1974-02-01,0.0240581774630959
1974-03-01,0.0254503323918638
1974-04-01,0.0267119728071143
1974-05-01,0.0262769243864514
1974-06-01,0.0259723904926547
1974-07-01,0.0259723904926547
1974-08-01,0.0264074389133177
1974-09-01,0.0270165066942365
1974-10-01,0.0270165066942365
1974-11-01,0.027843098688824
1974-12-01,0.0279301083689519
1975-01-01,0.0287131955234755
1975-02-01,0.0292352536242664
1975-03-01,0.0298008165651212
1975-04-01,0.0299313310919876
1975-05-01,0.029583292358127
1975-06-01,0.0297573117250573
1975-07-01,0.0297573117250573
1975-08-01,0.0298878262452492
1975-09-01,0.0303228746659121
1975-10-01,0.0302358649791098
1975-11-01,0.0305403988729064
1975-12-01,0.0309754472935694
1976-01-01,0.0314975053876858
1976-02-01,0.0316280199145521
1976-03-01,0.0317150296013545
1976-04-01,0.0318455441215464
1976-05-01,0.0318890489682848
1976-06-01,0.03262863127607
1976-07-01,0.0331506893768608
1976-08-01,0.0330636796900585
1976-09-01,0.0336292426309133
1976-10-01,0.0344993394655648
1976-11-01,0.0346733588324951
1976-12-01,0.0350213975663557
1977-01-01,0.0354564459870187
1977-02-01,0.0354999508270826
1977-03-01,0.0357609798741408
1977-04-01,0.0362395331348678
1977-05-01,0.0365005621886004
1977-06-01,0.0367615912356587
1977-07-01,0.036935610602589
1977-08-01,0.0375011735434438
1977-09-01,0.0382842606979674
1977-10-01,0.0391543575326188
1977-11-01,0.0389368333189501
1977-12-01,0.0393718817396131
1978-01-01,0.0401549688874622
1978-02-01,0.0405465124613868
1978-03-01,0.0411120754089161
1978-04-01,0.0415906286629685
1978-05-01,0.0418081528766372
1978-06-01,0.0421996964505618
1978-07-01,0.0424172206575561
1978-08-01,0.0422867061306897
1978-09-01,0.0428087642314806
1978-10-01,0.042895773918283
1978-11-01,0.0434613368591378
1978-12-01,0.0435918513860042
1979-01-01,0.0443314336937893
1979-02-01,0.0448534917945802
1979-03-01,0.0457235886292317
1979-04-01,0.0457235886292317
1979-05-01,0.0464631709370168
1979-06-01,0.0466850456286849
1979-07-01,0.0468112096708774
1979-08-01,0.0466371903039471
1979-09-01,0.0465936854638832
1979-10-01,0.0468112096708774
1979-11-01,0.0473332677716683
1979-12-01,0.0479858403926511
1980-01-01,0.0489864517541689
1980-02-01,0.0494650050148958
1980-03-01,0.0505526260565416
1980-04-01,0.0514227228911931
1980-05-01,0.0522493148791061
1980-06-01,0.0523798294059725
1980-07-01,0.0531194117137576
1980-08-01,0.0526843632997691
1980-09-01,0.0529888971935657
1980-10-01,0.0523363245659085
1980-11-01,0.052771372979897
1980-12-01,0.05320642140056
1981-01-01,0.0540765182352115
1981-02-01,0.0556861973776481
1981-03-01,0.0572958765200847
1981-04-01,0.0580789636679338
1981-05-01,0.0592535943963819
1981-06-01,0.0595146234434402
1981-07-01,0.0596451379703065
1981-08-01,0.0599496718641031
1981-09-01,0.0604282251181556
1981-10-01,0.0610807977458128
1981-11-01,0.0621684187874586
1981-12-01,0.0623859429944528
1982-01-01,0.0631255253089124
1982-02-01,0.0636475834097033
1982-03-01,0.0644306705575524
1982-04-01,0.0653442722322679
1982-05-01,0.0659968448599251
1982-06-01,0.0669539513747045
1982-07-01,0.0682590966300189
1982-08-01,0.069520737038595
1982-09-01,0.0705648532401768
1982-10-01,0.0736536969981837
1982-11-01,0.0760029584484055
1982-12-01,0.0776126375908421
1983-01-01,0.0809625104025817
1983-02-01,0.0829202282788789
1983-03-01,0.085443509096031
1983-04-01,0.0895764690622941
1983-05-01,0.0958411662651104
1983-06-01,0.1013662811601414
1983-07-01,0.1068043863750446
