date,GERO0120
2013-01-01,922.3666016485512
2013-02-01,1033.3795839516729
2013-03-01,1109.8392723723734
2013-04-01,990.171770927648
2013-05-01,1020.352889565942
2013-06-01,1061.88202166546
2013-07-01,1101.4048322077197
2013-08-01,1197.0297700649603
2013-09-01,1104.6910556984262
2013-10-01,1264.676938198891
2013-11-01,1141.227922649227
2013-12-01,1538.6853258503415
2014-01-01,1155.582822368283
2014-02-01,1038.680417367038
2014-03-01,959.0533849979
2014-04-01,1412.60177469
2014-05-01,1083.9147978
2014-06-01,1184.16726879
2014-07-01,1231.51628078
2014-08-01,1082.94732471
2014-09-01,1184.2805579999997
2014-10-01,1339.1418985900004
2014-11-01,1040.4308990799996
2014-12-01,1656.0636895900002
2015-01-01,826.6036194600001
2015-02-01,921.39920182
2015-03-01,882.3237363200001
2015-04-01,896.27437506
2015-05-01,928.52845141
2015-06-01,892.3183225500001
2015-07-01,908.83855419
2015-08-01,800.67061183
2015-09-01,862.65817457
2015-10-01,809.94501198
2015-11-01,836.9435097100001
2015-12-01,1048.46861439
2016-01-01,666.0667231499999
2016-02-01,870.11781157
2016-03-01,730.83121056
2016-04-01,717.7816383
2016-05-01,638.9016599799999
2016-06-01,756.92253395
2016-07-01,583.9396904500001
2016-08-01,619.60109402
2016-09-01,691.65089932
2016-10-01,681.25844186
2016-11-01,693.6694240155556
2016-12-01,852.0910704800001
2017-01-01,578.1968444446882
2017-02-01,537.8114858870799
2017-03-01,688.2808910482801
2017-04-01,685.4938416259599
2017-05-01,674.574731254
2017-06-01,634.3797729775999
2017-07-01,607.18035311
2017-08-01,679.07949764
2017-09-01,635.8816655200001
2017-10-01,635.26655611
2017-11-01,730.0807717399999
2017-12-01,842.6527880499999
2018-01-01,689.9947390342105
2018-02-01,647.0139031594736
2018-03-01,674.5312285552633
2018-04-01,734.251315182105
2018-05-01,721.4613693094736
2018-06-01,662.4094500094736
2018-07-01,784.3538336384211
2018-08-01,858.5642807578947
2018-09-01,722.7787532694737
2018-10-01,784.7973425094735
2018-11-01,728.9554067115791
2018-12-01,924.466501796316
2019-01-01,884.050133706842
2019-02-01,718.2048251531579
2019-03-01,776.9729852978949
2019-04-01,706.6530376510527
2019-05-01,846.5715521821053
2019-06-01,752.5810221031578
2019-07-01,904.5369083289472
2019-08-01,750.3667838600002
2019-09-01,770.6900984836843
2019-10-01,772.0453718347368
2019-11-01,774.0458761831578
2019-12-01,715.3469523605263
2020-01-01,821.410239958421
2020-02-01,668.3905652536841
2020-03-01,659.0345356957895
2020-04-01,567.1397516110526
2020-05-01,562.3369907736842
2020-06-01,613.9866780178947
2020-07-01,544.0532608331579
2020-08-01,454.0354913042105
2020-09-01,461.4254042636843
2020-10-01,630.6809105531579
2020-11-01,583.6564239559649
2020-12-01,826.3196888277483
2021-01-01,592.5110016647369
2021-02-01,553.7488435247368
2021-03-01,982.7326824721054
2021-04-01,754.6900722131579
2021-05-01,616.7858018352634
2021-06-01,700.3302476442105
2021-07-01,884.3201717578941
2021-08-01,852.4442521447368
2021-09-01,719.0364144494728
2021-10-01,707.9078787784214
2021-11-01,753.9540849242111
2021-12-01,789.8404457328953
2022-01-01,806.9374964378948
2022-02-01,862.7230286147368
2022-03-01,1062.847131492105
2022-04-01,1181.154225342105
2022-05-01,878.7981905442105
2022-06-01,1285.4880083552634
2022-07-01,972.0473790736849
2022-08-01,1015.4477453320204
2022-09-01,1092.213682513158
2022-10-01,1171.532361333158
2022-11-01,1071.8008471815788
2022-12-01,1283.7477761121054
2023-01-01,981.5833119110526
2023-02-01,1021.5949454378948
2023-03-01,904.1506533678948
2023-04-01,845.5708250231578
2023-05-01,1035.7720038189473
2023-06-01,974.7806218352632
2023-07-01,879.6896426389474
2023-08-01,1011.6568238068422
2023-09-01,1136.2884374094738
2023-10-01,1125.9504658836845
2023-11-01,1126.0802828963544
2023-12-01,1176.0936649831576
2024-01-01,958.3050451626316
2024-02-01,871.6855967194736
2024-03-01,875.1773350310527
2024-04-01,1225.641273728421
2024-05-01,992.706334977398
2024-06-01,875.3426689052633


 Definition: Erogación petrolera del Sector Público No Financiero. Source: MEF
