date,UNTL1004
2012-01-19,4481.574843746002
2012-01-20,4481.043834253377
2012-01-21,4480.512824760753
2012-01-22,4479.981815268127
2012-01-23,4479.450805775502
2012-01-24,4478.919796282877
2012-01-25,4478.388786790252
2012-01-26,4477.857777297627
2012-01-27,4477.3267678050015
2012-01-28,4476.795758312376
2012-01-29,4476.264748819752
2012-01-30,4475.733739327126
2012-01-31,4475.202729834501
2012-02-01,4474.671720341876
2012-02-02,4474.140710849251
2012-02-03,4473.609701356626
2012-02-04,4473.078691864001
2012-02-05,4472.547682371375
2012-02-06,4472.016672878751
2012-02-07,4471.485663386125
2012-02-08,4470.9546538935
2012-02-09,4470.423644400875
2012-02-10,4469.89263490825
2012-02-12,4469.361625415625
2012-02-13,4468.830615923
2012-02-14,4468.299606430374
2012-02-15,4467.76859693775
2012-02-16,4467.2375874451245
2012-02-17,4466.706577952499
2012-02-20,4466.175568459874
2012-02-21,4465.644558967249
2012-02-22,4465.113549474624
2012-02-23,4464.582539981999
2012-02-24,4464.051530489373
2012-02-25,4463.520520996749
2012-02-26,4462.989511504124
2012-02-27,4462.458502011498
2012-02-28,4461.927492518873
2012-02-29,4461.3964830262485
2012-03-01,4460.865473533623
2012-03-02,4460.334464040998
2012-03-03,4459.803454548372
2012-03-04,4459.272445055748
2012-03-05,4458.741435563123
2012-03-06,4458.210426070497
2012-03-07,4457.679416577872
2012-03-08,4457.148407085248
2012-03-09,4456.617397592622
2012-03-11,4456.086388099997
2012-03-12,4455.555378607372
2012-03-13,4455.024369114747
2012-03-14,4454.493359622122
2012-03-15,4453.962350129496
2012-03-16,4453.431340636872
2012-03-17,4452.900331144247
2012-03-18,4452.369321651621
2012-03-19,4451.838312158996
2012-03-20,4451.307302666372
2012-03-21,4450.776293173746
2012-03-22,4450.245283681121
2012-03-23,4449.714274188495
2012-03-27,4449.183264695871
2012-03-29,4448.652255203246
2012-03-30,4448.12124571062
2012-03-31,4447.590236217995
2012-04-01,4447.0592267253705
2012-04-02,4446.528217232745
2012-04-03,4445.99720774012
2012-04-04,4445.466198247495
2012-04-05,4444.93518875487
2012-04-06,4444.404179262245
2012-04-07,4443.873169769619
2012-04-08,4443.342160276994
2012-04-09,4442.81115078437
2012-04-10,4442.280141291744
2012-04-11,4441.749131799119
2012-04-12,4441.218122306494
2012-04-13,4440.687112813869
2012-04-14,4440.156103321244
2012-04-15,4439.625093828618
2012-04-16,4439.094084335993
2012-04-17,4438.563074843369
2012-04-18,4438.032065350743
2012-04-19,4437.501055858118
2012-04-20,4436.970046365493
2012-04-21,4436.439036872868
2012-04-22,4435.908027380243
2012-04-23,4435.3770178876175
2012-04-24,4434.846008394992
2012-04-25,4434.314998902368
2012-04-26,4433.783989409742
2012-04-27,4433.252979917117
2012-04-28,4432.721970424492
2012-04-29,4432.190960931867
2012-04-30,4431.659951439242
2012-05-01,4431.128941946617
2012-05-02,4430.597932453991
2012-05-03,4430.066922961367
2012-05-04,4429.5359134687415
2012-05-05,4429.004903976116
2012-05-06,4428.473894483492
2012-05-07,4427.942884990866
2012-05-08,4427.411875498241
2012-05-09,4426.880866005616
2012-05-10,4426.349856512991
2012-05-11,4425.818847020366
2012-05-12,4425.2878375277405
2012-05-13,4424.756828035115
2012-05-14,4424.225818542491
2012-05-15,4423.694809049865
2012-05-16,4423.16379955724
2012-05-17,4422.632790064615
2012-05-18,4422.10178057199
2012-05-19,4421.570771079365
2012-05-20,4421.03976158674
2012-05-21,4420.508752094114
2012-05-22,4419.97774260149
2012-05-23,4419.4467331088645
2012-05-24,4418.915723616239
2012-05-25,4418.384714123614
2012-05-26,4417.853704630989
2012-05-27,4417.322695138364
2012-05-28,4416.791685645739
2012-05-29,4416.260676153113
2012-05-30,4415.729666660489
2012-05-31,4415.198657167864
2012-06-01,4414.667647675238
2012-06-02,4414.136638182613
2012-06-03,4413.605628689988
2012-06-04,4413.074619197363
2012-06-05,4412.543609704738
2012-06-06,4412.012600212112
2012-06-07,4411.481590719488
2012-06-08,4410.950581226863
2012-06-09,4410.419571734237
2012-06-10,4409.888562241612
2012-06-11,4409.357552748988
2012-06-12,4408.826543256362
2012-06-13,4408.295533763737
2012-06-14,4407.764524271111
2012-06-15,4407.233514778487
2012-06-16,4406.702505285862
2012-06-17,4406.171495793236
2012-06-18,4405.640486300611
2012-06-19,4405.1094768079865
2012-06-20,4404.578467315361
2012-06-23,4404.047457822736
2012-06-24,4403.516448330111
