date,TIMP0030
2022-01-01,889069.929377001
2022-02-01,894641.717522
2022-03-01,1005208.064492
2022-04-01,943074.000065
2022-05-01,811410.358943
2022-06-01,920521.570502
2022-07-01,817050.660589
2022-08-01,894113.605423
2022-09-01,1034193.062533
2022-10-01,808341.31142
2022-11-01,842776.85266
2022-12-01,806501.219929
2023-01-01,762697.506612
2023-02-01,770443.120088
2023-03-01,792163.25214
2023-04-01,784606.428322
2023-05-01,886312.982908
2023-06-01,846023.177547
2023-07-01,755416.323107
2023-08-01,839587.66927
2023-09-01,700149.26627
2023-10-01,797997.18157
2023-11-01,794206.335136
2023-12-01,653411.829565
2024-01-01,704339.258252
2024-02-01,681308.47193
2024-03-01,712430.305005
2024-04-01,690317.216975
2024-05-01,757278.19922
2024-06-01,698986.84643
2024-07-01,747089.132094
2024-08-01,792133.760285
2024-09-01,718778.930796
2024-10-01,793757.652217
2024-11-01,696066.049519
2024-12-01,736982.729937


 Definition: Importaciones de materias primas, Total. Source: BCE
