date,TIMP0120
2022-01-01,1846.970555204
2022-02-01,1721.359459071
2022-03-01,2032.401781033
2022-04-01,1859.20171718
2022-05-01,1794.176083521
2022-06-01,1857.659564228
2022-07-01,1806.699730422
2022-08-01,2013.965236319
2022-09-01,2127.76858222
2022-10-01,1842.241147952
2022-11-01,1955.917714897
2022-12-01,1843.633715752
2023-01-01,1733.380730186
2023-02-01,1733.909366074
2023-03-01,1828.212208889
2023-04-01,1743.931299965
2023-05-01,2006.216801795
2023-06-01,1923.836967376
2023-07-01,1806.069173035
2023-08-01,2059.499565573
2023-09-01,1824.318181482
2023-10-01,2021.917518271
2023-11-01,1930.798269232
2023-12-01,1758.107090325
2024-01-01,1699.8636342
2024-02-01,1541.631156874
2024-03-01,1699.824255292
2024-04-01,1688.103667519
2024-05-01,1739.482402815
2024-06-01,1631.25266158
2024-07-01,1733.745780736
2024-08-01,1950.948440825
2024-09-01,1740.70608267
2024-10-01,1902.415955234
2024-11-01,1925.011785188
2024-12-01,1879.184915285


 Definition: Importaciones FOB, No petroleras. Source: BCE
