date,TIMP0041
2022-01-01,13511.040172
2022-02-01,10014.928034
2022-03-01,15162.431689
2022-04-01,11521.007613
2022-05-01,13460.93832
2022-06-01,12842.316882
2022-07-01,13341.731787
2022-08-01,15914.751287
2022-09-01,15216.733504
2022-10-01,15679.416356
2022-11-01,10205.826504
2022-12-01,13588.949901
2023-01-01,12167.832134
2023-02-01,10017.987252
2023-03-01,10733.103587
2023-04-01,12792.962725
2023-05-01,18502.045634
2023-06-01,16019.21826
2023-07-01,9954.447182
2023-08-01,14551.107205
2023-09-01,10461.789108
2023-10-01,13206.916898
2023-11-01,10510.777728
2023-12-01,12235.000036
2024-01-01,12840.855488
2024-02-01,11560.709115
2024-03-01,10861.531386
2024-04-01,10122.695081
2024-05-01,15296.702439
2024-06-01,11080.092624
2024-07-01,13074.729462
2024-08-01,17432.93913
2024-09-01,10096.190223
2024-10-01,15572.516107


 Definition: Importaciones de bienes de capital: Agrícolas. Source: BCE
