date,MRIN0000
2023-02-01,7887.480821870001
2023-03-01,8189.69426082
2023-04-01,8054.8887683
2023-05-01,7530.47291472
2023-06-01,6966.52893077
2023-07-01,6961.230634529992
2023-08-01,6358.588559779999
2023-09-01,6312.197059800002
2023-10-01,6007.586921430001
2023-11-01,5658.1125458
2023-12-01,4454.356577539999
2024-01-01,4488.750360069989
2024-02-01,5086.40235796
2024-03-01,5299.90498879
2024-04-01,5993.67954124
2024-05-01,6740.05150394
2024-06-01,7090.04930779
2024-07-01,7232.989465590001
2024-08-01,8410.065473269999
2024-09-06,8318.66748878
2024-09-13,8686.504253129999
2024-09-20,8361.181495559998
2024-09-27,8135.176822029998
2024-09-30,8577.547917709999
2024-10-04,8414.338048360001


 Definition: Reservas Internacionales, Total. Source: BCE
