date,TIMP0100
2022-01-01,2345.334812833
2022-02-01,2173.433660528
2022-03-01,2633.741082171
2022-04-01,2479.317565332
2022-05-01,2492.864963836
2022-06-01,2742.702020092
2022-07-01,2478.765693429
2022-08-01,2636.241943124
2022-09-01,2745.435932779
2022-10-01,2496.037247348
2022-11-01,2699.59262269
2022-12-01,2410.289684417
2023-01-01,2324.431978476
2023-02-01,2279.73297551
2023-03-01,2415.145770721
2023-04-01,2303.722326749
2023-05-01,2432.180299137
2023-06-01,2274.278158164
2023-07-01,2345.830849165
2023-08-01,2719.481100809
2023-09-01,2540.173269014
2023-10-01,2631.499660012
2023-11-01,2609.474602744
2023-12-01,2255.616311212
2024-01-01,2171.434461659
2024-02-01,1990.900247663
2024-03-01,2207.349667227
2024-04-01,2314.144030035
2024-05-01,2342.721691989


 Definition: Importaciones FOB, Total. Source: BCE
