date,FDEB1002
2021-09-01,
2021-10-01,16749759.54
2021-11-01,15477503.23
2021-12-01,15570894.85
2022-01-01,15713566.19
2022-02-01,15809183.63
2022-03-01,15302784.92
2022-04-01,15399634.22
2022-05-01,15161943.77
2022-06-01,16638927.6
2022-07-01,14353391.83
2022-08-01,14666430.35
2022-09-01,14045356.05
2022-10-01,15037991.4
2022-11-01,13786175.62
2022-12-01,14670221.25
2023-01-01,12199541.98
2023-02-01,
2023-03-01,12105058.47
2023-04-01,12659349.0
2023-05-01,11892753.45
2023-06-01,12501799.81
2023-07-01,12806158.61
2023-08-01,11936663.15
2023-09-01,12791193.97
2023-10-01,12523665.18
2023-11-01,
2023-12-01,14177229.16
2024-01-01,13974356.2
2024-02-01,13394184.56
2024-03-01,13350588.71
2024-04-01,12410387.6
2024-05-01,12283099.68
2024-06-01,14640007.9805002
2024-07-01,14720687.0349592
2024-08-01,14499628.4152692


 Definition: Total deuda publica interna consolidada mas otras obligaciones. Source: MEF
