date,RREC2101
2000-01-01,229.95413945748453
2000-02-01,174.38096991999998
2000-03-01,234.96952244
2000-04-01,234.19257
2000-05-01,345.19902
2000-06-01,327.6854
2000-07-01,387.3533100000001
2000-08-01,345.40045
2000-09-01,475.83440999999993
2000-10-01,473.9396
2000-11-01,420.7344
2000-12-01,477.6294200000001
2001-01-01,5947.5887
2001-02-01,2710.8953300000003
2001-03-01,3111.82681
2001-04-01,3500.82799
2001-05-01,3260.7097000000003
2001-06-01,3621.23009
2001-07-01,3280.95032
2001-08-01,3976.04545
2001-09-01,3170.47986
2001-10-01,3473.16507
2001-11-01,4481.81193
2001-12-01,4903.90979
2002-01-01,5947.5887
2002-02-01,2710.8953300000003
2002-03-01,3111.82681
2002-04-01,3500.82799
2002-05-01,3260.7097000000003
2002-06-01,3621.23009
2002-07-01,3280.95032
2002-08-01,3976.04545
2002-09-01,3170.47986
2002-10-01,3473.16507
2002-11-01,4481.81193
2002-12-01,4903.90979
2003-01-01,5947.5887
2003-02-01,2710.8953300000003
2003-03-01,3111.82681
2003-04-01,3500.82799
2003-05-01,3260.7097000000003
2003-06-01,3621.23009
2003-07-01,3280.95032
2003-08-01,3976.04545
2003-09-01,3170.47986
2003-10-01,3473.16507
2003-11-01,4481.81193
2003-12-01,4903.90979
2004-01-01,5947.5887
2004-02-01,2710.8953300000003
2004-03-01,3111.82681
2004-04-01,3500.82799
2004-05-01,3260.7097000000003
2004-06-01,3621.23009
2004-07-01,3280.95032
2004-08-01,3976.04545
2004-09-01,3170.47986
2004-10-01,3473.16507
2004-11-01,4481.81193
2004-12-01,4903.90979
2005-01-01,5947.5887
2005-02-01,2710.8953300000003
2005-03-01,3111.82681
2005-04-01,3500.82799
2005-05-01,3260.7097000000003
2005-06-01,3621.23009
2005-07-01,3280.95032
2005-08-01,3976.04545
2005-09-01,3170.47986
2005-10-01,3473.16507
2005-11-01,4481.81193
2005-12-01,4903.90979
2006-01-01,5947.5887
2006-02-01,2710.8953300000003
2006-03-01,3111.82681
2006-04-01,3500.82799
2006-05-01,3260.7097000000003
2006-06-01,3621.23009
2006-07-01,3280.95032
2006-08-01,3976.04545
2006-09-01,3170.47986
2006-10-01,3473.16507
2006-11-01,4481.81193
2006-12-01,4903.90979
2007-01-01,5947.5887
2007-02-01,2710.8953300000003
2007-03-01,3111.82681
2007-04-01,3500.82799
2007-05-01,3260.7097000000003
2007-06-01,3621.23009
2007-07-01,3280.95032
2007-08-01,3976.04545
2007-09-01,3170.47986
2007-10-01,3473.16507
2007-11-01,4481.81193
2007-12-01,4903.90979
2008-01-01,5947.5887
2008-02-01,2710.8953300000003
2008-03-01,3111.82681
2008-04-01,3500.82799
2008-05-01,3260.7097000000003
2008-06-01,3621.23009
2008-07-01,3280.95032
2008-08-01,3976.04545
2008-09-01,3170.47986
2008-10-01,3473.16507
2008-11-01,4481.81193
2008-12-01,4903.90979
2009-01-01,5947.5887
2009-02-01,2710.8953300000003
2009-03-01,3111.82681
2009-04-01,3500.82799
2009-05-01,3260.7097000000003
2009-06-01,3621.23009
2009-07-01,3280.95032
2009-08-01,3976.04545
2009-09-01,3170.47986
2009-10-01,3473.16507
2009-11-01,4481.81193
2009-12-01,4903.90979
2010-01-01,5947.5887
2010-02-01,2710.8953300000003
2010-03-01,3111.82681
2010-04-01,3500.82799
2010-05-01,3260.7097000000003
2010-06-01,3621.23009
2010-07-01,3280.95032
2010-08-01,3976.04545
2010-09-01,3170.47986
2010-10-01,3473.16507
2010-11-01,4481.81193
2010-12-01,4903.90979
2011-01-01,5947.5887
2011-02-01,2710.8953300000003
