date,RREC8000
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,246.14725
2001-02-01,449.83169
2001-03-01,471.48848
2001-04-01,593.12326
2001-05-01,477.37479
2001-06-01,457.17418
2001-07-01,554.58474
2001-08-01,598.2442
2001-09-01,409.73678
2001-10-01,1166.14248
2001-11-01,374.9766900000004
2001-12-01,1126.7195299999994
2002-01-01,246.14725
2002-02-01,449.83169
2002-03-01,471.48848
2002-04-01,593.12326
2002-05-01,477.37479
2002-06-01,457.17418
2002-07-01,554.58474
2002-08-01,598.2442
2002-09-01,409.73678
2002-10-01,1166.14248
2002-11-01,374.9766900000004
2002-12-01,1126.7195299999994
2003-01-01,246.14725
2003-02-01,449.83169
2003-03-01,471.48848
2003-04-01,593.12326
2003-05-01,477.37479
2003-06-01,457.17418
2003-07-01,554.58474
2003-08-01,598.2442
2003-09-01,409.73678
2003-10-01,1166.14248
2003-11-01,374.9766900000004
2003-12-01,1126.7195299999994
2004-01-01,246.14725
2004-02-01,449.83169
2004-03-01,471.48848
2004-04-01,593.12326
2004-05-01,477.37479
2004-06-01,457.17418
2004-07-01,554.58474
2004-08-01,598.2442
2004-09-01,409.73678
2004-10-01,1166.14248
2004-11-01,374.9766900000004
2004-12-01,1126.7195299999994
2005-01-01,246.14725
2005-02-01,449.83169
2005-03-01,471.48848
2005-04-01,593.12326
2005-05-01,477.37479
2005-06-01,457.17418
2005-07-01,554.58474
2005-08-01,598.2442
2005-09-01,409.73678
2005-10-01,1166.14248
2005-11-01,374.9766900000004
2005-12-01,1126.7195299999994
2006-01-01,246.14725
2006-02-01,449.83169
2006-03-01,471.48848
2006-04-01,593.12326
2006-05-01,477.37479
2006-06-01,457.17418
2006-07-01,554.58474
2006-08-01,598.2442
2006-09-01,409.73678
2006-10-01,1166.14248
2006-11-01,374.9766900000004
2006-12-01,1126.7195299999994
2007-01-01,246.14725
2007-02-01,449.83169
2007-03-01,471.48848
2007-04-01,593.12326
2007-05-01,477.37479
2007-06-01,457.17418
2007-07-01,554.58474
2007-08-01,598.2442
2007-09-01,409.73678
2007-10-01,1166.14248
2007-11-01,374.9766900000004
2007-12-01,1126.7195299999994
2008-01-01,246.14725
2008-02-01,449.83169
2008-03-01,471.48848
2008-04-01,593.12326
2008-05-01,477.37479
2008-06-01,457.17418
2008-07-01,554.58474
2008-08-01,598.2442
2008-09-01,409.73678
2008-10-01,1166.14248
2008-11-01,374.9766900000004
2008-12-01,1126.7195299999994
2009-01-01,246.14725
2009-02-01,449.83169
2009-03-01,471.48848
2009-04-01,593.12326
2009-05-01,477.37479
2009-06-01,457.17418
2009-07-01,554.58474
2009-08-01,598.2442
2009-09-01,409.73678
2009-10-01,1166.14248
2009-11-01,374.9766900000004
2009-12-01,1126.7195299999994
2010-01-01,246.14725
2010-02-01,449.83169
2010-03-01,471.48848
2010-04-01,593.12326
2010-05-01,477.37479
2010-06-01,457.17418
2010-07-01,554.58474
2010-08-01,598.2442
2010-09-01,409.73678
2010-10-01,1166.14248
2010-11-01,374.9766900000004
2010-12-01,1126.7195299999994
2011-01-01,246.14725
2011-02-01,449.83169
2011-03-01,471.48848
2011-04-01,593.12326
2011-05-01,477.37479
2011-06-01,457.17418
2011-07-01,554.58474
2011-08-01,598.2442
2011-09-01,409.73678
2011-10-01,1166.14248
2011-11-01,374.9766900000004
2011-12-01,1126.7195299999994
2012-01-01,246.14725
2012-02-01,449.83169
