date,TACC0020
2016-01-01,-683.0715525263829
2016-04-01,614.8962926074362
2016-07-01,226.63168776948623
2016-10-01,341.60330614067243
2017-01-01,150.62041193532264
2017-04-01,6.442948327669683
2017-07-01,-448.0889951642894
2017-10-01,-172.54773151866442
2018-01-01,70.07506089124627
2018-04-01,-454.7256711597702
2018-07-01,-453.3329984134935
2018-10-01,-897.7473970695726
2019-01-01,-302.7793931959884
2019-04-01,-5.957758518216622
2019-07-01,40.06004101059659
2019-10-01,274.5995951603743
2020-01-01,516.8898159900839
2020-04-01,785.0917881431737
2020-07-01,793.5855346824668
2020-10-01,1089.7782271197243
2021-01-01,805.1149295384312
2021-04-01,1482.1804408057617
2021-07-01,336.8425390898194
2021-10-01,410.0985280301104
2022-01-01,724.1974178920693
2022-04-01,1548.0006686872614
2022-07-01,554.9051107770263
2022-10-01,-938.082507687269
2023-01-01,304.95262109670125
2023-04-01,-71.19165273932117
2023-07-01,-15.11970803795964
2023-10-01,158.10826613118934
2024-01-01,1678.4236990399404
2024-04-01,2743.271679159997


 Definition: Cuenta financiera BOP. Source: BCE
