date,UNTL1006
2012-01-19,1224.1299607647516
2012-01-20,1223.588304643801
2012-01-21,1223.0466485228503
2012-01-22,1222.5049924019
2012-01-23,1221.9633362809493
2012-01-24,1221.4216801599987
2012-01-25,1220.8800240390483
2012-01-26,1220.3383679180977
2012-01-27,1219.796711797147
2012-01-28,1219.2550556761964
2012-01-29,1218.713399555246
2012-01-30,1218.1717434342954
2012-01-31,1217.6300873133448
2012-02-01,1217.0884311923944
2012-02-02,1216.5467750714438
2012-02-03,1216.0051189504932
2012-02-04,1215.4634628295426
2012-02-05,1214.9218067085922
2012-02-06,1214.3801505876415
2012-02-07,1213.838494466691
2012-02-08,1213.2968383457403
2012-02-09,1212.75518222479
2012-02-10,1212.2135261038393
2012-02-12,1211.671869982889
2012-02-13,1211.1302138619385
2012-02-14,1210.5885577409877
2012-02-15,1210.046901620037
2012-02-16,1209.5052454990864
2012-02-17,1208.963589378136
2012-02-20,1208.4219332571854
2012-02-21,1207.8802771362348
2012-02-22,1207.3386210152844
2012-02-23,1206.7969648943338
2012-02-24,1206.2553087733831
2012-02-25,1205.7136526524323
2012-02-26,1205.171996531482
2012-02-27,1204.6303404105315
2012-02-28,1204.088684289581
2012-02-29,1203.5470281686305
2012-03-01,1203.00537204768
2012-03-02,1202.4637159267293
2012-03-03,1201.9220598057786
2012-03-04,1201.3804036848285
2012-03-05,1200.8387475638776
2012-03-06,1200.297091442927
2012-03-07,1199.7554353219764
2012-03-08,1199.213779201026
2012-03-09,1198.6721230800754
2012-03-11,1198.1304669591248
2012-03-12,1197.588810838174
2012-03-13,1197.0471547172235
2012-03-14,1196.5054985962731
2012-03-15,1195.9638424753225
2012-03-16,1195.422186354372
2012-03-17,1194.8805302334215
2012-03-18,1194.3388741124709
2012-03-19,1193.7972179915205
2012-03-20,1193.25556187057
2012-03-21,1192.7139057496192
2012-03-22,1192.1722496286686
2012-03-23,1191.630593507718
2012-03-27,1191.0889373867676
2012-03-29,1190.547281265817
2012-03-30,1190.0056251448664
2012-03-31,1189.463969023916
2012-04-01,1188.9223129029654
2012-04-02,1188.3806567820147
2012-04-03,1187.839000661064
2012-04-04,1187.2973445401135
2012-04-05,1186.755688419163
