date,RCOM0004
2017-01-01,9937071740
2017-02-01,9816476779
2017-03-01,11816742972
2017-04-01,10880200298
2017-05-01,11510578124
2017-06-01,9704797511
2017-07-01,11332322759
2017-08-01,11878736348
2017-09-01,11622597855
2017-10-01,12379819257
2017-11-01,9043160954
2017-12-01,17673458895
2018-01-01,10973703582
2018-02-01,10640033036
2018-03-01,11820795701
2018-04-01,7797529502
2018-05-01,12797852003
2018-06-01,14480234540
2018-07-01,12473338929
2018-08-01,8705781196
2018-09-01,12600425720
2018-10-01,9006286436
2018-11-01,9302560021
2018-12-01,13924995184
2019-01-01,11710276399
2019-02-01,11328916373
2019-03-01,11609740965
2019-04-01,12450916721
2019-05-01,8730589864
2019-06-01,14669633110
2019-07-01,12613452710
2019-08-01,12248657929
2019-09-01,12125157317
2019-10-01,12437816579
2019-11-01,12917444900
2019-12-01,14425459186
2020-01-01,11328155142
2020-02-01,10852842727
2020-03-01,9329708007
2020-04-01,7153528821
2020-05-01,8158325718
2020-06-01,11511024270
2020-07-01,9715433348
2020-08-01,9678356642
2020-09-01,10576426463
2020-10-01,11717347309
2020-11-01,11350502031
2020-12-01,17880161129
2021-01-01,9814625472
2021-02-01,10188256138
2021-03-01,12030046542
2021-04-01,11572876002
2021-05-01,11944027794
2021-06-01,17519186077
2021-07-01,12575366044
2021-08-01,12751877338
2021-09-01,13218537410
2021-10-01,13362635850
2021-11-01,14149096842
2021-12-01,11613965953
2022-01-01,12049340129
2022-02-01,12264509478
2022-03-01,9807145891
2022-04-01,13769799025
2022-05-01,14031375183
2022-06-01,9370870782
2022-07-01,14170331589
2022-08-01,10350852037
2022-09-01,10432131460
2022-10-01,14634667108
2022-11-01,6623107454
2022-12-01,14117673929
2023-01-01,12640453502
2023-02-01,12777233101
2023-03-01,10168008071
2023-04-01,13521879902
2023-05-01,10438835755
2023-06-01,11385504970
2023-07-01,9800071700
2023-08-01,10453170942
2023-09-01,10066223449
2023-10-01,10607737771
2023-11-01,10936025717
2023-12-01,15596582073
2024-01-01,12691094996
2024-02-01,12954288597
2024-03-01,10557584733
2024-04-01,106341998
2024-05-01,14600496747
2024-06-01,10094043349
2024-07-01,14743443945
2024-08-01,14727954715
2024-09-01,14710587879
2024-10-01,11444316939
2024-11-01,7264936255


 Definition: Total de compras y adquisiciones declaradas por el propio contribuyente. Source: SRI
