date,RCOM0003
2017-01-01,49712023
2017-02-01,48873994
2017-03-01,56110124
2017-04-01,51531125
2017-05-01,58531592
2017-06-01,84675507
2017-07-01,61251926
2017-08-01,66836990
2017-09-01,65557161
2017-10-01,70397882
2017-11-01,73189058
2017-12-01,137173441
2018-01-01,50768763
2018-02-01,51322611
2018-03-01,57581557
2018-04-01,58249505
2018-05-01,61502515
2018-06-01,94000628
2018-07-01,69187126
2018-08-01,70567140
2018-09-01,69817291
2018-10-01,76887504
2018-11-01,81594583
2018-12-01,151226726
2019-01-01,57629332
2019-02-01,60783735
2019-03-01,60519103
2019-04-01,65531398
2019-05-01,75162377
2019-06-01,107982025
2019-07-01,77440969
2019-08-01,76178038
2019-09-01,78563272
2019-10-01,78298934
2019-11-01,90327936
2019-12-01,175392048
2020-01-01,65904570
2020-02-01,62449690
2020-03-01,48084335
2020-04-01,36881125
2020-05-01,46098245
2020-06-01,100972837
2020-07-01,62565677
2020-08-01,69424128
2020-09-01,64727672
2020-10-01,71055618
2020-11-01,78379250
2020-12-01,159723089
2021-01-01,55367594
2021-02-01,59352768
2021-03-01,67425516
2021-04-01,67592960
2021-05-01,70901993
2021-06-01,119695413
2021-07-01,87134488
2021-08-01,84951913
2021-09-01,88550308
2021-10-01,87147154
2021-11-01,92001828
2021-12-01,178229138
2022-01-01,49309206
2022-02-01,52595694
2022-03-01,59051281
2022-04-01,64216855
2022-05-01,62140236
2022-06-01,116569803
2022-07-01,68630848
2022-08-01,74223858
2022-09-01,83524942
2022-10-01,97710691
2022-11-01,117986977
2022-12-01,329156049
2023-01-01,95015107
2023-02-01,98240545
2023-03-01,120944063
2023-04-01,114259306
2023-05-01,133156689
2023-06-01,292634794
2023-07-01,141364957
2023-08-01,153474095
2023-09-01,157692062
2023-10-01,182258500
2023-11-01,189701693
2023-12-01,642824094
2024-01-01,128728552
2024-02-01,111408332
2024-03-01,113433680
2024-04-01,1699067
2024-05-01,121185668
2024-06-01,298117656
2024-07-01,129082636
2024-08-01,131585423
2024-09-01,134350637
2024-10-01,153637760


 Definition: Compras realizadas a los contribuyentes inscritos en el Régimen Simplificado (RISE). Source: SRI
