date,RPRO0000
2007-01-01,719.2316003861902
2007-02-01,663.8212686547611
2007-03-01,597.5214695499998
2007-04-01,581.3430067833347
2007-05-01,567.424
2007-06-01,653.7292883857136
2007-07-01,701.2004611214276
2007-08-01,681.1300484666663
2007-09-01,564.8213140666654
2007-10-01,675.7602699309521
2007-11-01,691.2111601238106
2007-12-01,703.1538135904759
2008-01-01,737.2147329547629
2008-02-01,584.6785236452397
2008-03-01,592.386788642858
2008-04-01,584.7341743380958
2008-05-01,597.7193151523805
2008-06-01,762.9566884142832
2008-07-01,668.9657797071437
2008-08-01,665.9465454976198
2008-09-01,700.6471673857142
2008-10-01,816.3360817809524
2008-11-01,710.9491886642857
2008-12-01,727.8220000000003
2009-01-01,815.2977200404772
2009-02-01,785.4385932976196
2009-03-01,915.865833257142
2009-04-01,794.4884999999996
2009-05-01,699.712285714285
2009-06-01,930.080725874762
2009-07-01,836.4536872571422
2009-08-01,827.2204449047625
2009-09-01,853.316646266667
2009-10-01,870.4087753045237
2009-11-01,997.7980000000002
2009-12-01,917.0038229428576
2010-01-01,897.3629999999995
2010-02-01,828.8193295952376
2010-03-01,801.296986738095
2010-04-01,613.9802798333335
2010-05-01,720.931256254761
2010-06-01,728.793
2010-07-01,698.3803999999992
2010-08-01,687.9501000000001
2010-09-01,748.0138999999995
2010-10-01,974.117
2010-11-01,975.7115
2010-12-01,901.636
2011-01-01,967.6512351714284
2011-02-01,876.1569958785713
2011-03-01,914.1208112261904
2011-04-01,862.8462755761905
2011-05-01,762.5858732166668
2011-06-01,849.0688141380951
2011-07-01,800.0474742547619
2011-08-01,822.602038595238
2011-09-01,897.7630123119048
2011-10-01,900.2718909976192
2011-11-01,1040.5618212585714
2011-12-01,896.1068975071428
2012-01-01,838.4893039857143
2012-02-01,790.0467650714287
2012-03-01,873.2299783738096
2012-04-01,774.9117023666668
2012-05-01,991.6535159166668
2012-06-01,930.410050185714
2012-07-01,956.125226890476
2012-08-01,1052.0480683333333
2012-09-01,961.8497583071428
2012-10-01,1202.794456252381
2012-11-01,1195.7150592214286
2012-12-01,1087.3442378590476
2013-01-01,1198.2371446714285
2013-02-01,974.214369345238
2013-03-01,825.5674124166668
2013-04-01,1041.2330419619043
2013-05-01,1186.7346695523809
2013-06-01,1000.3488652190476
2013-07-01,1002.8534753523808
2013-08-01,946.8658185642856
2013-09-01,1046.8410875357142
2013-10-01,1032.6089248309524
2013-11-01,1199.328756854762
2013-12-01,1231.8141853357145
2014-01-01,1239.7768061833333
2014-02-01,1181.1537298952385
2014-03-01,1160.3612684571428
2014-04-01,1151.7554688809523
2014-05-01,1069.3692589666666
2014-06-01,930.9177154761904
2014-07-01,955.654786609524
2014-08-01,877.7481494238097
2014-09-01,1093.0370913761906
2014-10-01,1079.4808105142856
2014-11-01,1096.8101977761903
2014-12-01,1189.581729007143
2015-01-01,1133.597179642857
2015-02-01,847.0494596214286
2015-03-01,1069.0543997238094
2015-04-01,1000.7837640619048
2015-05-01,997.9695577476192
2015-06-01,885.3196339857143
2015-07-01,1064.739088652381
2015-08-01,962.23142175
2015-09-01,932.7842550666668
2015-10-01,971.5987464738096
2015-11-01,859.9680208619048
2015-12-01,1038.117785211905
2016-01-01,957.3936071071428
2016-02-01,990.8968247166669
2016-03-01,944.7475696880952
2016-04-01,627.3386090238097
2016-05-01,551.6765490690475
2016-06-01,603.3626897904766
2016-07-01,581.152943297619
2016-08-01,680.7692786023808
2016-09-01,691.013341319048
2016-10-01,824.1385871428573
2016-11-01,879.2299036388453
2016-12-01,885.0700578356311
2017-01-01,762.3602949854718
2017-02-01,522.1401145902857
2017-03-01,583.2938395921905
2017-04-01,427.90630694762416
2017-05-01,569.6799576835236
2017-06-01,542.5875595976191
2017-07-01,524.5309346738096
2017-08-01,532.377427826089
2017-09-01,510.5257373285714
2017-10-01,602.851463454762
2017-11-01,596.851625047619
2017-12-01,679.673404152381
2018-01-01,596.9245208785715
2018-02-01,508.9310741357143
2018-03-01,630.1822628428572
2018-04-01,534.6953641476191
2018-05-01,572.1150946738095
2018-06-01,554.918639404762
2018-07-01,553.913612652381
2018-08-01,637.5026517404762
2018-09-01,581.5469814238094
2018-10-01,785.0161440119048
2018-11-01,669.5238250214285
2018-12-01,578.3017875047619
2019-01-01,616.1197884738095
2019-02-01,460.0843625880953
2019-03-01,475.1609487119047
2019-04-01,493.57641365952384
2019-05-01,503.8329018523809
2019-06-01,445.1567073428572
2019-07-01,564.0894808214285
2019-08-01,579.3552041690475
2019-09-01,589.843612404762
2019-10-01,539.8365038404762
2019-11-01,536.3689511928573
2019-12-01,534.3929913166666
2020-01-01,524.9305525880952
2020-02-01,474.57842077142857
2020-03-01,301.2447530333333
2020-04-01,113.10933456428572
2020-05-01,157.5546584904762
2020-06-01,258.5436493404762
2020-07-01,314.45313862380954
2020-08-01,356.78618608809523
2020-09-01,346.1596496357143
2020-10-01,406.0889128523809
2020-11-01,471.28229611666666
2020-12-01,459.6573764309524
2021-01-01,409.4570466928571
2021-02-01,356.28999431904754
2021-03-01,332.5072505309524
2021-04-01,374.03063591428577
2021-05-01,430.3974425190476
2021-06-01,403.57547012857145
2021-07-01,467.52625510238096
2021-08-01,474.90827289761904
2021-09-01,458.6337904285714
2021-10-01,520.1944969166666
2021-11-01,487.1607700619047
2021-12-01,555.997932897619
2022-01-01,587.9414829809512
2022-02-01,661.9365954619052
2022-03-01,572.6966128809509
2022-04-01,551.1162188404769
2022-05-01,541.6613139714291
2022-06-01,555.4207095190495
2022-07-01,638.9419914904756
