date,TIMP0050
2023-01-01,7661.548256
2023-02-01,6373.75273
2023-03-01,6181.242772
2023-04-01,5424.907487
2023-05-01,12999.454022
2023-06-01,5280.437207
2023-07-01,8074.687845
2023-08-01,7738.787063
2023-09-01,5688.286824
2023-10-01,8665.93688
2023-11-01,5739.807998
2023-12-01,9251.750341
2024-01-01,8988.032093
2024-02-01,5906.100114
2024-03-01,2697.779967
2024-04-01,2533.418209
2024-05-01,5578.26357
2024-06-01,6661.23304
2024-07-01,7656.654179
2024-08-01,6937.145293
2024-09-01,3828.3092
2024-10-01,6205.179643
2024-11-01,7263.1052
2024-12-01,6001.697912
2025-01-01,11373.906854
2025-02-01,4210.180323


 Definition: Importaciones: Diversos. Source: BCE
