date,FDEB1000
2021-09-01,
2021-10-01,61929452.36
2021-11-01,60503098.69
2021-12-01,61612837.18
2022-01-01,61518735.11
2022-02-01,61595462.51
2022-03-01,61524755.94
2022-04-01,61163119.03
2022-05-01,60945656.68
2022-06-01,63093079.83
2022-07-01,60837427.26
2022-08-01,60953731.52
2022-09-01,60102652.51
2022-10-01,60630896.7
2022-11-01,59530462.61
2022-12-01,62377650.0
2023-01-01,59888548.42
2023-02-01,
2023-03-01,59664790.07
2023-04-01,60077269.88
2023-05-01,58138388.66
2023-06-01,58651162.78
2023-07-01,59157023.09
2023-08-01,58589232.35
2023-09-01,59593100.52
2023-10-01,59237828.85
2023-11-01,
2023-12-01,61054526.95
2024-01-01,60722327.47
2024-02-01,59968192.4
2024-03-01,59696107.74
2024-04-01,58595242.51
2024-05-01,59167895.29
2024-06-01,61515410.68978519
2024-07-01,61904244.53579019
2024-08-01,62971259.4402532
2024-09-01,63199143.1192672
2024-10-01,63570143.58283048
2024-11-01,63582181.02347948


 Definition: Total deuda publica consolidada mas otras obligaciones. Source: MEF
