date,LPOB0003
2020-12-31,8214137.335704258
2021-03-31,8211250.023725972
2021-06-30,8367016.034174609
2021-09-30,8436621.034802988
2021-12-31,8505075.830403268
2022-03-31,8433649.518949332
2022-06-30,8551773.54271116
2022-09-30,8633184.54286846
2022-12-31,8496771.551629638
2023-03-31,8500995.189942174
2023-06-30,8387811.471222466
2023-09-30,8574549.618102975
2023-12-31,8533153.751863258
2024-03-31,8492649.80571922
2024-06-30,8558187.14023943
2024-09-30,8672826.05805611


 Definition: Población Económicamente Activa (Trimestral). Source: INE
