date,RVEN0000
2017-01-01,8024799207
2017-02-01,12246259703
2017-03-01,9787768567
2017-04-01,8929697922
2017-05-01,9566595324
2017-06-01,12368362126
2017-07-01,9066768662
2017-08-01,9542986032
2017-09-01,9522468247
2017-10-01,10044891548
2017-11-01,10227869565
2017-12-01,11987545867
2018-01-01,8932233552
2018-02-01,12830046807
2018-03-01,9999445288
2018-04-01,9914087263
2018-05-01,10437531356
2018-06-01,13068743411
2018-07-01,9986952799
2018-08-01,10358643686
2018-09-01,10046259495
2018-10-01,10717853805
2018-11-01,10672970004
2018-12-01,12029810910
2019-01-01,9416538915
2019-02-01,9248381046
2019-03-01,9673877682
2019-04-01,10537391267
2019-05-01,10581891172
2019-06-01,12990576546
2019-07-01,10283595439
2019-08-01,10283363906
2019-09-01,10192942308
2019-10-01,10244652964
2019-11-01,10905713635
2019-12-01,12801142465
2020-01-01,10057176823
2020-02-01,9621571158
2020-03-01,11852569498
2020-04-01,8819596026
2020-05-01,9923993241
2020-06-01,14893108162
2020-07-01,12534168242
2020-08-01,8318576378
2020-09-01,8932969981
2020-10-01,9594025304
2020-11-01,9590723105
2020-12-01,11780214496
2021-01-01,8340099457
2021-02-01,8561688477
2021-03-01,10294651712
2021-04-01,10051971615
2021-05-01,10102702909
2021-06-01,10604937973
2021-07-01,10410339615
2021-08-01,10801885770
2021-09-01,11356740815
2021-10-01,7200604952
2021-11-01,7654322785
2021-12-01,15133930187
2022-01-01,10164152072
2022-02-01,10607110618
2022-03-01,7797166971
2022-04-01,7687117408
2022-05-01,7635343663
2022-06-01,12902148050
2022-07-01,7643279689
2022-08-01,8289003807
2022-09-01,8194360726
2022-10-01,8165941088
2022-11-01,8326647580
2022-12-01,17887127481
2023-01-01,11489819054
2023-02-01,11184928848
2023-03-01,8889483595
2023-04-01,12024466231
2023-05-01,8755305059
2023-06-01,15539899132
2023-07-01,12220775708
2023-08-01,8517541694
2023-09-01,12582679531
2023-10-01,8425391048
2023-11-01,8814932570
2023-12-01,19516441037
2024-01-01,11387172693
2024-02-01,11583307821
2024-03-01,9005741805
2024-04-01,151541099
2024-05-01,9457266874
2024-06-01,13621452254
2024-07-01,8569476782
2024-08-01,8765014367
2024-09-01,8800768121
2024-10-01,9331588847
2024-11-01,9761089999


 Definition: Ventas, Total. Source: SRI
