date,RREC3002
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,121778.20961000002
2001-02-01,99183.48759
2001-03-01,94289.20055
2001-04-01,97385.37946
2001-05-01,91298.87388
2001-06-01,97403.78396000002
2001-07-01,109327.70829
2001-08-01,110599.42133
2001-09-01,97571.4393
2001-10-01,110377.68155
2001-11-01,121040.98139
2001-12-01,109433.67158
2002-01-01,121778.20961000002
2002-02-01,99183.48759
2002-03-01,94289.20055
2002-04-01,97385.37946
2002-05-01,91298.87388
2002-06-01,97403.78396000002
2002-07-01,109327.70829
2002-08-01,110599.42133
2002-09-01,97571.4393
2002-10-01,110377.68155
2002-11-01,121040.98139
2002-12-01,109433.67158
2003-01-01,121778.20961000002
2003-02-01,99183.48759
2003-03-01,94289.20055
2003-04-01,97385.37946
2003-05-01,91298.87388
2003-06-01,97403.78396000002
2003-07-01,109327.70829
2003-08-01,110599.42133
2003-09-01,97571.4393
2003-10-01,110377.68155
2003-11-01,121040.98139
2003-12-01,109433.67158
2004-01-01,121778.20961000002
2004-02-01,99183.48759
2004-03-01,94289.20055
2004-04-01,97385.37946
2004-05-01,91298.87388
2004-06-01,97403.78396000002
2004-07-01,109327.70829
2004-08-01,110599.42133
2004-09-01,97571.4393
2004-10-01,110377.68155
2004-11-01,121040.98139
2004-12-01,109433.67158
2005-01-01,121778.20961000002
2005-02-01,99183.48759
2005-03-01,94289.20055
2005-04-01,97385.37946
2005-05-01,91298.87388
2005-06-01,97403.78396000002
2005-07-01,109327.70829
2005-08-01,110599.42133
2005-09-01,97571.4393
2005-10-01,110377.68155
2005-11-01,121040.98139
2005-12-01,109433.67158
2006-01-01,121778.20961000002
2006-02-01,99183.48759
2006-03-01,94289.20055
2006-04-01,97385.37946
2006-05-01,91298.87388
2006-06-01,97403.78396000002
2006-07-01,109327.70829
2006-08-01,110599.42133
2006-09-01,97571.4393
2006-10-01,110377.68155
2006-11-01,121040.98139
2006-12-01,109433.67158
2007-01-01,121778.20961000002
2007-02-01,99183.48759
2007-03-01,94289.20055
2007-04-01,97385.37946
2007-05-01,91298.87388
2007-06-01,97403.78396000002
2007-07-01,109327.70829
2007-08-01,110599.42133
2007-09-01,97571.4393
2007-10-01,110377.68155
2007-11-01,121040.98139
2007-12-01,109433.67158
2008-01-01,121778.20961000002
2008-02-01,99183.48759
2008-03-01,94289.20055
2008-04-01,97385.37946
2008-05-01,91298.87388
2008-06-01,97403.78396000002
2008-07-01,109327.70829
2008-08-01,110599.42133
2008-09-01,97571.4393
2008-10-01,110377.68155
2008-11-01,121040.98139
2008-12-01,109433.67158
2009-01-01,121778.20961000002
2009-02-01,99183.48759
2009-03-01,94289.20055
2009-04-01,97385.37946
2009-05-01,91298.87388
2009-06-01,97403.78396000002
2009-07-01,109327.70829
2009-08-01,110599.42133
2009-09-01,97571.4393
2009-10-01,110377.68155
2009-11-01,121040.98139
2009-12-01,109433.67158
2010-01-01,121778.20961000002
2010-02-01,99183.48759
2010-03-01,94289.20055
2010-04-01,97385.37946
2010-05-01,91298.87388
2010-06-01,97403.78396000002
2010-07-01,109327.70829
2010-08-01,110599.42133
2010-09-01,97571.4393
2010-10-01,110377.68155
2010-11-01,121040.98139
2010-12-01,109433.67158
2011-01-01,121778.20961000002
2011-02-01,99183.48759
2011-03-01,94289.20055
2011-04-01,97385.37946
2011-05-01,91298.87388
2011-06-01,97403.78396000002
2011-07-01,109327.70829
