date,EGEN0001
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,1.33341805
2010-06-01,3.647973599
2010-07-01,15.472177126000002
2010-08-01,19.882922531
2010-09-01,20.735997488
2010-10-01,21.219495462
2010-11-01,19.921505599
2010-12-01,13.073430385
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0067207709999999
2011-06-01,6.689452288
2011-07-01,22.63012498
2011-08-01,27.642830254
2011-09-01,26.404457521
2011-10-01,25.314092515
2011-11-01,25.223636723
2011-12-01,13.358659592000002
2012-01-01,1.90053836
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,2.6624777
2012-07-01,18.982221189
2012-08-01,27.651056404
2012-09-01,25.2519214
2012-10-01,26.874453963
2012-11-01,25.506112427
2012-12-01,26.821447272
2013-01-01,3.883935398
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,9.525194915999998
2013-07-01,27.893911845
2013-08-01,25.258246342
2013-09-01,24.053136698
2013-10-01,25.878659735
2013-11-01,24.153953044
2013-12-01,13.435354599
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,6.499888647
2014-07-01,21.010442585
2014-08-01,34.303638554
2014-09-01,42.701196433
2014-10-01,41.650631217
2014-11-01,42.297863951
2014-12-01,40.735615211
2015-01-01,9.82929197
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.113260031
2015-07-01,25.34276988
2015-08-01,41.228093729
2015-09-01,40.621208211
2015-10-01,44.773299346
2015-11-01,43.635679279
2015-12-01,41.121833033
2016-01-01,6.883920869
2016-02-01,0.0
2016-03-01,0.0
2016-04-01,0.0
2016-05-01,1.0503e-05
2016-06-01,20.068300541000003
2016-07-01,43.350593614
2016-08-01,45.511325398
2016-09-01,47.173186853
2016-10-01,47.568774139
2016-11-01,45.040874628
2016-12-01,36.66886965
2017-01-01,7.983577211999999
2017-02-01,1.197544401
2017-03-01,0.0
2017-04-01,0.0
2017-05-01,0.0
2017-06-01,1.669931425
2017-07-01,25.870628478
2017-08-01,47.66033765
2017-09-01,47.86899514500001
2017-10-01,46.48689379
2017-11-01,45.440474203
2017-12-01,36.254595541
2018-01-01,2.591741873
2018-02-01,0.0
2018-03-01,0.0
2018-04-01,0.0
2018-05-01,0.0
2018-06-01,9.528017077
2018-07-01,31.521456406
2018-08-01,31.089309829
2018-09-01,39.236932209
2018-10-01,41.152130231
2018-11-01,40.854292589
2018-12-01,26.04640668
2019-01-01,1.998960186
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,0.0
2019-05-01,0.0
2019-06-01,6.584879342
2019-07-01,37.572234529
2019-08-01,44.277727647
2019-09-01,44.176286049000005
2019-10-01,39.483575561
2019-11-01,39.877637289000006
2019-12-01,36.134835088
2020-01-01,8.027272626
2020-02-01,0.556540932
2020-03-01,0.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,6.363279861
2020-07-01,37.245297719
2020-08-01,43.653598296000006
2020-09-01,39.423555567
2020-10-01,41.578665309
2020-11-01,43.341922191
2020-12-01,34.027561027000004
2021-01-01,0.478089603
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,0.0
2021-06-01,8.402710627000001
2021-07-01,35.24016914399999
2021-08-01,35.452502197
2021-09-01,33.291120591
2021-10-01,36.228567984
2021-11-01,36.452156593000005
2021-12-01,25.950058556999995
2022-01-01,3.132896659
2022-02-01,0.0
2022-03-01,0.0
2022-04-01,0.0
2022-05-01,0.000301065
2022-06-01,8.040691832
2022-07-01,36.094657935
2022-08-01,35.961700535000006
2022-09-01,35.059790592
2022-10-01,33.598189444000006
2022-11-01,30.787690684
2022-12-01,13.006458824
2023-01-01,0.0
2023-02-01,0.0
2023-03-01,0.0
2023-04-01,0.0
2023-05-01,0.0
2023-06-01,0.8287802360000001
2023-07-01,7.394634040999999
2023-08-01,31.170355168
2023-09-01,39.562475541
2023-10-01,39.743047386
2023-11-01,39.841441198
2023-12-01,26.719020955
2024-01-01,1.188094682
2024-02-01,0.230712292
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.2068503799999999
2024-06-01,31.062908905
2024-07-01,47.43048356


 Definition: Generación eléctrica Biomasa. Source: CENACE
